task_id,generator_family,eta,eta_value,intended_atoms,realized_P_star_atoms,P_star_size,base_hash,intervened_core_hash,core_equal,intervention_family,intervention_seed,intervention_parameters,requested_scope_stratum,measured_scope_stratum,atom_Ea_json,atom_Va_json,atom_Ca_json,full_CP_star,measured_H_valid,censored,candidate_count,accepted_attempt,acceptance,rejection_reason
direction+curvature+bound:spline:low:intermediate:0,spline,low,0.2,direction_decreasing|curvature_convex|lower_bound_0,curvature_convex|direction_decreasing|lower_bound_0,3,9963d71b462a8b020fd251a711d532286efc57f17bade936e7ac72880e7e37ec,18411ad4ca4e79eb8f60c0f51294d0513c7a009f102f1881951d6ca66e51eea6,1,c2_negative_level_excursion,1928941343,"{""amplitude"": 0.7320978725936531, ""family"": ""c2_negative_level_excursion"", ""onset"": 1.06, ""seed"": 1928941343, ""width"": 0.040000000000000036}",intermediate,intermediate,"{""curvature_convex"": 1.4834617215920211e-08, ""direction_decreasing"": 0.06455482351394581, ""lower_bound_0"": 0.06455482351394581}","{""curvature_convex"": [1, 1, 1, 1, 1], ""direction_decreasing"": [1, 1, 1, 1, 1], ""lower_bound_0"": [1, 1, 1, 0, 0]}","{""curvature_convex"": [1, 1, 1, 1, 1], ""direction_decreasing"": [1, 1, 1, 1, 1], ""lower_bound_0"": [1, 1, 1, 0, 0]}",1|1|1|0|0,1.0,0,7,1,accepted,
direction+curvature+bound:spline:low:intermediate:1,spline,low,0.2,direction_decreasing|curvature_convex|lower_bound_0,curvature_convex|direction_decreasing|lower_bound_0,3,36c5fa750eedbca9e1f570f206441dcadcbef02b6e52395f496f574a61fce09b,8331057c5977cd25ccecb5532355a1fb6f5117498b3b3583c00aa2df3cb64bc3,1,c2_negative_level_excursion,669981842,"{""amplitude"": 0.7320988712068214, ""family"": ""c2_negative_level_excursion"", ""onset"": 1.06, ""seed"": 669981842, ""width"": 0.040000000000000036}",intermediate,intermediate,"{""curvature_convex"": 1.4319017701232663e-17, ""direction_decreasing"": 8.75651076269652e-27, ""lower_bound_0"": 8.75651076269652e-27}","{""curvature_convex"": [1, 1, 1, 1, 1], ""direction_decreasing"": [1, 1, 1, 1, 1], ""lower_bound_0"": [1, 1, 1, 0, 0]}","{""curvature_convex"": [1, 1, 1, 1, 1], ""direction_decreasing"": [1, 1, 1, 1, 1], ""lower_bound_0"": [1, 1, 1, 0, 0]}",1|1|1|0|0,1.0,0,7,1,accepted,
direction+curvature+bound:spline:low:intermediate:2,spline,low,0.2,direction_decreasing|curvature_convex|lower_bound_0,curvature_convex|direction_decreasing|lower_bound_0,3,609db151812aa818bfb9d8d5de674df96a4f7c6f208dbff5bf4860cd47201690,09a9b531d5452c937c1968587d3aa81f993c6d9cbdb6103c2588bf3f12bb379e,1,c2_negative_level_excursion,2008961726,"{""amplitude"": 0.7321008243344387, ""family"": ""c2_negative_level_excursion"", ""onset"": 1.06, ""seed"": 2008961726, ""width"": 0.040000000000000036}",intermediate,intermediate,"{""curvature_convex"": 2.843522842958191e-15, ""direction_decreasing"": 1.0055138525964868e-25, ""lower_bound_0"": 8.75651076269652e-27}","{""curvature_convex"": [1, 1, 1, 1, 1], ""direction_decreasing"": [1, 1, 1, 1, 1], ""lower_bound_0"": [1, 1, 1, 0, 0]}","{""curvature_convex"": [1, 1, 1, 1, 1], ""direction_decreasing"": [1, 1, 1, 1, 1], ""lower_bound_0"": [1, 1, 1, 0, 0]}",1|1|1|0|0,1.0,0,7,1,accepted,
direction+curvature+bound:spline:low:intermediate:3,spline,low,0.2,direction_decreasing|curvature_convex|lower_bound_0,curvature_convex|direction_decreasing|lower_bound_0,3,4e4ebe3d4aec97f9375ea78e46022b129c99faff8282ea371f9b244aa538b027,2b4954419f67f6fae81f741ce95d28bd2ca09f8dd20e4590f94f2526fe792dea,1,c2_negative_level_excursion,1677167409,"{""amplitude"": 0.7321020827723069, ""family"": ""c2_negative_level_excursion"", ""onset"": 1.06, ""seed"": 1677167409, ""width"": 0.040000000000000036}",intermediate,intermediate,"{""curvature_convex"": 9.00177603818245e-09, ""direction_decreasing"": 0.024825032753903294, ""lower_bound_0"": 1.5967107371748945e-14}","{""curvature_convex"": [1, 1, 1, 1, 1], ""direction_decreasing"": [1, 1, 1, 1, 1], ""lower_bound_0"": [1, 1, 1, 0, 0]}","{""curvature_convex"": [1, 1, 1, 1, 1], ""direction_decreasing"": [1, 1, 1, 1, 1], ""lower_bound_0"": [1, 1, 1, 0, 0]}",1|1|1|0|0,1.0,0,7,1,accepted,
direction+curvature+bound:spline:low:intermediate:4,spline,low,0.2,direction_decreasing|curvature_convex|lower_bound_0,curvature_convex|direction_decreasing|lower_bound_0,3,ca8ecb34d02e06847eefabd6f6b6792703da1106b9395c2155bf051ce9ed22a8,7b2ff7954b48f54f262656cd5b4089384cf9f335d21f0e39d0e78b76c7c1e90d,1,c2_negative_level_excursion,632863461,"{""amplitude"": 0.7321002121039771, ""family"": ""c2_negative_level_excursion"", ""onset"": 1.06, ""seed"": 632863461, ""width"": 0.040000000000000036}",intermediate,intermediate,"{""curvature_convex"": 9.2871747403348e-09, ""direction_decreasing"": 0.004879405402720062, ""lower_bound_0"": 0.004879405402720062}","{""curvature_convex"": [1, 1, 1, 1, 1], ""direction_decreasing"": [1, 1, 1, 1, 1], ""lower_bound_0"": [1, 1, 1, 0, 0]}","{""curvature_convex"": [1, 1, 1, 1, 1], ""direction_decreasing"": [1, 1, 1, 1, 1], ""lower_bound_0"": [1, 1, 1, 0, 0]}",1|1|1|0|0,1.0,0,7,1,accepted,
direction+curvature+bound:spline:low:intermediate:5,spline,low,0.2,direction_decreasing|curvature_convex|lower_bound_0,curvature_convex|direction_decreasing|lower_bound_0,3,dc7e3a5065bc418a1b4900793d05757c7f656accacf17ac7998cc2dfb696ef71,d1d11c8956b70dfea14a6e4165bd342c03b67a58318ddb8f91cdddb9ff316758,1,c2_negative_level_excursion,3306044697,"{""amplitude"": 0.7321015032690255, ""family"": ""c2_negative_level_excursion"", ""onset"": 1.06, ""seed"": 3306044697, ""width"": 0.040000000000000036}",intermediate,intermediate,"{""curvature_convex"": 7.667476877361852e-10, ""direction_decreasing"": 0.6984723632538903, ""lower_bound_0"": 1.149863767851673e-22}","{""curvature_convex"": [1, 1, 1, 1, 1], ""direction_decreasing"": [1, 1, 1, 1, 1], ""lower_bound_0"": [1, 1, 1, 0, 0]}","{""curvature_convex"": [1, 1, 1, 1, 1], ""direction_decreasing"": [1, 1, 1, 1, 1], ""lower_bound_0"": [1, 1, 1, 0, 0]}",1|1|1|0|0,1.0,0,7,1,accepted,
direction+curvature+bound:spline:low:intermediate:6,spline,low,0.2,direction_decreasing|curvature_convex|lower_bound_0,curvature_convex|direction_decreasing|lower_bound_0,3,edbf8899d922b35ebb0cb19a60b9020f401730a3455b375b8bb9400030ef3c58,db16e0ccb9de640c5f3488e370de13918b24e7942cc91ce6890d2012bd2ccc5d,1,c2_negative_level_excursion,2654301559,"{""amplitude"": 0.7320979123691779, ""family"": ""c2_negative_level_excursion"", ""onset"": 1.06, ""seed"": 2654301559, ""width"": 0.040000000000000036}",intermediate,intermediate,"{""curvature_convex"": 5.368405906216585e-14, ""direction_decreasing"": 8.75651076269652e-27, ""lower_bound_0"": 8.75651076269652e-27}","{""curvature_convex"": [1, 1, 1, 1, 1], ""direction_decreasing"": [1, 1, 1, 1, 1], ""lower_bound_0"": [1, 1, 1, 0, 0]}","{""curvature_convex"": [1, 1, 1, 1, 1], ""direction_decreasing"": [1, 1, 1, 1, 1], ""lower_bound_0"": [1, 1, 1, 0, 0]}",1|1|1|0|0,1.0,0,7,1,accepted,
direction+curvature+bound:spline:low:intermediate:7,spline,low,0.2,direction_decreasing|curvature_convex|lower_bound_0,curvature_convex|direction_decreasing|lower_bound_0,3,b55eb918c9ed9bbcc3e61cf861010ac3e07d80ee701e5547db3ba8247ed30c37,2ece85fb41e399743ac37b303dd73eeebef0b00a56b2e036dd58056e039743c0,1,c2_negative_level_excursion,1680502984,"{""amplitude"": 0.7320988279178291, ""family"": ""c2_negative_level_excursion"", ""onset"": 1.06, ""seed"": 1680502984, ""width"": 0.040000000000000036}",intermediate,intermediate,"{""curvature_convex"": 1.5593636816588787e-14, ""direction_decreasing"": 8.75651076269652e-27, ""lower_bound_0"": 8.75651076269652e-27}","{""curvature_convex"": [1, 1, 1, 1, 1], ""direction_decreasing"": [1, 1, 1, 1, 1], ""lower_bound_0"": [1, 1, 1, 0, 0]}","{""curvature_convex"": [1, 1, 1, 1, 1], ""direction_decreasing"": [1, 1, 1, 1, 1], ""lower_bound_0"": [1, 1, 1, 0, 0]}",1|1|1|0|0,1.0,0,7,1,accepted,
direction+curvature+bound:spline:low:intermediate:8,spline,low,0.2,direction_decreasing|curvature_convex|lower_bound_0,curvature_convex|direction_decreasing|lower_bound_0,3,43d704752aadebea2070e9bb6ed309228f3763120339a053eb7d69fd40eba982,8b40a50871817b8d08c864efb25b12a387f489f1e3017e031352975921ab3aa6,1,c2_negative_level_excursion,3524052270,"{""amplitude"": 0.7321014217133702, ""family"": ""c2_negative_level_excursion"", ""onset"": 1.06, ""seed"": 3524052270, ""width"": 0.040000000000000036}",intermediate,intermediate,"{""curvature_convex"": 5.101214298282283e-16, ""direction_decreasing"": 8.75651076269652e-27, ""lower_bound_0"": 8.75651076269652e-27}","{""curvature_convex"": [1, 1, 1, 1, 1], ""direction_decreasing"": [1, 1, 1, 1, 1], ""lower_bound_0"": [1, 1, 1, 0, 0]}","{""curvature_convex"": [1, 1, 1, 1, 1], ""direction_decreasing"": [1, 1, 1, 1, 1], ""lower_bound_0"": [1, 1, 1, 0, 0]}",1|1|1|0|0,1.0,0,7,1,accepted,
direction+curvature+bound:spline:low:intermediate:9,spline,low,0.2,direction_decreasing|curvature_convex|lower_bound_0,curvature_convex|direction_decreasing|lower_bound_0,3,1d1e8c41fc8436a2d2acc6eec1ed4a085ebd681536fcbca37a499069ff27b546,568e4253857b0aed08d86afdd83974aa3da17608bfcb4f004bb994213386a59c,1,c2_negative_level_excursion,261542691,"{""amplitude"": 0.7320999415144883, ""family"": ""c2_negative_level_excursion"", ""onset"": 1.06, ""seed"": 261542691, ""width"": 0.040000000000000036}",intermediate,intermediate,"{""curvature_convex"": 1.2923866833355764e-12, ""direction_decreasing"": 3.360886820160241e-16, ""lower_bound_0"": 8.75651076269652e-27}","{""curvature_convex"": [1, 1, 1, 1, 1], ""direction_decreasing"": [1, 1, 1, 1, 1], ""lower_bound_0"": [1, 1, 1, 0, 0]}","{""curvature_convex"": [1, 1, 1, 1, 1], ""direction_decreasing"": [1, 1, 1, 1, 1], ""lower_bound_0"": [1, 1, 1, 0, 0]}",1|1|1|0|0,1.0,0,7,1,accepted,
direction+curvature+bound:spline:low:persistent_within_tested_domain:0,spline,low,0.2,direction_decreasing|curvature_convex|lower_bound_0,curvature_convex|direction_decreasing|lower_bound_0,3,7aed8c33640ebbbcb03ad4d568b48fa3aa02b3eb13bb27baa5e5dc5fe4819c1c,9c21afca136d3234aed9bd7535cc7a0e8b59b4a561058117ad855e8a2caa55cd,1,c2_negative_level_excursion,2013143318,"{""amplitude"": 0.0, ""family"": ""c2_negative_level_excursion"", ""onset"": null, ""seed"": 2013143318, ""width"": null}",persistent_within_tested_domain,persistent_within_tested_domain,"{""curvature_convex"": 1.7636461756620933e-11, ""direction_decreasing"": 1.4470215287509513e-06, ""lower_bound_0"": 8.75651076269652e-27}","{""curvature_convex"": [1, 1, 1, 1, 1], ""direction_decreasing"": [1, 1, 1, 1, 1], ""lower_bound_0"": [1, 1, 1, 1, 1]}","{""curvature_convex"": [1, 1, 1, 1, 1], ""direction_decreasing"": [1, 1, 1, 1, 1], ""lower_bound_0"": [1, 1, 1, 1, 1]}",1|1|1|1|1,>1.20,1,7,1,accepted,
direction+curvature+bound:spline:low:persistent_within_tested_domain:1,spline,low,0.2,direction_decreasing|curvature_convex|lower_bound_0,curvature_convex|direction_decreasing|lower_bound_0,3,8cc89c0b73db6467c05b6c12857549003e9579456d28e7dd0bddb8a50c17b210,c63ff890e27b34736071ee9a0923540d3f27886fd2e52a82ef529e329983fa55,1,c2_negative_level_excursion,362147685,"{""amplitude"": 0.0, ""family"": ""c2_negative_level_excursion"", ""onset"": null, ""seed"": 362147685, ""width"": null}",persistent_within_tested_domain,persistent_within_tested_domain,"{""curvature_convex"": 7.558159113050618e-13, ""direction_decreasing"": 1.0602656041639138e-14, ""lower_bound_0"": 8.75651076269652e-27}","{""curvature_convex"": [1, 1, 1, 1, 1], ""direction_decreasing"": [1, 1, 1, 1, 1], ""lower_bound_0"": [1, 1, 1, 1, 1]}","{""curvature_convex"": [1, 1, 1, 1, 1], ""direction_decreasing"": [1, 1, 1, 1, 1], ""lower_bound_0"": [1, 1, 1, 1, 1]}",1|1|1|1|1,>1.20,1,7,1,accepted,
direction+curvature+bound:spline:low:persistent_within_tested_domain:2,spline,low,0.2,direction_decreasing|curvature_convex|lower_bound_0,curvature_convex|direction_decreasing|lower_bound_0,3,6a736611b4d1553b5ab5ec354306f9c5ae2325396adc8d96c1f719bda96330cf,8e027885511626137d28f45146c242ee068eefef0b6b691270c5e143baed0ec8,1,c2_negative_level_excursion,13794242,"{""amplitude"": 0.0, ""family"": ""c2_negative_level_excursion"", ""onset"": null, ""seed"": 13794242, ""width"": null}",persistent_within_tested_domain,persistent_within_tested_domain,"{""curvature_convex"": 6.667332261575e-11, ""direction_decreasing"": 0.03599155830407286, ""lower_bound_0"": 8.75651076269652e-27}","{""curvature_convex"": [1, 1, 1, 1, 1], ""direction_decreasing"": [1, 1, 1, 1, 1], ""lower_bound_0"": [1, 1, 1, 1, 1]}","{""curvature_convex"": [1, 1, 1, 1, 1], ""direction_decreasing"": [1, 1, 1, 1, 1], ""lower_bound_0"": [1, 1, 1, 1, 1]}",1|1|1|1|1,>1.20,1,7,1,accepted,
direction+curvature+bound:spline:low:persistent_within_tested_domain:3,spline,low,0.2,direction_decreasing|curvature_convex|lower_bound_0,curvature_convex|direction_decreasing|lower_bound_0,3,7af11a9b0d3578a4800bee3bdbe737d0fb44fbd39548c25d3385f7e462658be2,34f28ce4ac6c99cc00f193373fae2c5880d4f58d28e1380a2514fcb20c941c18,1,c2_negative_level_excursion,1092607323,"{""amplitude"": 0.0, ""family"": ""c2_negative_level_excursion"", ""onset"": null, ""seed"": 1092607323, ""width"": null}",persistent_within_tested_domain,persistent_within_tested_domain,"{""curvature_convex"": 1.1571702961131426e-26, ""direction_decreasing"": 8.75651076269652e-27, ""lower_bound_0"": 8.75651076269652e-27}","{""curvature_convex"": [1, 1, 1, 1, 1], ""direction_decreasing"": [1, 1, 1, 1, 1], ""lower_bound_0"": [1, 1, 1, 1, 1]}","{""curvature_convex"": [1, 1, 1, 1, 1], ""direction_decreasing"": [1, 1, 1, 1, 1], ""lower_bound_0"": [1, 1, 1, 1, 1]}",1|1|1|1|1,>1.20,1,7,1,accepted,
direction+curvature+bound:spline:low:persistent_within_tested_domain:4,spline,low,0.2,direction_decreasing|curvature_convex|lower_bound_0,curvature_convex|direction_decreasing|lower_bound_0,3,3a49272c9ae4c12eec1063a274bd95cb83c070ba8bd8ec7efe9de50eb1314539,e88cd9cb5330af641e7e50562ce9e9eea450347b8f44647bfc96059ed64a245f,1,c2_negative_level_excursion,3815205235,"{""amplitude"": 0.0, ""family"": ""c2_negative_level_excursion"", ""onset"": null, ""seed"": 3815205235, ""width"": null}",persistent_within_tested_domain,persistent_within_tested_domain,"{""curvature_convex"": 5.3983274647487845e-11, ""direction_decreasing"": 0.004456172978966712, ""lower_bound_0"": 0.002830114823692051}","{""curvature_convex"": [1, 1, 1, 1, 1], ""direction_decreasing"": [1, 1, 1, 1, 1], ""lower_bound_0"": [1, 1, 1, 1, 1]}","{""curvature_convex"": [1, 1, 1, 1, 1], ""direction_decreasing"": [1, 1, 1, 1, 1], ""lower_bound_0"": [1, 1, 1, 1, 1]}",1|1|1|1|1,>1.20,1,7,1,accepted,
direction+curvature+bound:spline:low:persistent_within_tested_domain:5,spline,low,0.2,direction_decreasing|curvature_convex|lower_bound_0,curvature_convex|direction_decreasing|lower_bound_0,3,e5d7b0b889f2e369a2389466b18443530293c42d8bbfeb08eec266e68cfdd6b9,b42d5c22ef7eecc27b83291cee4c28fdc203cfe718d8333d2dbc28617d5623dc,1,c2_negative_level_excursion,684345034,"{""amplitude"": 0.0, ""family"": ""c2_negative_level_excursion"", ""onset"": null, ""seed"": 684345034, ""width"": null}",persistent_within_tested_domain,persistent_within_tested_domain,"{""curvature_convex"": 9.75241052226782e-17, ""direction_decreasing"": 8.75651076269652e-27, ""lower_bound_0"": 8.75651076269652e-27}","{""curvature_convex"": [1, 1, 1, 1, 1], ""direction_decreasing"": [1, 1, 1, 1, 1], ""lower_bound_0"": [1, 1, 1, 1, 1]}","{""curvature_convex"": [1, 1, 1, 1, 1], ""direction_decreasing"": [1, 1, 1, 1, 1], ""lower_bound_0"": [1, 1, 1, 1, 1]}",1|1|1|1|1,>1.20,1,7,1,accepted,
