primitive,tier,horizon,V_raw,C_contiguous
regime,persistent_within_domain,0.5,1.0,1.0
regime,persistent_within_domain,0.6,1.0,1.0
regime,persistent_within_domain,0.7,1.0,1.0
regime,persistent_within_domain,0.8,1.0,1.0
regime,persistent_within_domain,0.9,1.0,1.0
regime,persistent_within_domain,1.0,1.0,1.0
turning,local,0.45,1.0,1.0
turning,local,0.5,1.0,1.0
turning,local,0.6,0.5666666666666667,0.5666666666666667
turning,local,0.7,0.0,0.0
turning,local,0.8,0.0,0.0
turning,local,0.9,0.0,0.0
turning,local,1.0,0.0,0.0
turning,medium,0.45,1.0,1.0
turning,medium,0.5,1.0,1.0
turning,medium,0.6,1.0,1.0
turning,medium,0.7,1.0,1.0
turning,medium,0.8,0.8444444444444444,0.8444444444444444
turning,medium,0.9,0.0,0.0
turning,medium,1.0,0.0,0.0
turning,persistent_within_domain,0.45,1.0,1.0
turning,persistent_within_domain,0.5,1.0,1.0
turning,persistent_within_domain,0.6,1.0,1.0
turning,persistent_within_domain,0.7,1.0,1.0
turning,persistent_within_domain,0.8,1.0,1.0
turning,persistent_within_domain,0.9,1.0,1.0
turning,persistent_within_domain,1.0,1.0,1.0
