task_id,intent_atom_ids_match,unique_envelope,coverage_preserving,shared_bank_candidates,nonnegative_gap,nested_floor_zero,no_utility_engine_api
direction+curvature+asymptote:spline:9,True,True,True,True,True,True,True
direction+curvature+asymptote:spline:10,True,True,True,True,True,True,True
direction+curvature+asymptote:spline:11,True,True,True,True,True,True,True
direction+curvature+asymptote:spline:12,True,True,True,True,True,True,True
direction+curvature+asymptote:spline:13,True,True,True,True,True,True,True
direction+curvature+asymptote:spline:14,True,True,True,True,True,True,True
direction+curvature+asymptote:spline:15,True,True,True,True,True,True,True
direction+curvature+asymptote:spline:16,True,True,True,True,True,True,True
direction+curvature+asymptote:spline:17,True,True,True,True,True,True,True
direction+curvature+asymptote:spline:18,True,True,True,True,True,True,True
direction+curvature+asymptote:spline:19,True,True,True,True,True,True,True
direction+curvature+asymptote:spline:20,True,True,True,True,True,True,True
direction+curvature+asymptote:spline:21,True,True,True,True,True,True,True
direction+curvature+asymptote:spline:22,True,True,True,True,True,True,True
direction+curvature+asymptote:spline:23,True,True,True,True,True,True,True
direction+curvature+asymptote:spline:24,True,True,True,True,True,True,True
direction+curvature+asymptote:spline:25,True,True,True,True,True,True,True
direction+curvature+asymptote:spline:26,True,True,True,True,True,True,True
direction+curvature+asymptote:spline:27,True,True,True,True,True,True,True
direction+curvature+asymptote:spline:28,True,True,True,True,True,True,True
direction+curvature+asymptote:spline:29,True,True,True,True,True,True,True
direction+curvature+asymptote:basis:0,True,True,True,True,True,True,True
direction+curvature+asymptote:basis:1,True,True,True,True,True,True,True
direction+curvature+asymptote:basis:2,True,True,True,True,True,True,True
direction+curvature+asymptote:basis:3,True,True,True,True,True,True,True
direction+curvature+asymptote:basis:4,True,True,True,True,True,True,True
direction+curvature+asymptote:basis:5,True,True,True,True,True,True,True
direction+curvature+asymptote:basis:6,True,True,True,True,True,True,True
direction+curvature+asymptote:basis:7,True,True,True,True,True,True,True
direction+curvature+asymptote:basis:8,True,True,True,True,True,True,True
direction+curvature+asymptote:basis:9,True,True,True,True,True,True,True
direction+curvature+asymptote:basis:10,True,True,True,True,True,True,True
direction+curvature+asymptote:basis:11,True,True,True,True,True,True,True
direction+curvature+asymptote:basis:12,True,True,True,True,True,True,True
direction+curvature+asymptote:basis:13,True,True,True,True,True,True,True
direction+curvature+asymptote:basis:14,True,True,True,True,True,True,True
direction+curvature+asymptote:basis:15,True,True,True,True,True,True,True
direction+curvature+asymptote:basis:16,True,True,True,True,True,True,True
direction+curvature+asymptote:basis:17,True,True,True,True,True,True,True
direction+curvature+asymptote:basis:18,True,True,True,True,True,True,True
direction+curvature+asymptote:basis:19,True,True,True,True,True,True,True
direction+curvature+asymptote:basis:20,True,True,True,True,True,True,True
direction+curvature+asymptote:basis:21,True,True,True,True,True,True,True
direction+curvature+asymptote:basis:22,True,True,True,True,True,True,True
direction+curvature+asymptote:basis:23,True,True,True,True,True,True,True
direction+curvature+asymptote:basis:24,True,True,True,True,True,True,True
direction+curvature+asymptote:basis:25,True,True,True,True,True,True,True
direction+curvature+asymptote:basis:26,True,True,True,True,True,True,True
direction+curvature+asymptote:basis:27,True,True,True,True,True,True,True
direction+curvature+asymptote:basis:28,True,True,True,True,True,True,True
direction+curvature+asymptote:basis:29,True,True,True,True,True,True,True
direction+curvature+asymptote:ode:0,True,True,True,True,True,True,True
direction+curvature+asymptote:ode:1,True,True,True,True,True,True,True
direction+curvature+asymptote:ode:2,True,True,True,True,True,True,True
direction+curvature+asymptote:ode:3,True,True,True,True,True,True,True
direction+curvature+asymptote:ode:4,True,True,True,True,True,True,True
direction+curvature+asymptote:ode:5,True,True,True,True,True,True,True
direction+curvature+asymptote:ode:6,True,True,True,True,True,True,True
direction+curvature+asymptote:ode:7,True,True,True,True,True,True,True
direction+curvature+asymptote:ode:8,True,True,True,True,True,True,True
direction+curvature+asymptote:ode:9,True,True,True,True,True,True,True
direction+curvature+asymptote:ode:10,True,True,True,True,True,True,True
direction+curvature+asymptote:ode:11,True,True,True,True,True,True,True
direction+curvature+asymptote:ode:12,True,True,True,True,True,True,True
direction+curvature+asymptote:ode:13,True,True,True,True,True,True,True
direction+curvature+asymptote:ode:14,True,True,True,True,True,True,True
direction+curvature+asymptote:ode:15,True,True,True,True,True,True,True
direction+curvature+asymptote:ode:16,True,True,True,True,True,True,True
direction+curvature+asymptote:ode:17,True,True,True,True,True,True,True
direction+curvature+asymptote:ode:18,True,True,True,True,True,True,True
direction+curvature+asymptote:ode:19,True,True,True,True,True,True,True
direction+curvature+asymptote:ode:20,True,True,True,True,True,True,True
direction+curvature+asymptote:ode:21,True,True,True,True,True,True,True
direction+curvature+asymptote:ode:22,True,True,True,True,True,True,True
direction+curvature+asymptote:ode:23,True,True,True,True,True,True,True
direction+curvature+asymptote:ode:24,True,True,True,True,True,True,True
direction+curvature+asymptote:ode:25,True,True,True,True,True,True,True
direction+curvature+asymptote:ode:26,True,True,True,True,True,True,True
direction+curvature+asymptote:ode:27,True,True,True,True,True,True,True
direction+curvature+asymptote:ode:28,True,True,True,True,True,True,True
direction+curvature+asymptote:ode:29,True,True,True,True,True,True,True
direction+inflection+bound:spline:0,True,True,True,True,True,True,True
direction+inflection+bound:spline:1,True,True,True,True,True,True,True
direction+inflection+bound:spline:2,True,True,True,True,True,True,True
direction+inflection+bound:spline:3,True,True,True,True,True,True,True
direction+inflection+bound:spline:4,True,True,True,True,True,True,True
direction+inflection+bound:spline:5,True,True,True,True,True,True,True
direction+inflection+bound:spline:6,True,True,True,True,True,True,True
direction+inflection+bound:spline:7,True,True,True,True,True,True,True
direction+inflection+bound:spline:8,True,True,True,True,True,True,True
direction+inflection+bound:spline:9,True,True,True,True,True,True,True
direction+inflection+bound:spline:10,True,True,True,True,True,True,True
direction+inflection+bound:spline:11,True,True,True,True,True,True,True
direction+inflection+bound:spline:12,True,True,True,True,True,True,True
direction+inflection+bound:spline:13,True,True,True,True,True,True,True
direction+inflection+bound:spline:14,True,True,True,True,True,True,True
direction+inflection+bound:spline:15,True,True,True,True,True,True,True
direction+inflection+bound:spline:16,True,True,True,True,True,True,True
direction+inflection+bound:spline:17,True,True,True,True,True,True,True
direction+inflection+bound:spline:18,True,True,True,True,True,True,True
direction+inflection+bound:spline:19,True,True,True,True,True,True,True
direction+inflection+bound:spline:20,True,True,True,True,True,True,True
direction+inflection+bound:spline:21,True,True,True,True,True,True,True
direction+inflection+bound:spline:22,True,True,True,True,True,True,True
direction+inflection+bound:spline:23,True,True,True,True,True,True,True
direction+inflection+bound:spline:24,True,True,True,True,True,True,True
direction+inflection+bound:spline:25,True,True,True,True,True,True,True
direction+inflection+bound:spline:26,True,True,True,True,True,True,True
direction+inflection+bound:spline:27,True,True,True,True,True,True,True
direction+inflection+bound:spline:28,True,True,True,True,True,True,True
direction+inflection+bound:spline:29,True,True,True,True,True,True,True
direction+inflection+bound:basis:0,True,True,True,True,True,True,True
direction+inflection+bound:basis:1,True,True,True,True,True,True,True
direction+inflection+bound:basis:2,True,True,True,True,True,True,True
direction+inflection+bound:basis:3,True,True,True,True,True,True,True
direction+inflection+bound:basis:4,True,True,True,True,True,True,True
direction+inflection+bound:basis:5,True,True,True,True,True,True,True
direction+inflection+bound:basis:6,True,True,True,True,True,True,True
direction+inflection+bound:basis:7,True,True,True,True,True,True,True
direction+inflection+bound:basis:8,True,True,True,True,True,True,True
direction+inflection+bound:basis:9,True,True,True,True,True,True,True
direction+inflection+bound:basis:10,True,True,True,True,True,True,True
direction+inflection+bound:basis:11,True,True,True,True,True,True,True
direction+inflection+bound:basis:12,True,True,True,True,True,True,True
direction+inflection+bound:basis:13,True,True,True,True,True,True,True
direction+inflection+bound:basis:14,True,True,True,True,True,True,True
direction+inflection+bound:basis:15,True,True,True,True,True,True,True
direction+inflection+bound:basis:16,True,True,True,True,True,True,True
direction+inflection+bound:basis:17,True,True,True,True,True,True,True
direction+inflection+bound:basis:18,True,True,True,True,True,True,True
direction+inflection+bound:basis:19,True,True,True,True,True,True,True
direction+inflection+bound:basis:20,True,True,True,True,True,True,True
direction+inflection+bound:basis:21,True,True,True,True,True,True,True
direction+inflection+bound:basis:22,True,True,True,True,True,True,True
direction+inflection+bound:basis:23,True,True,True,True,True,True,True
direction+inflection+bound:basis:24,True,True,True,True,True,True,True
direction+inflection+bound:basis:25,True,True,True,True,True,True,True
direction+inflection+bound:basis:26,True,True,True,True,True,True,True
direction+inflection+bound:basis:27,True,True,True,True,True,True,True
direction+inflection+bound:basis:28,True,True,True,True,True,True,True
direction+inflection+bound:basis:29,True,True,True,True,True,True,True
direction+inflection+bound:ode:0,True,True,True,True,True,True,True
direction+inflection+bound:ode:1,True,True,True,True,True,True,True
direction+inflection+bound:ode:2,True,True,True,True,True,True,True
direction+inflection+bound:ode:3,True,True,True,True,True,True,True
direction+inflection+bound:ode:4,True,True,True,True,True,True,True
direction+inflection+bound:ode:5,True,True,True,True,True,True,True
direction+inflection+bound:ode:6,True,True,True,True,True,True,True
direction+inflection+bound:ode:7,True,True,True,True,True,True,True
direction+inflection+bound:ode:8,True,True,True,True,True,True,True
direction+inflection+bound:ode:9,True,True,True,True,True,True,True
direction+inflection+bound:ode:10,True,True,True,True,True,True,True
direction+inflection+bound:ode:11,True,True,True,True,True,True,True
direction+inflection+bound:ode:12,True,True,True,True,True,True,True
direction+inflection+bound:ode:13,True,True,True,True,True,True,True
direction+inflection+bound:ode:14,True,True,True,True,True,True,True
direction+inflection+bound:ode:15,True,True,True,True,True,True,True
direction+inflection+bound:ode:16,True,True,True,True,True,True,True
direction+inflection+bound:ode:17,True,True,True,True,True,True,True
direction+inflection+bound:ode:18,True,True,True,True,True,True,True
direction+inflection+bound:ode:19,True,True,True,True,True,True,True
direction+inflection+bound:ode:20,True,True,True,True,True,True,True
direction+inflection+bound:ode:21,True,True,True,True,True,True,True
direction+inflection+bound:ode:22,True,True,True,True,True,True,True
direction+inflection+bound:ode:23,True,True,True,True,True,True,True
direction+inflection+bound:ode:24,True,True,True,True,True,True,True
direction+inflection+bound:ode:25,True,True,True,True,True,True,True
direction+inflection+bound:ode:26,True,True,True,True,True,True,True
direction+inflection+bound:ode:27,True,True,True,True,True,True,True
direction+inflection+bound:ode:28,True,True,True,True,True,True,True
direction+inflection+bound:ode:29,True,True,True,True,True,True,True
direction+inflection+asymptote:spline:0,True,True,True,True,True,True,True
direction+inflection+asymptote:spline:1,True,True,True,True,True,True,True
direction+inflection+asymptote:spline:2,True,True,True,True,True,True,True
direction+inflection+asymptote:spline:3,True,True,True,True,True,True,True
direction+inflection+asymptote:spline:4,True,True,True,True,True,True,True
direction+inflection+asymptote:spline:5,True,True,True,True,True,True,True
direction+inflection+asymptote:spline:6,True,True,True,True,True,True,True
direction+inflection+asymptote:spline:7,True,True,True,True,True,True,True
direction+inflection+asymptote:spline:8,True,True,True,True,True,True,True
direction+inflection+asymptote:spline:9,True,True,True,True,True,True,True
direction+inflection+asymptote:spline:10,True,True,True,True,True,True,True
direction+inflection+asymptote:spline:11,True,True,True,True,True,True,True
direction+inflection+asymptote:spline:12,True,True,True,True,True,True,True
direction+inflection+asymptote:spline:13,True,True,True,True,True,True,True
direction+inflection+asymptote:spline:14,True,True,True,True,True,True,True
direction+inflection+asymptote:spline:15,True,True,True,True,True,True,True
direction+inflection+asymptote:spline:16,True,True,True,True,True,True,True
direction+inflection+asymptote:spline:17,True,True,True,True,True,True,True
direction+inflection+asymptote:spline:18,True,True,True,True,True,True,True
direction+inflection+asymptote:spline:19,True,True,True,True,True,True,True
direction+inflection+asymptote:spline:20,True,True,True,True,True,True,True
direction+inflection+asymptote:spline:21,True,True,True,True,True,True,True
direction+inflection+asymptote:spline:22,True,True,True,True,True,True,True
direction+inflection+asymptote:spline:23,True,True,True,True,True,True,True
direction+inflection+asymptote:spline:24,True,True,True,True,True,True,True
direction+inflection+asymptote:spline:25,True,True,True,True,True,True,True
direction+inflection+asymptote:spline:26,True,True,True,True,True,True,True
direction+inflection+asymptote:spline:27,True,True,True,True,True,True,True
direction+inflection+asymptote:spline:28,True,True,True,True,True,True,True
direction+inflection+asymptote:spline:29,True,True,True,True,True,True,True
direction+inflection+asymptote:basis:0,True,True,True,True,True,True,True
direction+inflection+asymptote:basis:1,True,True,True,True,True,True,True
direction+inflection+asymptote:basis:2,True,True,True,True,True,True,True
direction+inflection+asymptote:basis:3,True,True,True,True,True,True,True
direction+inflection+asymptote:basis:4,True,True,True,True,True,True,True
direction+inflection+asymptote:basis:5,True,True,True,True,True,True,True
direction+inflection+asymptote:basis:6,True,True,True,True,True,True,True
direction+inflection+asymptote:basis:7,True,True,True,True,True,True,True
direction+inflection+asymptote:basis:8,True,True,True,True,True,True,True
direction+inflection+asymptote:basis:9,True,True,True,True,True,True,True
direction+inflection+asymptote:basis:10,True,True,True,True,True,True,True
direction+inflection+asymptote:basis:11,True,True,True,True,True,True,True
direction+inflection+asymptote:basis:12,True,True,True,True,True,True,True
direction+inflection+asymptote:basis:13,True,True,True,True,True,True,True
direction+inflection+asymptote:basis:14,True,True,True,True,True,True,True
direction+inflection+asymptote:basis:15,True,True,True,True,True,True,True
direction+inflection+asymptote:basis:16,True,True,True,True,True,True,True
direction+inflection+asymptote:basis:17,True,True,True,True,True,True,True
direction+inflection+asymptote:basis:18,True,True,True,True,True,True,True
direction+inflection+asymptote:basis:19,True,True,True,True,True,True,True
direction+inflection+asymptote:basis:20,True,True,True,True,True,True,True
direction+inflection+asymptote:basis:21,True,True,True,True,True,True,True
direction+inflection+asymptote:basis:22,True,True,True,True,True,True,True
direction+inflection+asymptote:basis:23,True,True,True,True,True,True,True
direction+inflection+asymptote:basis:24,True,True,True,True,True,True,True
direction+inflection+asymptote:basis:25,True,True,True,True,True,True,True
direction+inflection+asymptote:basis:26,True,True,True,True,True,True,True
direction+inflection+asymptote:basis:27,True,True,True,True,True,True,True
direction+inflection+asymptote:basis:28,True,True,True,True,True,True,True
direction+inflection+asymptote:basis:29,True,True,True,True,True,True,True
direction+inflection+asymptote:ode:0,True,True,True,True,True,True,True
direction+inflection+asymptote:ode:1,True,True,True,True,True,True,True
direction+inflection+asymptote:ode:2,True,True,True,True,True,True,True
direction+inflection+asymptote:ode:3,True,True,True,True,True,True,True
direction+inflection+asymptote:ode:4,True,True,True,True,True,True,True
direction+inflection+asymptote:ode:5,True,True,True,True,True,True,True
direction+inflection+asymptote:ode:6,True,True,True,True,True,True,True
direction+inflection+asymptote:ode:7,True,True,True,True,True,True,True
direction+inflection+asymptote:ode:8,True,True,True,True,True,True,True
direction+inflection+asymptote:ode:9,True,True,True,True,True,True,True
direction+inflection+asymptote:ode:10,True,True,True,True,True,True,True
direction+inflection+asymptote:ode:11,True,True,True,True,True,True,True
direction+inflection+asymptote:ode:12,True,True,True,True,True,True,True
direction+inflection+asymptote:ode:13,True,True,True,True,True,True,True
direction+inflection+asymptote:ode:14,True,True,True,True,True,True,True
direction+inflection+asymptote:ode:15,True,True,True,True,True,True,True
direction+inflection+asymptote:ode:16,True,True,True,True,True,True,True
direction+inflection+asymptote:ode:17,True,True,True,True,True,True,True
direction+inflection+asymptote:ode:18,True,True,True,True,True,True,True
direction+inflection+asymptote:ode:19,True,True,True,True,True,True,True
direction+inflection+asymptote:ode:20,True,True,True,True,True,True,True
direction+inflection+asymptote:ode:21,True,True,True,True,True,True,True
direction+inflection+asymptote:ode:22,True,True,True,True,True,True,True
direction+inflection+asymptote:ode:23,True,True,True,True,True,True,True
direction+inflection+asymptote:ode:24,True,True,True,True,True,True,True
direction+inflection+asymptote:ode:25,True,True,True,True,True,True,True
direction+inflection+asymptote:ode:26,True,True,True,True,True,True,True
direction+inflection+asymptote:ode:27,True,True,True,True,True,True,True
direction+inflection+asymptote:ode:28,True,True,True,True,True,True,True
direction+inflection+asymptote:ode:29,True,True,True,True,True,True,True
curvature+bound+asymptote:spline:0,True,True,True,True,True,True,True
curvature+bound+asymptote:spline:1,True,True,True,True,True,True,True
curvature+bound+asymptote:spline:2,True,True,True,True,True,True,True
curvature+bound+asymptote:spline:3,True,True,True,True,True,True,True
curvature+bound+asymptote:spline:4,True,True,True,True,True,True,True
curvature+bound+asymptote:spline:5,True,True,True,True,True,True,True
curvature+bound+asymptote:spline:6,True,True,True,True,True,True,True
curvature+bound+asymptote:spline:7,True,True,True,True,True,True,True
curvature+bound+asymptote:spline:8,True,True,True,True,True,True,True
curvature+bound+asymptote:spline:9,True,True,True,True,True,True,True
curvature+bound+asymptote:spline:10,True,True,True,True,True,True,True
curvature+bound+asymptote:spline:11,True,True,True,True,True,True,True
curvature+bound+asymptote:spline:12,True,True,True,True,True,True,True
curvature+bound+asymptote:spline:13,True,True,True,True,True,True,True
curvature+bound+asymptote:spline:14,True,True,True,True,True,True,True
curvature+bound+asymptote:spline:15,True,True,True,True,True,True,True
curvature+bound+asymptote:spline:16,True,True,True,True,True,True,True
curvature+bound+asymptote:spline:17,True,True,True,True,True,True,True
curvature+bound+asymptote:spline:18,True,True,True,True,True,True,True
curvature+bound+asymptote:spline:19,True,True,True,True,True,True,True
curvature+bound+asymptote:spline:20,True,True,True,True,True,True,True
curvature+bound+asymptote:spline:21,True,True,True,True,True,True,True
curvature+bound+asymptote:spline:22,True,True,True,True,True,True,True
curvature+bound+asymptote:spline:23,True,True,True,True,True,True,True
curvature+bound+asymptote:spline:24,True,True,True,True,True,True,True
curvature+bound+asymptote:spline:25,True,True,True,True,True,True,True
curvature+bound+asymptote:spline:26,True,True,True,True,True,True,True
curvature+bound+asymptote:spline:27,True,True,True,True,True,True,True
curvature+bound+asymptote:spline:28,True,True,True,True,True,True,True
curvature+bound+asymptote:spline:29,True,True,True,True,True,True,True
curvature+bound+asymptote:basis:0,True,True,True,True,True,True,True
curvature+bound+asymptote:basis:1,True,True,True,True,True,True,True
curvature+bound+asymptote:basis:2,True,True,True,True,True,True,True
curvature+bound+asymptote:basis:3,True,True,True,True,True,True,True
curvature+bound+asymptote:basis:4,True,True,True,True,True,True,True
curvature+bound+asymptote:basis:5,True,True,True,True,True,True,True
curvature+bound+asymptote:basis:6,True,True,True,True,True,True,True
curvature+bound+asymptote:basis:7,True,True,True,True,True,True,True
curvature+bound+asymptote:basis:8,True,True,True,True,True,True,True
curvature+bound+asymptote:basis:9,True,True,True,True,True,True,True
curvature+bound+asymptote:basis:10,True,True,True,True,True,True,True
curvature+bound+asymptote:basis:11,True,True,True,True,True,True,True
curvature+bound+asymptote:basis:12,True,True,True,True,True,True,True
curvature+bound+asymptote:basis:13,True,True,True,True,True,True,True
curvature+bound+asymptote:basis:14,True,True,True,True,True,True,True
curvature+bound+asymptote:basis:15,True,True,True,True,True,True,True
curvature+bound+asymptote:basis:16,True,True,True,True,True,True,True
curvature+bound+asymptote:basis:17,True,True,True,True,True,True,True
curvature+bound+asymptote:basis:18,True,True,True,True,True,True,True
curvature+bound+asymptote:basis:19,True,True,True,True,True,True,True
curvature+bound+asymptote:basis:20,True,True,True,True,True,True,True
curvature+bound+asymptote:basis:21,True,True,True,True,True,True,True
curvature+bound+asymptote:basis:22,True,True,True,True,True,True,True
curvature+bound+asymptote:basis:23,True,True,True,True,True,True,True
curvature+bound+asymptote:basis:24,True,True,True,True,True,True,True
curvature+bound+asymptote:basis:25,True,True,True,True,True,True,True
curvature+bound+asymptote:basis:26,True,True,True,True,True,True,True
curvature+bound+asymptote:basis:27,True,True,True,True,True,True,True
curvature+bound+asymptote:basis:28,True,True,True,True,True,True,True
curvature+bound+asymptote:basis:29,True,True,True,True,True,True,True
curvature+bound+asymptote:ode:0,True,True,True,True,True,True,True
curvature+bound+asymptote:ode:1,True,True,True,True,True,True,True
curvature+bound+asymptote:ode:2,True,True,True,True,True,True,True
curvature+bound+asymptote:ode:3,True,True,True,True,True,True,True
curvature+bound+asymptote:ode:4,True,True,True,True,True,True,True
curvature+bound+asymptote:ode:5,True,True,True,True,True,True,True
curvature+bound+asymptote:ode:6,True,True,True,True,True,True,True
curvature+bound+asymptote:ode:7,True,True,True,True,True,True,True
curvature+bound+asymptote:ode:8,True,True,True,True,True,True,True
curvature+bound+asymptote:ode:9,True,True,True,True,True,True,True
curvature+bound+asymptote:ode:10,True,True,True,True,True,True,True
curvature+bound+asymptote:ode:11,True,True,True,True,True,True,True
curvature+bound+asymptote:ode:12,True,True,True,True,True,True,True
curvature+bound+asymptote:ode:13,True,True,True,True,True,True,True
curvature+bound+asymptote:ode:14,True,True,True,True,True,True,True
curvature+bound+asymptote:ode:15,True,True,True,True,True,True,True
curvature+bound+asymptote:ode:16,True,True,True,True,True,True,True
curvature+bound+asymptote:ode:17,True,True,True,True,True,True,True
curvature+bound+asymptote:ode:18,True,True,True,True,True,True,True
curvature+bound+asymptote:ode:19,True,True,True,True,True,True,True
curvature+bound+asymptote:ode:20,True,True,True,True,True,True,True
curvature+bound+asymptote:ode:21,True,True,True,True,True,True,True
curvature+bound+asymptote:ode:22,True,True,True,True,True,True,True
curvature+bound+asymptote:ode:23,True,True,True,True,True,True,True
curvature+bound+asymptote:ode:24,True,True,True,True,True,True,True
curvature+bound+asymptote:ode:25,True,True,True,True,True,True,True
curvature+bound+asymptote:ode:26,True,True,True,True,True,True,True
curvature+bound+asymptote:ode:27,True,True,True,True,True,True,True
curvature+bound+asymptote:ode:28,True,True,True,True,True,True,True
curvature+bound+asymptote:ode:29,True,True,True,True,True,True,True
inflection+bound+asymptote:spline:0,True,True,True,True,True,True,True
inflection+bound+asymptote:spline:1,True,True,True,True,True,True,True
inflection+bound+asymptote:spline:2,True,True,True,True,True,True,True
inflection+bound+asymptote:spline:3,True,True,True,True,True,True,True
inflection+bound+asymptote:spline:4,True,True,True,True,True,True,True
inflection+bound+asymptote:spline:5,True,True,True,True,True,True,True
inflection+bound+asymptote:spline:6,True,True,True,True,True,True,True
inflection+bound+asymptote:spline:7,True,True,True,True,True,True,True
