task_id,baseline_coverage_one,ESS_invariant,finite_values,paired_bank_semantics,oracle_not_in_scorer,location_safe_interior,metadata_invariant
regime_onset:ode:11,True,True,True,True,True,True,True
regime_onset:ode:12,True,True,True,True,True,True,True
regime_onset:ode:13,True,True,True,True,True,True,True
regime_onset:ode:14,True,True,True,True,True,True,True
regime_onset:ode:15,True,True,True,True,True,True,True
regime_onset:ode:16,True,True,True,True,True,True,True
regime_onset:ode:17,True,True,True,True,True,True,True
regime_onset:ode:18,True,True,True,True,True,True,True
regime_onset:ode:19,True,True,True,True,True,True,True
regime_onset:ode:20,True,True,True,True,True,True,True
regime_onset:ode:21,True,True,True,True,True,True,True
regime_onset:ode:22,True,True,True,True,True,True,True
regime_onset:ode:23,True,True,True,True,True,True,True
regime_onset:ode:24,True,True,True,True,True,True,True
regime_onset:ode:25,True,True,True,True,True,True,True
regime_onset:ode:26,True,True,True,True,True,True,True
regime_onset:ode:27,True,True,True,True,True,True,True
regime_onset:ode:28,True,True,True,True,True,True,True
regime_onset:ode:29,True,True,True,True,True,True,True
inflection_location:spline:0,True,True,True,True,True,True,True
inflection_location:spline:1,True,True,True,True,True,True,True
inflection_location:spline:2,True,True,True,True,True,True,True
inflection_location:spline:3,True,True,True,True,True,True,True
inflection_location:spline:4,True,True,True,True,True,True,True
inflection_location:spline:5,True,True,True,True,True,True,True
inflection_location:spline:6,True,True,True,True,True,True,True
inflection_location:spline:7,True,True,True,True,True,True,True
inflection_location:spline:8,True,True,True,True,True,True,True
inflection_location:spline:9,True,True,True,True,True,True,True
inflection_location:spline:10,True,True,True,True,True,True,True
inflection_location:spline:11,True,True,True,True,True,True,True
inflection_location:spline:12,True,True,True,True,True,True,True
inflection_location:spline:13,True,True,True,True,True,True,True
inflection_location:spline:14,True,True,True,True,True,True,True
inflection_location:spline:15,True,True,True,True,True,True,True
inflection_location:spline:16,True,True,True,True,True,True,True
inflection_location:spline:17,True,True,True,True,True,True,True
inflection_location:spline:18,True,True,True,True,True,True,True
inflection_location:spline:19,True,True,True,True,True,True,True
inflection_location:spline:20,True,True,True,True,True,True,True
inflection_location:spline:21,True,True,True,True,True,True,True
inflection_location:spline:22,True,True,True,True,True,True,True
inflection_location:spline:23,True,True,True,True,True,True,True
inflection_location:spline:24,True,True,True,True,True,True,True
inflection_location:spline:25,True,True,True,True,True,True,True
inflection_location:spline:26,True,True,True,True,True,True,True
inflection_location:spline:27,True,True,True,True,True,True,True
inflection_location:spline:28,True,True,True,True,True,True,True
inflection_location:spline:29,True,True,True,True,True,True,True
inflection_location:basis:0,True,True,True,True,True,True,True
inflection_location:basis:1,True,True,True,True,True,True,True
inflection_location:basis:2,True,True,True,True,True,True,True
inflection_location:basis:3,True,True,True,True,True,True,True
inflection_location:basis:4,True,True,True,True,True,True,True
inflection_location:basis:5,True,True,True,True,True,True,True
inflection_location:basis:6,True,True,True,True,True,True,True
inflection_location:basis:7,True,True,True,True,True,True,True
inflection_location:basis:8,True,True,True,True,True,True,True
inflection_location:basis:9,True,True,True,True,True,True,True
inflection_location:basis:10,True,True,True,True,True,True,True
inflection_location:basis:11,True,True,True,True,True,True,True
inflection_location:basis:12,True,True,True,True,True,True,True
inflection_location:basis:13,True,True,True,True,True,True,True
inflection_location:basis:14,True,True,True,True,True,True,True
inflection_location:basis:15,True,True,True,True,True,True,True
inflection_location:basis:16,True,True,True,True,True,True,True
inflection_location:basis:17,True,True,True,True,True,True,True
inflection_location:basis:18,True,True,True,True,True,True,True
inflection_location:basis:19,True,True,True,True,True,True,True
inflection_location:basis:20,True,True,True,True,True,True,True
inflection_location:basis:21,True,True,True,True,True,True,True
inflection_location:basis:22,True,True,True,True,True,True,True
inflection_location:basis:23,True,True,True,True,True,True,True
inflection_location:basis:24,True,True,True,True,True,True,True
inflection_location:basis:25,True,True,True,True,True,True,True
inflection_location:basis:26,True,True,True,True,True,True,True
inflection_location:basis:27,True,True,True,True,True,True,True
inflection_location:basis:28,True,True,True,True,True,True,True
inflection_location:basis:29,True,True,True,True,True,True,True
inflection_location:ode:0,True,True,True,True,True,True,True
inflection_location:ode:1,True,True,True,True,True,True,True
inflection_location:ode:2,True,True,True,True,True,True,True
inflection_location:ode:3,True,True,True,True,True,True,True
inflection_location:ode:4,True,True,True,True,True,True,True
inflection_location:ode:5,True,True,True,True,True,True,True
inflection_location:ode:6,True,True,True,True,True,True,True
inflection_location:ode:7,True,True,True,True,True,True,True
inflection_location:ode:8,True,True,True,True,True,True,True
inflection_location:ode:9,True,True,True,True,True,True,True
inflection_location:ode:10,True,True,True,True,True,True,True
inflection_location:ode:11,True,True,True,True,True,True,True
inflection_location:ode:12,True,True,True,True,True,True,True
inflection_location:ode:13,True,True,True,True,True,True,True
inflection_location:ode:14,True,True,True,True,True,True,True
inflection_location:ode:15,True,True,True,True,True,True,True
inflection_location:ode:16,True,True,True,True,True,True,True
inflection_location:ode:17,True,True,True,True,True,True,True
inflection_location:ode:18,True,True,True,True,True,True,True
inflection_location:ode:19,True,True,True,True,True,True,True
inflection_location:ode:20,True,True,True,True,True,True,True
inflection_location:ode:21,True,True,True,True,True,True,True
inflection_location:ode:22,True,True,True,True,True,True,True
inflection_location:ode:23,True,True,True,True,True,True,True
inflection_location:ode:24,True,True,True,True,True,True,True
inflection_location:ode:25,True,True,True,True,True,True,True
inflection_location:ode:26,True,True,True,True,True,True,True
inflection_location:ode:27,True,True,True,True,True,True,True
inflection_location:ode:28,True,True,True,True,True,True,True
inflection_location:ode:29,True,True,True,True,True,True,True
turning_location:spline:0,True,True,True,True,True,True,True
turning_location:spline:1,True,True,True,True,True,True,True
turning_location:spline:2,True,True,True,True,True,True,True
turning_location:spline:3,True,True,True,True,True,True,True
turning_location:spline:4,True,True,True,True,True,True,True
turning_location:spline:5,True,True,True,True,True,True,True
turning_location:spline:6,True,True,True,True,True,True,True
turning_location:spline:7,True,True,True,True,True,True,True
turning_location:spline:8,True,True,True,True,True,True,True
turning_location:spline:9,True,True,True,True,True,True,True
turning_location:spline:10,True,True,True,True,True,True,True
turning_location:spline:11,True,True,True,True,True,True,True
turning_location:spline:12,True,True,True,True,True,True,True
turning_location:spline:13,True,True,True,True,True,True,True
turning_location:spline:14,True,True,True,True,True,True,True
turning_location:spline:15,True,True,True,True,True,True,True
turning_location:spline:16,True,True,True,True,True,True,True
turning_location:spline:17,True,True,True,True,True,True,True
turning_location:spline:18,True,True,True,True,True,True,True
turning_location:spline:19,True,True,True,True,True,True,True
turning_location:spline:20,True,True,True,True,True,True,True
turning_location:spline:21,True,True,True,True,True,True,True
turning_location:spline:22,True,True,True,True,True,True,True
turning_location:spline:23,True,True,True,True,True,True,True
turning_location:spline:24,True,True,True,True,True,True,True
turning_location:spline:25,True,True,True,True,True,True,True
turning_location:spline:26,True,True,True,True,True,True,True
turning_location:spline:27,True,True,True,True,True,True,True
turning_location:spline:28,True,True,True,True,True,True,True
turning_location:spline:29,True,True,True,True,True,True,True
turning_location:basis:0,True,True,True,True,True,True,True
turning_location:basis:1,True,True,True,True,True,True,True
turning_location:basis:2,True,True,True,True,True,True,True
turning_location:basis:3,True,True,True,True,True,True,True
turning_location:basis:4,True,True,True,True,True,True,True
turning_location:basis:5,True,True,True,True,True,True,True
turning_location:basis:6,True,True,True,True,True,True,True
turning_location:basis:7,True,True,True,True,True,True,True
turning_location:basis:8,True,True,True,True,True,True,True
turning_location:basis:9,True,True,True,True,True,True,True
turning_location:basis:10,True,True,True,True,True,True,True
turning_location:basis:11,True,True,True,True,True,True,True
turning_location:basis:12,True,True,True,True,True,True,True
turning_location:basis:13,True,True,True,True,True,True,True
turning_location:basis:14,True,True,True,True,True,True,True
turning_location:basis:15,True,True,True,True,True,True,True
turning_location:basis:16,True,True,True,True,True,True,True
turning_location:basis:17,True,True,True,True,True,True,True
turning_location:basis:18,True,True,True,True,True,True,True
turning_location:basis:19,True,True,True,True,True,True,True
turning_location:basis:20,True,True,True,True,True,True,True
turning_location:basis:21,True,True,True,True,True,True,True
turning_location:basis:22,True,True,True,True,True,True,True
turning_location:basis:23,True,True,True,True,True,True,True
turning_location:basis:24,True,True,True,True,True,True,True
turning_location:basis:25,True,True,True,True,True,True,True
turning_location:basis:26,True,True,True,True,True,True,True
turning_location:basis:27,True,True,True,True,True,True,True
turning_location:basis:28,True,True,True,True,True,True,True
turning_location:basis:29,True,True,True,True,True,True,True
turning_location:ode:0,True,True,True,True,True,True,True
turning_location:ode:1,True,True,True,True,True,True,True
turning_location:ode:2,True,True,True,True,True,True,True
turning_location:ode:3,True,True,True,True,True,True,True
turning_location:ode:4,True,True,True,True,True,True,True
turning_location:ode:5,True,True,True,True,True,True,True
turning_location:ode:6,True,True,True,True,True,True,True
turning_location:ode:7,True,True,True,True,True,True,True
turning_location:ode:8,True,True,True,True,True,True,True
turning_location:ode:9,True,True,True,True,True,True,True
turning_location:ode:10,True,True,True,True,True,True,True
turning_location:ode:11,True,True,True,True,True,True,True
turning_location:ode:12,True,True,True,True,True,True,True
turning_location:ode:13,True,True,True,True,True,True,True
turning_location:ode:14,True,True,True,True,True,True,True
turning_location:ode:15,True,True,True,True,True,True,True
turning_location:ode:16,True,True,True,True,True,True,True
turning_location:ode:17,True,True,True,True,True,True,True
turning_location:ode:18,True,True,True,True,True,True,True
turning_location:ode:19,True,True,True,True,True,True,True
turning_location:ode:20,True,True,True,True,True,True,True
turning_location:ode:21,True,True,True,True,True,True,True
turning_location:ode:22,True,True,True,True,True,True,True
turning_location:ode:23,True,True,True,True,True,True,True
turning_location:ode:24,True,True,True,True,True,True,True
turning_location:ode:25,True,True,True,True,True,True,True
turning_location:ode:26,True,True,True,True,True,True,True
turning_location:ode:27,True,True,True,True,True,True,True
turning_location:ode:28,True,True,True,True,True,True,True
turning_location:ode:29,True,True,True,True,True,True,True
lower_bound_level:spline:0,True,True,True,True,True,True,True
lower_bound_level:spline:1,True,True,True,True,True,True,True
lower_bound_level:spline:2,True,True,True,True,True,True,True
lower_bound_level:spline:3,True,True,True,True,True,True,True
lower_bound_level:spline:4,True,True,True,True,True,True,True
lower_bound_level:spline:5,True,True,True,True,True,True,True
lower_bound_level:spline:6,True,True,True,True,True,True,True
lower_bound_level:spline:7,True,True,True,True,True,True,True
lower_bound_level:spline:8,True,True,True,True,True,True,True
lower_bound_level:spline:9,True,True,True,True,True,True,True
lower_bound_level:spline:10,True,True,True,True,True,True,True
lower_bound_level:spline:11,True,True,True,True,True,True,True
lower_bound_level:spline:12,True,True,True,True,True,True,True
lower_bound_level:spline:13,True,True,True,True,True,True,True
lower_bound_level:spline:14,True,True,True,True,True,True,True
lower_bound_level:spline:15,True,True,True,True,True,True,True
lower_bound_level:spline:16,True,True,True,True,True,True,True
lower_bound_level:spline:17,True,True,True,True,True,True,True
lower_bound_level:spline:18,True,True,True,True,True,True,True
lower_bound_level:spline:19,True,True,True,True,True,True,True
lower_bound_level:spline:20,True,True,True,True,True,True,True
lower_bound_level:spline:21,True,True,True,True,True,True,True
lower_bound_level:spline:22,True,True,True,True,True,True,True
lower_bound_level:spline:23,True,True,True,True,True,True,True
lower_bound_level:spline:24,True,True,True,True,True,True,True
lower_bound_level:spline:25,True,True,True,True,True,True,True
lower_bound_level:spline:26,True,True,True,True,True,True,True
lower_bound_level:spline:27,True,True,True,True,True,True,True
lower_bound_level:spline:28,True,True,True,True,True,True,True
lower_bound_level:spline:29,True,True,True,True,True,True,True
lower_bound_level:basis:0,True,True,True,True,True,True,True
lower_bound_level:basis:1,True,True,True,True,True,True,True
lower_bound_level:basis:2,True,True,True,True,True,True,True
lower_bound_level:basis:3,True,True,True,True,True,True,True
lower_bound_level:basis:4,True,True,True,True,True,True,True
lower_bound_level:basis:5,True,True,True,True,True,True,True
lower_bound_level:basis:6,True,True,True,True,True,True,True
lower_bound_level:basis:7,True,True,True,True,True,True,True
lower_bound_level:basis:8,True,True,True,True,True,True,True
lower_bound_level:basis:9,True,True,True,True,True,True,True
lower_bound_level:basis:10,True,True,True,True,True,True,True
lower_bound_level:basis:11,True,True,True,True,True,True,True
lower_bound_level:basis:12,True,True,True,True,True,True,True
lower_bound_level:basis:13,True,True,True,True,True,True,True
lower_bound_level:basis:14,True,True,True,True,True,True,True
lower_bound_level:basis:15,True,True,True,True,True,True,True
lower_bound_level:basis:16,True,True,True,True,True,True,True
lower_bound_level:basis:17,True,True,True,True,True,True,True
lower_bound_level:basis:18,True,True,True,True,True,True,True
lower_bound_level:basis:19,True,True,True,True,True,True,True
lower_bound_level:basis:20,True,True,True,True,True,True,True
lower_bound_level:basis:21,True,True,True,True,True,True,True
lower_bound_level:basis:22,True,True,True,True,True,True,True
lower_bound_level:basis:23,True,True,True,True,True,True,True
lower_bound_level:basis:24,True,True,True,True,True,True,True
lower_bound_level:basis:25,True,True,True,True,True,True,True
lower_bound_level:basis:26,True,True,True,True,True,True,True
lower_bound_level:basis:27,True,True,True,True,True,True,True
lower_bound_level:basis:28,True,True,True,True,True,True,True
lower_bound_level:basis:29,True,True,True,True,True,True,True
lower_bound_level:ode:0,True,True,True,True,True,True,True
lower_bound_level:ode:1,True,True,True,True,True,True,True
lower_bound_level:ode:2,True,True,True,True,True,True,True
lower_bound_level:ode:3,True,True,True,True,True,True,True
lower_bound_level:ode:4,True,True,True,True,True,True,True
lower_bound_level:ode:5,True,True,True,True,True,True,True
lower_bound_level:ode:6,True,True,True,True,True,True,True
lower_bound_level:ode:7,True,True,True,True,True,True,True
lower_bound_level:ode:8,True,True,True,True,True,True,True
lower_bound_level:ode:9,True,True,True,True,True,True,True
lower_bound_level:ode:10,True,True,True,True,True,True,True
lower_bound_level:ode:11,True,True,True,True,True,True,True
lower_bound_level:ode:12,True,True,True,True,True,True,True
lower_bound_level:ode:13,True,True,True,True,True,True,True
lower_bound_level:ode:14,True,True,True,True,True,True,True
lower_bound_level:ode:15,True,True,True,True,True,True,True
lower_bound_level:ode:16,True,True,True,True,True,True,True
lower_bound_level:ode:17,True,True,True,True,True,True,True
lower_bound_level:ode:18,True,True,True,True,True,True,True
lower_bound_level:ode:19,True,True,True,True,True,True,True
lower_bound_level:ode:20,True,True,True,True,True,True,True
lower_bound_level:ode:21,True,True,True,True,True,True,True
lower_bound_level:ode:22,True,True,True,True,True,True,True
lower_bound_level:ode:23,True,True,True,True,True,True,True
lower_bound_level:ode:24,True,True,True,True,True,True,True
lower_bound_level:ode:25,True,True,True,True,True,True,True
lower_bound_level:ode:26,True,True,True,True,True,True,True
lower_bound_level:ode:27,True,True,True,True,True,True,True
lower_bound_level:ode:28,True,True,True,True,True,True,True
lower_bound_level:ode:29,True,True,True,True,True,True,True
asymptotic_limit:spline:0,True,True,True,True,True,True,True
asymptotic_limit:spline:1,True,True,True,True,True,True,True
asymptotic_limit:spline:2,True,True,True,True,True,True,True
asymptotic_limit:spline:3,True,True,True,True,True,True,True
asymptotic_limit:spline:4,True,True,True,True,True,True,True
asymptotic_limit:spline:5,True,True,True,True,True,True,True
asymptotic_limit:spline:6,True,True,True,True,True,True,True
asymptotic_limit:spline:7,True,True,True,True,True,True,True
asymptotic_limit:spline:8,True,True,True,True,True,True,True
asymptotic_limit:spline:9,True,True,True,True,True,True,True
asymptotic_limit:spline:10,True,True,True,True,True,True,True
asymptotic_limit:spline:11,True,True,True,True,True,True,True
asymptotic_limit:spline:12,True,True,True,True,True,True,True
asymptotic_limit:spline:13,True,True,True,True,True,True,True
asymptotic_limit:spline:14,True,True,True,True,True,True,True
asymptotic_limit:spline:15,True,True,True,True,True,True,True
asymptotic_limit:spline:16,True,True,True,True,True,True,True
asymptotic_limit:spline:17,True,True,True,True,True,True,True
asymptotic_limit:spline:18,True,True,True,True,True,True,True
asymptotic_limit:spline:19,True,True,True,True,True,True,True
asymptotic_limit:spline:20,True,True,True,True,True,True,True
asymptotic_limit:spline:21,True,True,True,True,True,True,True
asymptotic_limit:spline:22,True,True,True,True,True,True,True
asymptotic_limit:spline:23,True,True,True,True,True,True,True
asymptotic_limit:spline:24,True,True,True,True,True,True,True
asymptotic_limit:spline:25,True,True,True,True,True,True,True
asymptotic_limit:spline:26,True,True,True,True,True,True,True
asymptotic_limit:spline:27,True,True,True,True,True,True,True
asymptotic_limit:spline:28,True,True,True,True,True,True,True
asymptotic_limit:spline:29,True,True,True,True,True,True,True
asymptotic_limit:basis:0,True,True,True,True,True,True,True
asymptotic_limit:basis:1,True,True,True,True,True,True,True
asymptotic_limit:basis:2,True,True,True,True,True,True,True
asymptotic_limit:basis:3,True,True,True,True,True,True,True
asymptotic_limit:basis:4,True,True,True,True,True,True,True
asymptotic_limit:basis:5,True,True,True,True,True,True,True
asymptotic_limit:basis:6,True,True,True,True,True,True,True
asymptotic_limit:basis:7,True,True,True,True,True,True,True
asymptotic_limit:basis:8,True,True,True,True,True,True,True
asymptotic_limit:basis:9,True,True,True,True,True,True,True
asymptotic_limit:basis:10,True,True,True,True,True,True,True
asymptotic_limit:basis:11,True,True,True,True,True,True,True
asymptotic_limit:basis:12,True,True,True,True,True,True,True
asymptotic_limit:basis:13,True,True,True,True,True,True,True
asymptotic_limit:basis:14,True,True,True,True,True,True,True
asymptotic_limit:basis:15,True,True,True,True,True,True,True
asymptotic_limit:basis:16,True,True,True,True,True,True,True
asymptotic_limit:basis:17,True,True,True,True,True,True,True
asymptotic_limit:basis:18,True,True,True,True,True,True,True
asymptotic_limit:basis:19,True,True,True,True,True,True,True
asymptotic_limit:basis:20,True,True,True,True,True,True,True
asymptotic_limit:basis:21,True,True,True,True,True,True,True
asymptotic_limit:basis:22,True,True,True,True,True,True,True
asymptotic_limit:basis:23,True,True,True,True,True,True,True
asymptotic_limit:basis:24,True,True,True,True,True,True,True
asymptotic_limit:basis:25,True,True,True,True,True,True,True
asymptotic_limit:basis:26,True,True,True,True,True,True,True
asymptotic_limit:basis:27,True,True,True,True,True,True,True
asymptotic_limit:basis:28,True,True,True,True,True,True,True
asymptotic_limit:basis:29,True,True,True,True,True,True,True
asymptotic_limit:ode:0,True,True,True,True,True,True,True
asymptotic_limit:ode:1,True,True,True,True,True,True,True
asymptotic_limit:ode:2,True,True,True,True,True,True,True
asymptotic_limit:ode:3,True,True,True,True,True,True,True
asymptotic_limit:ode:4,True,True,True,True,True,True,True
asymptotic_limit:ode:5,True,True,True,True,True,True,True
asymptotic_limit:ode:6,True,True,True,True,True,True,True
asymptotic_limit:ode:7,True,True,True,True,True,True,True
asymptotic_limit:ode:8,True,True,True,True,True,True,True
asymptotic_limit:ode:9,True,True,True,True,True,True,True
asymptotic_limit:ode:10,True,True,True,True,True,True,True
asymptotic_limit:ode:11,True,True,True,True,True,True,True
asymptotic_limit:ode:12,True,True,True,True,True,True,True
asymptotic_limit:ode:13,True,True,True,True,True,True,True
asymptotic_limit:ode:14,True,True,True,True,True,True,True
asymptotic_limit:ode:15,True,True,True,True,True,True,True
asymptotic_limit:ode:16,True,True,True,True,True,True,True
asymptotic_limit:ode:17,True,True,True,True,True,True,True
asymptotic_limit:ode:18,True,True,True,True,True,True,True
asymptotic_limit:ode:19,True,True,True,True,True,True,True
asymptotic_limit:ode:20,True,True,True,True,True,True,True
asymptotic_limit:ode:21,True,True,True,True,True,True,True
asymptotic_limit:ode:22,True,True,True,True,True,True,True
asymptotic_limit:ode:23,True,True,True,True,True,True,True
asymptotic_limit:ode:24,True,True,True,True,True,True,True
asymptotic_limit:ode:25,True,True,True,True,True,True,True
asymptotic_limit:ode:26,True,True,True,True,True,True,True
asymptotic_limit:ode:27,True,True,True,True,True,True,True
asymptotic_limit:ode:28,True,True,True,True,True,True,True
asymptotic_limit:ode:29,True,True,True,True,True,True,True
