task_id,operation_id,coverage,expected_coverage,same_ESS,finite_support_audit
direction+curvature+asymptote:basis:0,reverse:direction_decreasing->direction_increasing,0,0,1,1
direction+curvature+asymptote:ode:0,omit:asymptote_to_0_from_above,1,1,1,1
direction+curvature+asymptote:ode:0,omit:curvature_convex,1,1,1,1
direction+curvature+asymptote:ode:0,omit:direction_decreasing,1,1,1,1
direction+curvature+asymptote:ode:0,add:regime_postchange,0,0,1,1
direction+curvature+asymptote:ode:0,reverse:asymptote_to_0_from_above->asymptote_to_0_from_below,0,0,1,1
direction+curvature+asymptote:ode:0,reverse:curvature_convex->curvature_concave,0,0,1,1
direction+curvature+asymptote:ode:0,reverse:direction_decreasing->direction_increasing,0,0,1,1
direction+inflection+bound:spline:0,omit:direction_decreasing,1,1,1,1
direction+inflection+bound:spline:0,omit:inflection_concave_to_convex,1,1,1,1
direction+inflection+bound:spline:0,omit:lower_bound_0,1,1,1,1
direction+inflection+bound:spline:0,add:regime_postchange,0,0,1,1
direction+inflection+bound:spline:0,reverse:direction_decreasing->direction_increasing,0,0,1,1
direction+inflection+bound:spline:0,reverse:inflection_concave_to_convex->inflection_convex_to_concave,0,0,1,1
direction+inflection+bound:basis:0,omit:direction_decreasing,1,1,1,1
direction+inflection+bound:basis:0,omit:inflection_concave_to_convex,1,1,1,1
direction+inflection+bound:basis:0,omit:lower_bound_0,1,1,1,1
direction+inflection+bound:basis:0,add:regime_postchange,0,0,1,1
direction+inflection+bound:basis:0,reverse:direction_decreasing->direction_increasing,0,0,1,1
direction+inflection+bound:basis:0,reverse:inflection_concave_to_convex->inflection_convex_to_concave,0,0,1,1
direction+inflection+bound:ode:0,omit:direction_decreasing,1,1,1,1
direction+inflection+bound:ode:0,omit:inflection_concave_to_convex,1,1,1,1
direction+inflection+bound:ode:0,omit:lower_bound_0,1,1,1,1
direction+inflection+bound:ode:0,add:regime_postchange,0,0,1,1
direction+inflection+bound:ode:0,reverse:direction_decreasing->direction_increasing,0,0,1,1
direction+inflection+bound:ode:0,reverse:inflection_concave_to_convex->inflection_convex_to_concave,0,0,1,1
direction+inflection+asymptote:spline:0,omit:asymptote_to_0_from_above,1,1,1,1
direction+inflection+asymptote:spline:0,omit:direction_decreasing,1,1,1,1
direction+inflection+asymptote:spline:0,omit:inflection_concave_to_convex,1,1,1,1
direction+inflection+asymptote:spline:0,add:regime_postchange,0,0,1,1
direction+inflection+asymptote:spline:0,reverse:asymptote_to_0_from_above->asymptote_to_0_from_below,0,0,1,1
direction+inflection+asymptote:spline:0,reverse:direction_decreasing->direction_increasing,0,0,1,1
direction+inflection+asymptote:spline:0,reverse:inflection_concave_to_convex->inflection_convex_to_concave,0,0,1,1
direction+inflection+asymptote:basis:0,omit:asymptote_to_0_from_above,1,1,1,1
direction+inflection+asymptote:basis:0,omit:direction_decreasing,1,1,1,1
direction+inflection+asymptote:basis:0,omit:inflection_concave_to_convex,1,1,1,1
direction+inflection+asymptote:basis:0,add:regime_postchange,0,0,1,1
direction+inflection+asymptote:basis:0,reverse:asymptote_to_0_from_above->asymptote_to_0_from_below,0,0,1,1
direction+inflection+asymptote:basis:0,reverse:direction_decreasing->direction_increasing,0,0,1,1
direction+inflection+asymptote:basis:0,reverse:inflection_concave_to_convex->inflection_convex_to_concave,0,0,1,1
direction+inflection+asymptote:ode:0,omit:asymptote_to_0_from_above,1,1,1,1
direction+inflection+asymptote:ode:0,omit:direction_decreasing,1,1,1,1
direction+inflection+asymptote:ode:0,omit:inflection_concave_to_convex,1,1,1,1
direction+inflection+asymptote:ode:0,add:regime_postchange,0,0,1,1
direction+inflection+asymptote:ode:0,reverse:asymptote_to_0_from_above->asymptote_to_0_from_below,0,0,1,1
direction+inflection+asymptote:ode:0,reverse:direction_decreasing->direction_increasing,0,0,1,1
direction+inflection+asymptote:ode:0,reverse:inflection_concave_to_convex->inflection_convex_to_concave,0,0,1,1
curvature+bound+asymptote:spline:0,omit:asymptote_to_0_from_above,1,1,1,1
curvature+bound+asymptote:spline:0,omit:curvature_convex,1,1,1,1
curvature+bound+asymptote:spline:0,omit:lower_bound_0,1,1,1,1
curvature+bound+asymptote:spline:0,add:regime_postchange,0,0,1,1
curvature+bound+asymptote:spline:0,reverse:asymptote_to_0_from_above->asymptote_to_0_from_below,0,0,1,1
curvature+bound+asymptote:spline:0,reverse:curvature_convex->curvature_concave,0,0,1,1
curvature+bound+asymptote:basis:0,omit:asymptote_to_0_from_above,1,1,1,1
curvature+bound+asymptote:basis:0,omit:curvature_convex,1,1,1,1
curvature+bound+asymptote:basis:0,omit:lower_bound_0,1,1,1,1
curvature+bound+asymptote:basis:0,add:regime_postchange,0,0,1,1
curvature+bound+asymptote:basis:0,reverse:asymptote_to_0_from_above->asymptote_to_0_from_below,0,0,1,1
curvature+bound+asymptote:basis:0,reverse:curvature_convex->curvature_concave,0,0,1,1
curvature+bound+asymptote:ode:0,omit:asymptote_to_0_from_above,1,1,1,1
curvature+bound+asymptote:ode:0,omit:curvature_convex,1,1,1,1
curvature+bound+asymptote:ode:0,omit:lower_bound_0,1,1,1,1
curvature+bound+asymptote:ode:0,add:regime_postchange,0,0,1,1
curvature+bound+asymptote:ode:0,reverse:asymptote_to_0_from_above->asymptote_to_0_from_below,0,0,1,1
curvature+bound+asymptote:ode:0,reverse:curvature_convex->curvature_concave,0,0,1,1
inflection+bound+asymptote:spline:0,omit:asymptote_to_0_from_above,1,1,1,1
inflection+bound+asymptote:spline:0,omit:inflection_concave_to_convex,1,1,1,1
inflection+bound+asymptote:spline:0,omit:lower_bound_0,1,1,1,1
inflection+bound+asymptote:spline:0,add:regime_postchange,0,0,1,1
inflection+bound+asymptote:spline:0,reverse:asymptote_to_0_from_above->asymptote_to_0_from_below,0,0,1,1
inflection+bound+asymptote:spline:0,reverse:inflection_concave_to_convex->inflection_convex_to_concave,0,0,1,1
inflection+bound+asymptote:basis:0,omit:asymptote_to_0_from_above,1,1,1,1
inflection+bound+asymptote:basis:0,omit:inflection_concave_to_convex,1,1,1,1
inflection+bound+asymptote:basis:0,omit:lower_bound_0,1,1,1,1
inflection+bound+asymptote:basis:0,add:regime_postchange,0,0,1,1
inflection+bound+asymptote:basis:0,reverse:asymptote_to_0_from_above->asymptote_to_0_from_below,0,0,1,1
inflection+bound+asymptote:basis:0,reverse:inflection_concave_to_convex->inflection_convex_to_concave,0,0,1,1
inflection+bound+asymptote:ode:0,omit:asymptote_to_0_from_above,1,1,1,1
inflection+bound+asymptote:ode:0,omit:inflection_concave_to_convex,1,1,1,1
inflection+bound+asymptote:ode:0,omit:lower_bound_0,1,1,1,1
inflection+bound+asymptote:ode:0,add:regime_postchange,0,0,1,1
inflection+bound+asymptote:ode:0,reverse:asymptote_to_0_from_above->asymptote_to_0_from_below,0,0,1,1
inflection+bound+asymptote:ode:0,reverse:inflection_concave_to_convex->inflection_convex_to_concave,0,0,1,1
turning+bound+asymptote:spline:0,omit:asymptote_to_0_from_above,1,1,1,1
turning+bound+asymptote:spline:0,omit:lower_bound_0,1,1,1,1
turning+bound+asymptote:spline:0,omit:turning_maximum,1,1,1,1
turning+bound+asymptote:spline:0,add:regime_postchange,0,0,1,1
turning+bound+asymptote:spline:0,reverse:asymptote_to_0_from_above->asymptote_to_0_from_below,0,0,1,1
turning+bound+asymptote:spline:0,reverse:turning_maximum->turning_minimum,0,0,1,1
turning+bound+asymptote:basis:0,omit:asymptote_to_0_from_above,1,1,1,1
turning+bound+asymptote:basis:0,omit:lower_bound_0,1,1,1,1
turning+bound+asymptote:basis:0,omit:turning_maximum,1,1,1,1
turning+bound+asymptote:basis:0,add:regime_postchange,0,0,1,1
turning+bound+asymptote:basis:0,reverse:asymptote_to_0_from_above->asymptote_to_0_from_below,0,0,1,1
turning+bound+asymptote:basis:0,reverse:turning_maximum->turning_minimum,0,0,1,1
turning+bound+asymptote:ode:0,omit:asymptote_to_0_from_above,1,1,1,1
turning+bound+asymptote:ode:0,omit:lower_bound_0,1,1,1,1
turning+bound+asymptote:ode:0,omit:turning_maximum,1,1,1,1
turning+bound+asymptote:ode:0,add:regime_postchange,0,0,1,1
turning+bound+asymptote:ode:0,reverse:asymptote_to_0_from_above->asymptote_to_0_from_below,0,0,1,1
turning+bound+asymptote:ode:0,reverse:turning_maximum->turning_minimum,0,0,1,1
regime+bound+asymptote:spline:0,omit:asymptote_to_0_from_above,1,1,1,1
regime+bound+asymptote:spline:0,omit:lower_bound_0,1,1,1,1
regime+bound+asymptote:spline:0,omit:regime_postchange,1,1,1,1
regime+bound+asymptote:spline:0,add:turning_maximum,0,0,1,1
regime+bound+asymptote:spline:0,reverse:asymptote_to_0_from_above->asymptote_to_0_from_below,0,0,1,1
regime+bound+asymptote:basis:0,omit:asymptote_to_0_from_above,1,1,1,1
regime+bound+asymptote:basis:0,omit:lower_bound_0,1,1,1,1
regime+bound+asymptote:basis:0,omit:regime_postchange,1,1,1,1
regime+bound+asymptote:basis:0,add:turning_maximum,0,0,1,1
regime+bound+asymptote:basis:0,reverse:asymptote_to_0_from_above->asymptote_to_0_from_below,0,0,1,1
regime+bound+asymptote:ode:0,omit:asymptote_to_0_from_above,1,1,1,1
regime+bound+asymptote:ode:0,omit:lower_bound_0,1,1,1,1
regime+bound+asymptote:ode:0,omit:regime_postchange,1,1,1,1
regime+bound+asymptote:ode:0,add:turning_maximum,0,0,1,1
regime+bound+asymptote:ode:0,reverse:asymptote_to_0_from_above->asymptote_to_0_from_below,0,0,1,1
