task_id,field,generator,draw,baseline_specification_state,sign,epsilon_break,break_status,epsilon_CW,CW_status,delta_epsilon_CW
inflection_location:basis:0,inflection_location,basis,0,r0=+0.8,1,0.05,observed,0.05,observed,0.0
inflection_location:ode:0,inflection_location,ode,0,r0=-0.8,-1,0.05,observed,0.05,observed,0.0
inflection_location:ode:0,inflection_location,ode,0,r0=-0.8,1,0.025,observed,0.025,observed,0.0
inflection_location:ode:0,inflection_location,ode,0,r0=+0.0,-1,0.05,observed,0.05,observed,0.0
inflection_location:ode:0,inflection_location,ode,0,r0=+0.0,1,0.05,observed,0.05,observed,0.0
inflection_location:ode:0,inflection_location,ode,0,r0=+0.8,-1,0.025,observed,0.025,observed,0.0
inflection_location:ode:0,inflection_location,ode,0,r0=+0.8,1,0.05,observed,0.05,observed,0.0
turning_location:spline:0,turning_location,spline,0,r0=-0.8,-1,0.05,observed,0.05,observed,0.0
turning_location:spline:0,turning_location,spline,0,r0=-0.8,1,0.025,observed,0.025,observed,0.0
turning_location:spline:0,turning_location,spline,0,r0=+0.0,-1,0.05,observed,0.05,observed,0.0
turning_location:spline:0,turning_location,spline,0,r0=+0.0,1,0.05,observed,0.05,observed,0.0
turning_location:spline:0,turning_location,spline,0,r0=+0.8,-1,0.025,observed,0.025,observed,0.0
turning_location:spline:0,turning_location,spline,0,r0=+0.8,1,0.05,observed,0.05,observed,0.0
turning_location:basis:0,turning_location,basis,0,r0=-0.8,-1,0.05,observed,0.05,observed,0.0
turning_location:basis:0,turning_location,basis,0,r0=-0.8,1,0.025,observed,0.025,observed,0.0
turning_location:basis:0,turning_location,basis,0,r0=+0.0,-1,0.05,observed,0.05,observed,0.0
turning_location:basis:0,turning_location,basis,0,r0=+0.0,1,0.05,observed,0.05,observed,0.0
turning_location:basis:0,turning_location,basis,0,r0=+0.8,-1,0.025,observed,0.025,observed,0.0
turning_location:basis:0,turning_location,basis,0,r0=+0.8,1,0.05,observed,0.05,observed,0.0
turning_location:ode:0,turning_location,ode,0,r0=-0.8,-1,0.05,observed,0.05,observed,0.0
turning_location:ode:0,turning_location,ode,0,r0=-0.8,1,0.025,observed,0.025,observed,0.0
turning_location:ode:0,turning_location,ode,0,r0=+0.0,-1,0.05,observed,0.05,observed,0.0
turning_location:ode:0,turning_location,ode,0,r0=+0.0,1,0.05,observed,0.05,observed,0.0
turning_location:ode:0,turning_location,ode,0,r0=+0.8,-1,0.025,observed,0.025,observed,0.0
turning_location:ode:0,turning_location,ode,0,r0=+0.8,1,0.05,observed,0.05,observed,0.0
lower_bound_level:spline:0,lower_bound_level,spline,0,m0=0.005,-1,nan,right_censored,nan,not_at_risk,nan
lower_bound_level:spline:0,lower_bound_level,spline,0,m0=0.005,1,0.025,observed,0.025,observed,0.0
lower_bound_level:spline:0,lower_bound_level,spline,0,m0=0.035,-1,nan,right_censored,nan,not_at_risk,nan
lower_bound_level:spline:0,lower_bound_level,spline,0,m0=0.035,1,0.05,observed,0.05,observed,0.0
lower_bound_level:spline:0,lower_bound_level,spline,0,m0=0.075,-1,nan,right_censored,nan,not_at_risk,nan
lower_bound_level:spline:0,lower_bound_level,spline,0,m0=0.075,1,0.1,observed,0.1,observed,0.0
lower_bound_level:basis:0,lower_bound_level,basis,0,m0=0.005,-1,nan,right_censored,nan,not_at_risk,nan
lower_bound_level:basis:0,lower_bound_level,basis,0,m0=0.005,1,0.025,observed,0.025,observed,0.0
lower_bound_level:basis:0,lower_bound_level,basis,0,m0=0.035,-1,nan,right_censored,nan,not_at_risk,nan
lower_bound_level:basis:0,lower_bound_level,basis,0,m0=0.035,1,0.05,observed,0.05,observed,0.0
lower_bound_level:basis:0,lower_bound_level,basis,0,m0=0.075,-1,nan,right_censored,nan,not_at_risk,nan
lower_bound_level:basis:0,lower_bound_level,basis,0,m0=0.075,1,0.1,observed,0.1,observed,0.0
lower_bound_level:ode:0,lower_bound_level,ode,0,m0=0.005,-1,nan,right_censored,nan,not_at_risk,nan
lower_bound_level:ode:0,lower_bound_level,ode,0,m0=0.005,1,0.025,observed,0.025,observed,0.0
lower_bound_level:ode:0,lower_bound_level,ode,0,m0=0.035,-1,nan,right_censored,nan,not_at_risk,nan
lower_bound_level:ode:0,lower_bound_level,ode,0,m0=0.035,1,0.05,observed,0.05,observed,0.0
lower_bound_level:ode:0,lower_bound_level,ode,0,m0=0.075,-1,nan,right_censored,nan,not_at_risk,nan
lower_bound_level:ode:0,lower_bound_level,ode,0,m0=0.075,1,0.1,observed,0.1,observed,0.0
asymptotic_limit:spline:0,asymptotic_limit,spline,0,r0=-0.8,-1,0.05,observed,0.05,observed,0.0
asymptotic_limit:spline:0,asymptotic_limit,spline,0,r0=-0.8,1,0.025,observed,0.025,observed,0.0
asymptotic_limit:spline:0,asymptotic_limit,spline,0,r0=+0.0,-1,0.05,observed,0.05,observed,0.0
asymptotic_limit:spline:0,asymptotic_limit,spline,0,r0=+0.0,1,0.05,observed,0.05,observed,0.0
asymptotic_limit:spline:0,asymptotic_limit,spline,0,r0=+0.8,-1,0.025,observed,0.025,observed,0.0
asymptotic_limit:spline:0,asymptotic_limit,spline,0,r0=+0.8,1,0.05,observed,0.05,observed,0.0
asymptotic_limit:basis:0,asymptotic_limit,basis,0,r0=-0.8,-1,0.05,observed,0.05,observed,0.0
asymptotic_limit:basis:0,asymptotic_limit,basis,0,r0=-0.8,1,0.025,observed,0.025,observed,0.0
asymptotic_limit:basis:0,asymptotic_limit,basis,0,r0=+0.0,-1,0.05,observed,0.05,observed,0.0
asymptotic_limit:basis:0,asymptotic_limit,basis,0,r0=+0.0,1,0.05,observed,0.05,observed,0.0
asymptotic_limit:basis:0,asymptotic_limit,basis,0,r0=+0.8,-1,0.025,observed,0.025,observed,0.0
asymptotic_limit:basis:0,asymptotic_limit,basis,0,r0=+0.8,1,0.05,observed,0.05,observed,0.0
asymptotic_limit:ode:0,asymptotic_limit,ode,0,r0=-0.8,-1,0.05,observed,0.05,observed,0.0
asymptotic_limit:ode:0,asymptotic_limit,ode,0,r0=-0.8,1,0.025,observed,0.025,observed,0.0
asymptotic_limit:ode:0,asymptotic_limit,ode,0,r0=+0.0,-1,0.05,observed,0.05,observed,0.0
asymptotic_limit:ode:0,asymptotic_limit,ode,0,r0=+0.0,1,0.05,observed,0.05,observed,0.0
asymptotic_limit:ode:0,asymptotic_limit,ode,0,r0=+0.8,-1,0.025,observed,0.025,observed,0.0
asymptotic_limit:ode:0,asymptotic_limit,ode,0,r0=+0.8,1,0.05,observed,0.05,observed,0.0
