intent_name,generator,eta,scope_stratum,requested,accepted,attempts,ambiguous_envelope_rejects,checker_rejects,exhaustion
direction+curvature+asymptote,ode,mid,intermediate,10,10,10,0,0,0
direction+curvature+asymptote,ode,mid,persistent_within_tested_domain,10,10,10,0,0,0
direction+curvature+asymptote,ode,high,limited,10,10,10,0,0,0
direction+curvature+asymptote,ode,high,intermediate,10,10,10,0,0,0
direction+curvature+asymptote,ode,high,persistent_within_tested_domain,10,10,10,0,0,0
direction+inflection+bound,spline,low,limited,10,10,10,0,0,0
direction+inflection+bound,spline,low,intermediate,10,10,10,0,0,0
direction+inflection+bound,spline,low,persistent_within_tested_domain,10,10,10,0,0,0
direction+inflection+bound,spline,mid,limited,10,10,10,0,0,0
direction+inflection+bound,spline,mid,intermediate,10,10,10,0,0,0
direction+inflection+bound,spline,mid,persistent_within_tested_domain,10,10,10,0,0,0
direction+inflection+bound,spline,high,limited,10,10,10,0,0,0
direction+inflection+bound,spline,high,intermediate,10,10,10,0,0,0
direction+inflection+bound,spline,high,persistent_within_tested_domain,10,10,10,0,0,0
direction+inflection+bound,basis,low,limited,10,10,10,0,0,0
direction+inflection+bound,basis,low,intermediate,10,10,10,0,0,0
direction+inflection+bound,basis,low,persistent_within_tested_domain,10,10,10,0,0,0
direction+inflection+bound,basis,mid,limited,10,10,10,0,0,0
direction+inflection+bound,basis,mid,intermediate,10,10,10,0,0,0
direction+inflection+bound,basis,mid,persistent_within_tested_domain,10,10,10,0,0,0
direction+inflection+bound,basis,high,limited,10,10,10,0,0,0
direction+inflection+bound,basis,high,intermediate,10,10,10,0,0,0
direction+inflection+bound,basis,high,persistent_within_tested_domain,10,10,10,0,0,0
direction+inflection+bound,ode,low,limited,10,10,10,0,0,0
direction+inflection+bound,ode,low,intermediate,10,10,10,0,0,0
direction+inflection+bound,ode,low,persistent_within_tested_domain,10,10,10,0,0,0
direction+inflection+bound,ode,mid,limited,10,10,10,0,0,0
direction+inflection+bound,ode,mid,intermediate,10,10,10,0,0,0
direction+inflection+bound,ode,mid,persistent_within_tested_domain,10,10,10,0,0,0
direction+inflection+bound,ode,high,limited,10,10,10,0,0,0
direction+inflection+bound,ode,high,intermediate,10,10,10,0,0,0
direction+inflection+bound,ode,high,persistent_within_tested_domain,10,10,10,0,0,0
direction+inflection+asymptote,spline,low,limited,10,10,10,0,0,0
direction+inflection+asymptote,spline,low,intermediate,10,10,10,0,0,0
direction+inflection+asymptote,spline,low,persistent_within_tested_domain,10,10,10,0,0,0
direction+inflection+asymptote,spline,mid,limited,10,10,10,0,0,0
direction+inflection+asymptote,spline,mid,intermediate,10,10,10,0,0,0
direction+inflection+asymptote,spline,mid,persistent_within_tested_domain,10,10,10,0,0,0
direction+inflection+asymptote,spline,high,limited,10,10,10,0,0,0
direction+inflection+asymptote,spline,high,intermediate,10,10,10,0,0,0
direction+inflection+asymptote,spline,high,persistent_within_tested_domain,10,10,10,0,0,0
direction+inflection+asymptote,basis,low,limited,10,10,10,0,0,0
direction+inflection+asymptote,basis,low,intermediate,10,10,10,0,0,0
direction+inflection+asymptote,basis,low,persistent_within_tested_domain,10,10,10,0,0,0
direction+inflection+asymptote,basis,mid,limited,10,10,10,0,0,0
direction+inflection+asymptote,basis,mid,intermediate,10,10,10,0,0,0
direction+inflection+asymptote,basis,mid,persistent_within_tested_domain,10,10,10,0,0,0
direction+inflection+asymptote,basis,high,limited,10,10,10,0,0,0
direction+inflection+asymptote,basis,high,intermediate,10,10,10,0,0,0
direction+inflection+asymptote,basis,high,persistent_within_tested_domain,10,10,10,0,0,0
direction+inflection+asymptote,ode,low,limited,10,10,10,0,0,0
direction+inflection+asymptote,ode,low,intermediate,10,10,10,0,0,0
direction+inflection+asymptote,ode,low,persistent_within_tested_domain,10,10,10,0,0,0
direction+inflection+asymptote,ode,mid,limited,10,10,10,0,0,0
direction+inflection+asymptote,ode,mid,intermediate,10,10,10,0,0,0
direction+inflection+asymptote,ode,mid,persistent_within_tested_domain,10,10,10,0,0,0
direction+inflection+asymptote,ode,high,limited,10,10,10,0,0,0
direction+inflection+asymptote,ode,high,intermediate,10,10,10,0,0,0
direction+inflection+asymptote,ode,high,persistent_within_tested_domain,10,10,10,0,0,0
curvature+bound+asymptote,spline,low,limited,10,10,10,0,0,0
curvature+bound+asymptote,spline,low,intermediate,10,10,10,0,0,0
curvature+bound+asymptote,spline,low,persistent_within_tested_domain,10,10,10,0,0,0
curvature+bound+asymptote,spline,mid,limited,10,10,10,0,0,0
curvature+bound+asymptote,spline,mid,intermediate,10,10,10,0,0,0
curvature+bound+asymptote,spline,mid,persistent_within_tested_domain,10,10,10,0,0,0
curvature+bound+asymptote,spline,high,limited,10,10,10,0,0,0
curvature+bound+asymptote,spline,high,intermediate,10,10,10,0,0,0
curvature+bound+asymptote,spline,high,persistent_within_tested_domain,10,10,10,0,0,0
curvature+bound+asymptote,basis,low,limited,10,10,10,0,0,0
curvature+bound+asymptote,basis,low,intermediate,10,10,10,0,0,0
curvature+bound+asymptote,basis,low,persistent_within_tested_domain,10,10,10,0,0,0
curvature+bound+asymptote,basis,mid,limited,10,10,10,0,0,0
curvature+bound+asymptote,basis,mid,intermediate,10,10,10,0,0,0
curvature+bound+asymptote,basis,mid,persistent_within_tested_domain,10,10,10,0,0,0
curvature+bound+asymptote,basis,high,limited,10,10,10,0,0,0
curvature+bound+asymptote,basis,high,intermediate,10,10,10,0,0,0
curvature+bound+asymptote,basis,high,persistent_within_tested_domain,10,10,10,0,0,0
curvature+bound+asymptote,ode,low,limited,10,10,10,0,0,0
curvature+bound+asymptote,ode,low,intermediate,10,10,10,0,0,0
curvature+bound+asymptote,ode,low,persistent_within_tested_domain,10,10,10,0,0,0
curvature+bound+asymptote,ode,mid,limited,10,10,10,0,0,0
curvature+bound+asymptote,ode,mid,intermediate,10,10,10,0,0,0
curvature+bound+asymptote,ode,mid,persistent_within_tested_domain,10,10,10,0,0,0
curvature+bound+asymptote,ode,high,limited,10,10,10,0,0,0
curvature+bound+asymptote,ode,high,intermediate,10,10,10,0,0,0
curvature+bound+asymptote,ode,high,persistent_within_tested_domain,10,10,10,0,0,0
inflection+bound+asymptote,spline,low,limited,10,10,10,0,0,0
inflection+bound+asymptote,spline,low,intermediate,10,10,10,0,0,0
inflection+bound+asymptote,spline,low,persistent_within_tested_domain,10,10,10,0,0,0
inflection+bound+asymptote,spline,mid,limited,10,10,10,0,0,0
inflection+bound+asymptote,spline,mid,intermediate,10,10,10,0,0,0
inflection+bound+asymptote,spline,mid,persistent_within_tested_domain,10,10,10,0,0,0
inflection+bound+asymptote,spline,high,limited,10,10,10,0,0,0
inflection+bound+asymptote,spline,high,intermediate,10,10,10,0,0,0
inflection+bound+asymptote,spline,high,persistent_within_tested_domain,10,10,10,0,0,0
inflection+bound+asymptote,basis,low,limited,10,10,10,0,0,0
inflection+bound+asymptote,basis,low,intermediate,10,10,10,0,0,0
inflection+bound+asymptote,basis,low,persistent_within_tested_domain,10,10,10,0,0,0
inflection+bound+asymptote,basis,mid,limited,10,10,10,0,0,0
inflection+bound+asymptote,basis,mid,intermediate,10,10,10,0,0,0
inflection+bound+asymptote,basis,mid,persistent_within_tested_domain,10,10,10,0,0,0
inflection+bound+asymptote,basis,high,limited,10,10,10,0,0,0
inflection+bound+asymptote,basis,high,intermediate,10,10,10,0,0,0
inflection+bound+asymptote,basis,high,persistent_within_tested_domain,10,10,10,0,0,0
inflection+bound+asymptote,ode,low,limited,10,10,10,0,0,0
inflection+bound+asymptote,ode,low,intermediate,10,10,10,0,0,0
inflection+bound+asymptote,ode,low,persistent_within_tested_domain,10,10,10,0,0,0
inflection+bound+asymptote,ode,mid,limited,10,10,10,0,0,0
inflection+bound+asymptote,ode,mid,intermediate,10,10,10,0,0,0
inflection+bound+asymptote,ode,mid,persistent_within_tested_domain,10,10,10,0,0,0
inflection+bound+asymptote,ode,high,limited,10,10,10,0,0,0
inflection+bound+asymptote,ode,high,intermediate,10,10,10,0,0,0
inflection+bound+asymptote,ode,high,persistent_within_tested_domain,10,10,10,0,0,0
turning+bound+asymptote,spline,low,limited,10,10,10,0,0,0
turning+bound+asymptote,spline,low,intermediate,10,10,10,0,0,0
turning+bound+asymptote,spline,low,persistent_within_tested_domain,10,10,10,0,0,0
turning+bound+asymptote,spline,mid,limited,10,10,10,0,0,0
turning+bound+asymptote,spline,mid,intermediate,10,10,10,0,0,0
turning+bound+asymptote,spline,mid,persistent_within_tested_domain,10,10,10,0,0,0
turning+bound+asymptote,spline,high,limited,10,10,10,0,0,0
turning+bound+asymptote,spline,high,intermediate,10,10,10,0,0,0
turning+bound+asymptote,spline,high,persistent_within_tested_domain,10,10,10,0,0,0
turning+bound+asymptote,basis,low,limited,10,10,10,0,0,0
turning+bound+asymptote,basis,low,intermediate,10,10,10,0,0,0
turning+bound+asymptote,basis,low,persistent_within_tested_domain,10,10,10,0,0,0
turning+bound+asymptote,basis,mid,limited,10,10,10,0,0,0
turning+bound+asymptote,basis,mid,intermediate,10,10,10,0,0,0
turning+bound+asymptote,basis,mid,persistent_within_tested_domain,10,10,10,0,0,0
turning+bound+asymptote,basis,high,limited,10,10,10,0,0,0
turning+bound+asymptote,basis,high,intermediate,10,10,10,0,0,0
turning+bound+asymptote,basis,high,persistent_within_tested_domain,10,10,10,0,0,0
turning+bound+asymptote,ode,low,limited,10,10,10,0,0,0
turning+bound+asymptote,ode,low,intermediate,10,10,10,0,0,0
turning+bound+asymptote,ode,low,persistent_within_tested_domain,10,10,10,0,0,0
turning+bound+asymptote,ode,mid,limited,10,10,10,0,0,0
turning+bound+asymptote,ode,mid,intermediate,10,10,10,0,0,0
turning+bound+asymptote,ode,mid,persistent_within_tested_domain,10,10,10,0,0,0
turning+bound+asymptote,ode,high,limited,10,10,10,0,0,0
turning+bound+asymptote,ode,high,intermediate,10,10,10,0,0,0
turning+bound+asymptote,ode,high,persistent_within_tested_domain,10,10,10,0,0,0
regime+bound+asymptote,spline,low,limited,10,10,10,0,0,0
regime+bound+asymptote,spline,low,intermediate,10,10,10,0,0,0
regime+bound+asymptote,spline,low,persistent_within_tested_domain,10,10,10,0,0,0
regime+bound+asymptote,spline,mid,limited,10,10,10,0,0,0
regime+bound+asymptote,spline,mid,intermediate,10,10,10,0,0,0
regime+bound+asymptote,spline,mid,persistent_within_tested_domain,10,10,10,0,0,0
regime+bound+asymptote,spline,high,limited,10,10,10,0,0,0
regime+bound+asymptote,spline,high,intermediate,10,10,10,0,0,0
regime+bound+asymptote,spline,high,persistent_within_tested_domain,10,10,10,0,0,0
regime+bound+asymptote,basis,low,limited,10,10,10,0,0,0
regime+bound+asymptote,basis,low,intermediate,10,10,10,0,0,0
regime+bound+asymptote,basis,low,persistent_within_tested_domain,10,10,10,0,0,0
regime+bound+asymptote,basis,mid,limited,10,10,10,0,0,0
regime+bound+asymptote,basis,mid,intermediate,10,10,10,0,0,0
regime+bound+asymptote,basis,mid,persistent_within_tested_domain,10,10,10,0,0,0
regime+bound+asymptote,basis,high,limited,10,10,10,0,0,0
regime+bound+asymptote,basis,high,intermediate,10,10,10,0,0,0
regime+bound+asymptote,basis,high,persistent_within_tested_domain,10,10,10,0,0,0
regime+bound+asymptote,ode,low,limited,10,10,10,0,0,0
regime+bound+asymptote,ode,low,intermediate,10,10,10,0,0,0
regime+bound+asymptote,ode,low,persistent_within_tested_domain,10,10,10,0,0,0
regime+bound+asymptote,ode,mid,limited,10,10,10,0,0,0
regime+bound+asymptote,ode,mid,intermediate,10,10,10,0,0,0
regime+bound+asymptote,ode,mid,persistent_within_tested_domain,10,10,10,0,0,0
regime+bound+asymptote,ode,high,limited,10,10,10,0,0,0
regime+bound+asymptote,ode,high,intermediate,10,10,10,0,0,0
regime+bound+asymptote,ode,high,persistent_within_tested_domain,10,10,10,0,0,0
