oracle_size,omitted_count,eta,scope,generator,n,reliable_rate,floor_rate
4,1,low,intermediate,spline,240,0.9666666666666667,0.0
4,0,low,intermediate,spline,60,0.9666666666666667,0.0
4,3,low,persistent_within_tested_domain,spline,240,0.9166666666666666,0.0
4,2,low,persistent_within_tested_domain,spline,360,0.9166666666666666,0.0
4,1,low,persistent_within_tested_domain,spline,240,0.9166666666666666,0.0
4,0,low,persistent_within_tested_domain,spline,60,0.9166666666666666,0.0
4,3,mid,limited,spline,240,0.85,0.0
4,2,mid,limited,spline,360,0.85,0.0
4,1,mid,limited,spline,240,0.85,0.0
4,0,mid,limited,spline,60,0.85,0.0
4,3,mid,intermediate,spline,240,0.9166666666666666,0.0
4,2,mid,intermediate,spline,360,0.9166666666666666,0.0
4,1,mid,intermediate,spline,240,0.9166666666666666,0.0
4,0,mid,intermediate,spline,60,0.9166666666666666,0.0
4,3,mid,persistent_within_tested_domain,spline,240,0.8833333333333333,0.0
4,2,mid,persistent_within_tested_domain,spline,360,0.8833333333333333,0.0
4,1,mid,persistent_within_tested_domain,spline,240,0.8833333333333333,0.0
4,0,mid,persistent_within_tested_domain,spline,60,0.8833333333333333,0.0
4,3,high,limited,spline,240,0.9,0.0
4,2,high,limited,spline,360,0.9,0.0
4,1,high,limited,spline,240,0.9,0.0
4,0,high,limited,spline,60,0.9,0.0
4,3,high,intermediate,spline,240,0.95,0.0
4,2,high,intermediate,spline,360,0.95,0.0
4,1,high,intermediate,spline,240,0.95,0.0
4,0,high,intermediate,spline,60,0.95,0.0
4,3,high,persistent_within_tested_domain,spline,240,0.9,0.0
4,2,high,persistent_within_tested_domain,spline,360,0.9,0.0
4,1,high,persistent_within_tested_domain,spline,240,0.9,0.0
4,0,high,persistent_within_tested_domain,spline,60,0.9,0.0
4,3,low,limited,basis,240,1.0,0.0
4,2,low,limited,basis,360,1.0,0.0
4,1,low,limited,basis,240,1.0,0.0
4,0,low,limited,basis,60,1.0,0.0
4,3,low,intermediate,basis,240,0.9166666666666666,0.0
4,2,low,intermediate,basis,360,0.9166666666666666,0.0
4,1,low,intermediate,basis,240,0.9166666666666666,0.0
4,0,low,intermediate,basis,60,0.9166666666666666,0.0
4,3,low,persistent_within_tested_domain,basis,240,0.9,0.0
4,2,low,persistent_within_tested_domain,basis,360,0.9,0.0
4,1,low,persistent_within_tested_domain,basis,240,0.9,0.0
4,0,low,persistent_within_tested_domain,basis,60,0.9,0.0
4,3,mid,limited,basis,240,0.9833333333333333,0.0
4,2,mid,limited,basis,360,0.9833333333333333,0.0
4,1,mid,limited,basis,240,0.9833333333333333,0.0
4,0,mid,limited,basis,60,0.9833333333333333,0.0
4,3,mid,intermediate,basis,240,0.9166666666666666,0.0
4,2,mid,intermediate,basis,360,0.9166666666666666,0.0
4,1,mid,intermediate,basis,240,0.9166666666666666,0.0
4,0,mid,intermediate,basis,60,0.9166666666666666,0.0
4,3,mid,persistent_within_tested_domain,basis,240,0.9,0.0
4,2,mid,persistent_within_tested_domain,basis,360,0.9,0.0
4,1,mid,persistent_within_tested_domain,basis,240,0.9,0.0
4,0,mid,persistent_within_tested_domain,basis,60,0.9,0.0
4,3,high,limited,basis,240,0.8166666666666667,0.0
4,2,high,limited,basis,360,0.8166666666666667,0.0
4,1,high,limited,basis,240,0.8166666666666667,0.0
4,0,high,limited,basis,60,0.8166666666666667,0.0
4,3,high,intermediate,basis,240,0.8666666666666667,0.0
4,2,high,intermediate,basis,360,0.8666666666666667,0.0
4,1,high,intermediate,basis,240,0.8666666666666667,0.0
4,0,high,intermediate,basis,60,0.8666666666666667,0.0
4,3,high,persistent_within_tested_domain,basis,240,0.8666666666666667,0.0
4,2,high,persistent_within_tested_domain,basis,360,0.8666666666666667,0.0
4,1,high,persistent_within_tested_domain,basis,240,0.8666666666666667,0.0
4,0,high,persistent_within_tested_domain,basis,60,0.8666666666666667,0.0
4,3,low,limited,ode,240,0.8833333333333333,0.0
4,2,low,limited,ode,360,0.8833333333333333,0.0
4,1,low,limited,ode,240,0.8833333333333333,0.0
4,0,low,limited,ode,60,0.8833333333333333,0.0
4,3,low,intermediate,ode,240,0.9,0.0
4,2,low,intermediate,ode,360,0.9,0.0
4,1,low,intermediate,ode,240,0.9,0.0
4,0,low,intermediate,ode,60,0.9,0.0
4,3,low,persistent_within_tested_domain,ode,240,0.9833333333333333,0.0
4,2,low,persistent_within_tested_domain,ode,360,0.9833333333333333,0.0
4,1,low,persistent_within_tested_domain,ode,240,0.9833333333333333,0.0
4,0,low,persistent_within_tested_domain,ode,60,0.9833333333333333,0.0
4,3,mid,limited,ode,240,0.8666666666666667,0.0
4,2,mid,limited,ode,360,0.8666666666666667,0.0
4,1,mid,limited,ode,240,0.8666666666666667,0.0
4,0,mid,limited,ode,60,0.8666666666666667,0.0
4,3,mid,intermediate,ode,240,0.9,0.0
4,2,mid,intermediate,ode,360,0.9,0.0
4,1,mid,intermediate,ode,240,0.9,0.0
4,0,mid,intermediate,ode,60,0.9,0.0
4,3,mid,persistent_within_tested_domain,ode,240,0.8833333333333333,0.0
4,2,mid,persistent_within_tested_domain,ode,360,0.8833333333333333,0.0
4,1,mid,persistent_within_tested_domain,ode,240,0.8833333333333333,0.0
4,0,mid,persistent_within_tested_domain,ode,60,0.8833333333333333,0.0
4,3,high,limited,ode,240,0.8666666666666667,0.0
4,2,high,limited,ode,360,0.8666666666666667,0.0
4,1,high,limited,ode,240,0.8666666666666667,0.0
4,0,high,limited,ode,60,0.8666666666666667,0.0
4,3,high,intermediate,ode,240,0.95,0.0
4,2,high,intermediate,ode,360,0.95,0.0
4,1,high,intermediate,ode,240,0.95,0.0
4,0,high,intermediate,ode,60,0.95,0.0
4,3,high,persistent_within_tested_domain,ode,240,0.8666666666666667,0.0
4,2,high,persistent_within_tested_domain,ode,360,0.8666666666666667,0.0
4,1,high,persistent_within_tested_domain,ode,240,0.8666666666666667,0.0
4,0,high,persistent_within_tested_domain,ode,60,0.8666666666666667,0.0
5,4,low,limited,spline,50,1.0,0.0
5,3,low,limited,spline,100,1.0,0.0
5,2,low,limited,spline,100,1.0,0.0
5,1,low,limited,spline,50,1.0,0.0
5,0,low,limited,spline,10,1.0,0.0
5,4,low,intermediate,spline,50,1.0,0.0
5,3,low,intermediate,spline,100,1.0,0.0
5,2,low,intermediate,spline,100,1.0,0.0
5,1,low,intermediate,spline,50,1.0,0.0
5,0,low,intermediate,spline,10,1.0,0.0
5,4,low,persistent_within_tested_domain,spline,50,0.8,0.0
5,3,low,persistent_within_tested_domain,spline,100,0.8,0.0
5,2,low,persistent_within_tested_domain,spline,100,0.8,0.0
5,1,low,persistent_within_tested_domain,spline,50,0.8,0.0
5,0,low,persistent_within_tested_domain,spline,10,0.8,0.0
5,4,mid,limited,spline,50,1.0,0.0
5,3,mid,limited,spline,100,1.0,0.0
5,2,mid,limited,spline,100,1.0,0.0
5,1,mid,limited,spline,50,1.0,0.0
5,0,mid,limited,spline,10,1.0,0.0
5,4,mid,intermediate,spline,50,0.9,0.0
5,3,mid,intermediate,spline,100,0.9,0.0
5,2,mid,intermediate,spline,100,0.9,0.0
5,1,mid,intermediate,spline,50,0.9,0.0
5,0,mid,intermediate,spline,10,0.9,0.0
5,4,mid,persistent_within_tested_domain,spline,50,0.8,0.0
5,3,mid,persistent_within_tested_domain,spline,100,0.8,0.0
5,2,mid,persistent_within_tested_domain,spline,100,0.8,0.0
5,1,mid,persistent_within_tested_domain,spline,50,0.8,0.0
5,0,mid,persistent_within_tested_domain,spline,10,0.8,0.0
5,4,high,limited,spline,50,0.9,0.0
5,3,high,limited,spline,100,0.9,0.0
5,2,high,limited,spline,100,0.9,0.0
5,1,high,limited,spline,50,0.9,0.0
5,0,high,limited,spline,10,0.9,0.0
5,4,high,intermediate,spline,50,0.9,0.0
5,3,high,intermediate,spline,100,0.9,0.0
5,2,high,intermediate,spline,100,0.9,0.0
5,1,high,intermediate,spline,50,0.9,0.0
5,0,high,intermediate,spline,10,0.9,0.0
5,4,high,persistent_within_tested_domain,spline,50,1.0,0.0
5,3,high,persistent_within_tested_domain,spline,100,1.0,0.0
5,2,high,persistent_within_tested_domain,spline,100,1.0,0.0
5,1,high,persistent_within_tested_domain,spline,50,1.0,0.0
5,0,high,persistent_within_tested_domain,spline,10,1.0,0.0
5,4,low,limited,basis,50,0.9,0.0
5,3,low,limited,basis,100,0.9,0.0
5,2,low,limited,basis,100,0.9,0.0
5,1,low,limited,basis,50,0.9,0.0
5,0,low,limited,basis,10,0.9,0.0
5,4,low,intermediate,basis,50,0.9,0.0
5,3,low,intermediate,basis,100,0.9,0.0
5,2,low,intermediate,basis,100,0.9,0.0
5,1,low,intermediate,basis,50,0.9,0.0
5,0,low,intermediate,basis,10,0.9,0.0
5,4,low,persistent_within_tested_domain,basis,50,0.9,0.0
5,3,low,persistent_within_tested_domain,basis,100,0.9,0.0
5,2,low,persistent_within_tested_domain,basis,100,0.9,0.0
5,1,low,persistent_within_tested_domain,basis,50,0.9,0.0
5,0,low,persistent_within_tested_domain,basis,10,0.9,0.0
5,4,mid,limited,basis,50,1.0,0.0
5,3,mid,limited,basis,100,1.0,0.0
5,2,mid,limited,basis,100,1.0,0.0
5,1,mid,limited,basis,50,1.0,0.0
5,0,mid,limited,basis,10,1.0,0.0
5,4,mid,intermediate,basis,50,0.9,0.0
5,3,mid,intermediate,basis,100,0.9,0.0
5,2,mid,intermediate,basis,100,0.9,0.0
5,1,mid,intermediate,basis,50,0.9,0.0
5,0,mid,intermediate,basis,10,0.9,0.0
5,4,mid,persistent_within_tested_domain,basis,50,0.9,0.0
5,3,mid,persistent_within_tested_domain,basis,100,0.9,0.0
5,2,mid,persistent_within_tested_domain,basis,100,0.9,0.0
5,1,mid,persistent_within_tested_domain,basis,50,0.9,0.0
5,0,mid,persistent_within_tested_domain,basis,10,0.9,0.0
5,4,high,limited,basis,50,0.7,0.0
5,3,high,limited,basis,100,0.7,0.0
5,2,high,limited,basis,100,0.7,0.0
5,1,high,limited,basis,50,0.7,0.0
5,0,high,limited,basis,10,0.7,0.0
5,4,high,intermediate,basis,50,1.0,0.0
5,3,high,intermediate,basis,100,1.0,0.0
5,2,high,intermediate,basis,100,1.0,0.0
5,1,high,intermediate,basis,50,1.0,0.0
5,0,high,intermediate,basis,10,1.0,0.0
5,4,high,persistent_within_tested_domain,basis,50,1.0,0.0
5,3,high,persistent_within_tested_domain,basis,100,1.0,0.0
5,2,high,persistent_within_tested_domain,basis,100,1.0,0.0
5,1,high,persistent_within_tested_domain,basis,50,1.0,0.0
5,0,high,persistent_within_tested_domain,basis,10,1.0,0.0
5,4,low,limited,ode,50,0.9,0.0
5,3,low,limited,ode,100,0.9,0.0
5,2,low,limited,ode,100,0.9,0.0
5,1,low,limited,ode,50,0.9,0.0
5,0,low,limited,ode,10,0.9,0.0
5,4,low,intermediate,ode,50,0.9,0.0
5,3,low,intermediate,ode,100,0.9,0.0
5,2,low,intermediate,ode,100,0.9,0.0
5,1,low,intermediate,ode,50,0.9,0.0
5,0,low,intermediate,ode,10,0.9,0.0
5,4,low,persistent_within_tested_domain,ode,50,0.9,0.0
5,3,low,persistent_within_tested_domain,ode,100,0.9,0.0
5,2,low,persistent_within_tested_domain,ode,100,0.9,0.0
5,1,low,persistent_within_tested_domain,ode,50,0.9,0.0
5,0,low,persistent_within_tested_domain,ode,10,0.9,0.0
5,4,mid,limited,ode,50,1.0,0.0
5,3,mid,limited,ode,100,1.0,0.0
5,2,mid,limited,ode,100,1.0,0.0
5,1,mid,limited,ode,50,1.0,0.0
5,0,mid,limited,ode,10,1.0,0.0
5,4,mid,intermediate,ode,50,0.9,0.0
5,3,mid,intermediate,ode,100,0.9,0.0
5,2,mid,intermediate,ode,100,0.9,0.0
5,1,mid,intermediate,ode,50,0.9,0.0
5,0,mid,intermediate,ode,10,0.9,0.0
5,4,mid,persistent_within_tested_domain,ode,50,0.8,0.0
5,3,mid,persistent_within_tested_domain,ode,100,0.8,0.0
5,2,mid,persistent_within_tested_domain,ode,100,0.8,0.0
5,1,mid,persistent_within_tested_domain,ode,50,0.8,0.0
5,0,mid,persistent_within_tested_domain,ode,10,0.8,0.0
5,4,high,limited,ode,50,0.9,0.0
5,3,high,limited,ode,100,0.9,0.0
5,2,high,limited,ode,100,0.9,0.0
5,1,high,limited,ode,50,0.9,0.0
5,0,high,limited,ode,10,0.9,0.0
5,4,high,intermediate,ode,50,1.0,0.0
5,3,high,intermediate,ode,100,1.0,0.0
5,2,high,intermediate,ode,100,1.0,0.0
5,1,high,intermediate,ode,50,1.0,0.0
5,0,high,intermediate,ode,10,1.0,0.0
5,4,high,persistent_within_tested_domain,ode,50,0.9,0.0
5,3,high,persistent_within_tested_domain,ode,100,0.9,0.0
5,2,high,persistent_within_tested_domain,ode,100,0.9,0.0
5,1,high,persistent_within_tested_domain,ode,50,0.9,0.0
5,0,high,persistent_within_tested_domain,ode,10,0.9,0.0
