primitive,separability,dof,prefix,attainment,denominator
direction,high,3,0.6,1.0,60
direction,high,3,0.7,1.0,60
direction,high,5,0.2,1.0,60
direction,high,5,0.3,1.0,60
direction,high,5,0.4,1.0,60
direction,high,5,0.5,1.0,60
direction,high,5,0.6,1.0,60
direction,high,5,0.7,1.0,60
direction,low,1,0.2,1.0,60
direction,low,1,0.3,1.0,60
direction,low,1,0.4,1.0,60
direction,low,1,0.5,1.0,60
direction,low,1,0.6,1.0,60
direction,low,1,0.7,1.0,60
direction,low,3,0.2,1.0,60
direction,low,3,0.3,1.0,60
direction,low,3,0.4,1.0,60
direction,low,3,0.5,1.0,60
direction,low,3,0.6,1.0,60
direction,low,3,0.7,1.0,60
direction,low,5,0.2,1.0,60
direction,low,5,0.3,1.0,60
direction,low,5,0.4,1.0,60
direction,low,5,0.5,1.0,60
direction,low,5,0.6,1.0,60
direction,low,5,0.7,1.0,60
direction,mid,1,0.2,1.0,60
direction,mid,1,0.3,1.0,60
direction,mid,1,0.4,1.0,60
direction,mid,1,0.5,1.0,60
direction,mid,1,0.6,1.0,60
direction,mid,1,0.7,1.0,60
direction,mid,3,0.2,1.0,60
direction,mid,3,0.3,1.0,60
direction,mid,3,0.4,1.0,60
direction,mid,3,0.5,1.0,60
direction,mid,3,0.6,1.0,60
direction,mid,3,0.7,1.0,60
direction,mid,5,0.2,1.0,60
direction,mid,5,0.3,1.0,60
direction,mid,5,0.4,1.0,60
direction,mid,5,0.5,1.0,60
direction,mid,5,0.6,1.0,60
direction,mid,5,0.7,1.0,60
inflection,high,1,0.2,1.0,60
inflection,high,1,0.3,1.0,60
inflection,high,1,0.4,1.0,60
inflection,high,1,0.5,1.0,60
inflection,high,1,0.6,1.0,60
inflection,high,1,0.7,1.0,60
inflection,high,3,0.2,1.0,60
inflection,high,3,0.3,1.0,60
inflection,high,3,0.4,1.0,60
inflection,high,3,0.5,1.0,60
inflection,high,3,0.6,1.0,60
inflection,high,3,0.7,1.0,60
inflection,high,5,0.2,0.9833333333333333,60
inflection,high,5,0.3,0.9833333333333333,60
inflection,high,5,0.4,0.9833333333333333,60
inflection,high,5,0.5,0.9833333333333333,60
inflection,high,5,0.6,0.9833333333333333,60
inflection,high,5,0.7,0.9833333333333333,60
inflection,low,1,0.2,1.0,60
inflection,low,1,0.3,1.0,60
inflection,low,1,0.4,1.0,60
inflection,low,1,0.5,1.0,60
inflection,low,1,0.6,1.0,60
inflection,low,1,0.7,1.0,60
inflection,low,3,0.2,1.0,60
inflection,low,3,0.3,1.0,60
inflection,low,3,0.4,1.0,60
inflection,low,3,0.5,1.0,60
inflection,low,3,0.6,1.0,60
inflection,low,3,0.7,1.0,60
inflection,low,5,0.2,0.95,60
inflection,low,5,0.3,0.95,60
inflection,low,5,0.4,0.95,60
inflection,low,5,0.5,0.95,60
inflection,low,5,0.6,0.95,60
inflection,low,5,0.7,0.95,60
inflection,mid,1,0.2,1.0,60
inflection,mid,1,0.3,1.0,60
inflection,mid,1,0.4,1.0,60
inflection,mid,1,0.5,1.0,60
inflection,mid,1,0.6,1.0,60
inflection,mid,1,0.7,1.0,60
inflection,mid,3,0.2,1.0,60
inflection,mid,3,0.3,1.0,60
inflection,mid,3,0.4,1.0,60
inflection,mid,3,0.5,1.0,60
inflection,mid,3,0.6,1.0,60
inflection,mid,3,0.7,1.0,60
inflection,mid,5,0.2,0.9333333333333333,60
inflection,mid,5,0.3,0.9333333333333333,60
inflection,mid,5,0.4,0.9333333333333333,60
inflection,mid,5,0.5,0.9333333333333333,60
inflection,mid,5,0.6,0.9333333333333333,60
inflection,mid,5,0.7,0.9333333333333333,60
regime,high,1,0.2,1.0,60
regime,high,1,0.3,1.0,60
regime,high,1,0.4,1.0,60
regime,high,1,0.5,1.0,60
regime,high,1,0.6,1.0,60
regime,high,1,0.7,1.0,60
regime,high,3,0.2,1.0,60
regime,high,3,0.3,1.0,60
regime,high,3,0.4,1.0,60
regime,high,3,0.5,1.0,60
regime,high,3,0.6,1.0,60
regime,high,3,0.7,1.0,60
regime,high,5,0.2,1.0,60
regime,high,5,0.3,1.0,60
regime,high,5,0.4,1.0,60
regime,high,5,0.5,1.0,60
regime,high,5,0.6,1.0,60
regime,high,5,0.7,1.0,60
regime,low,1,0.2,1.0,60
regime,low,1,0.3,1.0,60
regime,low,1,0.4,1.0,60
regime,low,1,0.5,1.0,60
regime,low,1,0.6,1.0,60
regime,low,1,0.7,1.0,60
regime,low,3,0.2,1.0,60
regime,low,3,0.3,1.0,60
regime,low,3,0.4,1.0,60
regime,low,3,0.5,1.0,60
regime,low,3,0.6,1.0,60
regime,low,3,0.7,1.0,60
regime,low,5,0.2,0.6833333333333333,60
regime,low,5,0.3,0.6833333333333333,60
regime,low,5,0.4,0.6833333333333333,60
regime,low,5,0.5,0.6833333333333333,60
regime,low,5,0.6,0.6833333333333333,60
regime,low,5,0.7,0.6833333333333333,60
regime,mid,1,0.2,1.0,60
regime,mid,1,0.3,1.0,60
regime,mid,1,0.4,1.0,60
regime,mid,1,0.5,1.0,60
regime,mid,1,0.6,1.0,60
regime,mid,1,0.7,1.0,60
regime,mid,3,0.2,1.0,60
regime,mid,3,0.3,1.0,60
regime,mid,3,0.4,1.0,60
regime,mid,3,0.5,1.0,60
regime,mid,3,0.6,1.0,60
regime,mid,3,0.7,1.0,60
regime,mid,5,0.2,1.0,60
regime,mid,5,0.3,1.0,60
regime,mid,5,0.4,1.0,60
regime,mid,5,0.5,1.0,60
regime,mid,5,0.6,1.0,60
regime,mid,5,0.7,1.0,60
turning,high,1,0.2,1.0,60
turning,high,1,0.3,1.0,60
turning,high,1,0.4,1.0,60
turning,high,1,0.5,1.0,60
turning,high,1,0.6,1.0,60
turning,high,1,0.7,1.0,60
turning,high,3,0.2,1.0,60
turning,high,3,0.3,1.0,60
turning,high,3,0.4,1.0,60
turning,high,3,0.5,1.0,60
turning,high,3,0.6,1.0,60
turning,high,3,0.7,1.0,60
turning,high,5,0.2,1.0,60
turning,high,5,0.3,1.0,60
turning,high,5,0.4,1.0,60
turning,high,5,0.5,1.0,60
turning,high,5,0.6,1.0,60
turning,high,5,0.7,1.0,60
turning,low,1,0.2,1.0,60
turning,low,1,0.3,1.0,60
turning,low,1,0.4,1.0,60
turning,low,1,0.5,1.0,60
turning,low,1,0.6,1.0,60
turning,low,1,0.7,1.0,60
turning,low,3,0.2,1.0,60
turning,low,3,0.3,1.0,60
turning,low,3,0.4,1.0,60
turning,low,3,0.5,1.0,60
turning,low,3,0.6,1.0,60
turning,low,3,0.7,1.0,60
turning,low,5,0.2,1.0,60
turning,low,5,0.3,1.0,60
turning,low,5,0.4,1.0,60
turning,low,5,0.5,1.0,60
turning,low,5,0.6,1.0,60
turning,low,5,0.7,1.0,60
turning,mid,1,0.2,1.0,60
turning,mid,1,0.3,1.0,60
turning,mid,1,0.4,1.0,60
turning,mid,1,0.5,1.0,60
turning,mid,1,0.6,1.0,60
turning,mid,1,0.7,1.0,60
turning,mid,3,0.2,1.0,60
turning,mid,3,0.3,1.0,60
turning,mid,3,0.4,1.0,60
turning,mid,3,0.5,1.0,60
turning,mid,3,0.6,1.0,60
turning,mid,3,0.7,1.0,60
turning,mid,5,0.2,1.0,60
turning,mid,5,0.3,1.0,60
turning,mid,5,0.4,1.0,60
turning,mid,5,0.5,1.0,60
turning,mid,5,0.6,1.0,60
turning,mid,5,0.7,1.0,60
