primitive,separability,dof,prefix,state,fraction
asymptote,low,1,0.6,measurement-unreliable,0.21666666666666667
asymptote,low,1,0.7,external-informative,0.5666666666666668
asymptote,low,1,0.7,measurement-unreliable,0.43333333333333335
asymptote,low,3,0.2,external-informative,1.0
asymptote,low,3,0.3,external-informative,0.9833333333333334
asymptote,low,3,0.3,measurement-unreliable,0.05
asymptote,low,3,0.4,external-informative,0.9666666666666667
asymptote,low,3,0.4,measurement-unreliable,0.05
asymptote,low,3,0.5,external-informative,0.8166666666666668
asymptote,low,3,0.5,measurement-unreliable,0.18333333333333335
asymptote,low,3,0.6,external-informative,0.7166666666666667
asymptote,low,3,0.6,measurement-unreliable,0.2833333333333333
asymptote,low,3,0.7,external-informative,0.5666666666666668
asymptote,low,3,0.7,measurement-unreliable,0.43333333333333335
asymptote,low,5,0.2,external-informative,1.0
asymptote,low,5,0.3,external-informative,0.9666666666666667
asymptote,low,5,0.3,measurement-unreliable,0.05
asymptote,low,5,0.4,external-informative,0.7999999999999999
asymptote,low,5,0.4,measurement-unreliable,0.20000000000000004
asymptote,low,5,0.5,external-informative,0.6333333333333333
asymptote,low,5,0.5,measurement-unreliable,0.36666666666666664
asymptote,low,5,0.6,external-informative,0.5333333333333333
asymptote,low,5,0.6,measurement-unreliable,0.4666666666666666
asymptote,low,5,0.7,external-informative,0.45
asymptote,low,5,0.7,measurement-unreliable,0.5499999999999999
asymptote,mid,1,0.2,external-informative,0.9
asymptote,mid,1,0.2,observed+informative,0.09999999999999999
asymptote,mid,1,0.3,external-informative,0.6666666666666666
asymptote,mid,1,0.3,observed+informative,0.3333333333333333
asymptote,mid,1,0.4,external-informative,0.5666666666666668
asymptote,mid,1,0.4,measurement-unreliable,0.05
asymptote,mid,1,0.4,observed+informative,0.4166666666666667
asymptote,mid,1,0.5,external-informative,0.5
asymptote,mid,1,0.5,measurement-unreliable,0.13333333333333333
asymptote,mid,1,0.5,observed+informative,0.3666666666666667
asymptote,mid,1,0.6,external-informative,0.3333333333333333
asymptote,mid,1,0.6,measurement-unreliable,0.3833333333333333
asymptote,mid,1,0.6,observed+informative,0.2833333333333333
asymptote,mid,1,0.7,external-informative,0.25
asymptote,mid,1,0.7,measurement-unreliable,0.6
asymptote,mid,1,0.7,observed+informative,0.15
asymptote,mid,3,0.2,external-informative,0.9
asymptote,mid,3,0.2,observed+informative,0.09999999999999999
asymptote,mid,3,0.3,external-informative,0.6666666666666666
asymptote,mid,3,0.3,measurement-unreliable,0.05
asymptote,mid,3,0.3,observed+informative,0.31666666666666665
asymptote,mid,3,0.4,external-informative,0.5666666666666668
asymptote,mid,3,0.4,measurement-unreliable,0.10000000000000002
asymptote,mid,3,0.4,observed+informative,0.3333333333333333
asymptote,mid,3,0.5,external-informative,0.5
asymptote,mid,3,0.5,measurement-unreliable,0.25
asymptote,mid,3,0.5,observed+informative,0.25
asymptote,mid,3,0.6,external-informative,0.31666666666666665
asymptote,mid,3,0.6,measurement-unreliable,0.48333333333333334
asymptote,mid,3,0.6,observed+informative,0.19999999999999998
asymptote,mid,3,0.7,external-informative,0.25
asymptote,mid,3,0.7,measurement-unreliable,0.6166666666666667
asymptote,mid,3,0.7,observed+informative,0.13333333333333333
asymptote,mid,5,0.2,external-informative,0.9
asymptote,mid,5,0.2,observed+informative,0.09999999999999999
asymptote,mid,5,0.3,external-informative,0.6666666666666666
asymptote,mid,5,0.3,measurement-unreliable,0.08333333333333333
asymptote,mid,5,0.3,observed+informative,0.25
asymptote,mid,5,0.4,external-informative,0.48333333333333334
asymptote,mid,5,0.4,measurement-unreliable,0.35000000000000003
asymptote,mid,5,0.4,observed+informative,0.16666666666666666
asymptote,mid,5,0.5,external-informative,0.35000000000000003
asymptote,mid,5,0.5,measurement-unreliable,0.5333333333333333
asymptote,mid,5,0.5,observed+informative,0.175
asymptote,mid,5,0.6,external-informative,0.25
asymptote,mid,5,0.6,measurement-unreliable,0.6333333333333333
asymptote,mid,5,0.6,observed+informative,0.11666666666666665
asymptote,mid,5,0.7,external-informative,0.19999999999999998
asymptote,mid,5,0.7,measurement-unreliable,0.7333333333333334
asymptote,mid,5,0.7,observed+informative,0.2
bound,high,1,0.2,external-informative,1.0
bound,high,1,0.3,external-informative,1.0
bound,high,1,0.4,external-informative,0.9166666666666666
bound,high,1,0.4,measurement-unreliable,0.08333333333333333
bound,high,1,0.5,external-informative,0.7333333333333334
bound,high,1,0.5,measurement-unreliable,0.26666666666666666
bound,high,1,0.6,external-informative,0.6333333333333333
bound,high,1,0.6,measurement-unreliable,0.3666666666666667
bound,high,1,0.7,external-informative,0.5833333333333334
bound,high,1,0.7,measurement-unreliable,0.4166666666666667
bound,high,3,0.2,external-informative,1.0
bound,high,3,0.3,external-informative,1.0
bound,high,3,0.4,external-informative,0.9333333333333332
bound,high,3,0.4,measurement-unreliable,0.06666666666666667
bound,high,3,0.5,external-informative,0.7999999999999999
bound,high,3,0.5,measurement-unreliable,0.19999999999999998
bound,high,3,0.6,external-informative,0.65
bound,high,3,0.6,measurement-unreliable,0.35000000000000003
bound,high,3,0.7,external-informative,0.5666666666666667
bound,high,3,0.7,measurement-unreliable,0.43333333333333335
bound,high,5,0.2,external-informative,1.0
bound,high,5,0.3,external-informative,1.0
bound,high,5,0.4,external-informative,0.9833333333333334
bound,high,5,0.4,measurement-unreliable,0.05
bound,high,5,0.5,external-informative,0.8666666666666667
bound,high,5,0.5,measurement-unreliable,0.13333333333333333
bound,high,5,0.6,external-informative,0.6833333333333332
bound,high,5,0.6,measurement-unreliable,0.31666666666666665
bound,high,5,0.7,external-informative,0.5333333333333333
bound,high,5,0.7,measurement-unreliable,0.46666666666666673
bound,low,1,0.2,external-informative,1.0
bound,low,1,0.3,external-informative,0.9833333333333334
bound,low,1,0.3,measurement-unreliable,0.05
bound,low,1,0.4,external-informative,0.9166666666666666
bound,low,1,0.4,measurement-unreliable,0.125
bound,low,1,0.5,external-informative,0.85
bound,low,1,0.5,measurement-unreliable,0.15
bound,low,1,0.6,external-informative,0.8166666666666668
bound,low,1,0.6,measurement-unreliable,0.18333333333333335
bound,low,1,0.7,external-informative,0.7166666666666667
bound,low,1,0.7,measurement-unreliable,0.2833333333333333
bound,low,3,0.2,external-informative,1.0
bound,low,3,0.3,external-informative,1.0
bound,low,3,0.4,external-informative,0.9333333333333332
bound,low,3,0.4,measurement-unreliable,0.1
bound,low,3,0.5,external-informative,0.85
bound,low,3,0.5,measurement-unreliable,0.15
bound,low,3,0.6,external-informative,0.8166666666666668
bound,low,3,0.6,measurement-unreliable,0.18333333333333335
bound,low,3,0.7,external-informative,0.7000000000000001
bound,low,3,0.7,measurement-unreliable,0.3
bound,low,5,0.2,external-informative,1.0
bound,low,5,0.3,external-informative,1.0
bound,low,5,0.4,external-informative,0.9666666666666667
bound,low,5,0.4,measurement-unreliable,0.05
bound,low,5,0.5,external-informative,0.9
bound,low,5,0.5,measurement-unreliable,0.15
bound,low,5,0.6,external-informative,0.8333333333333334
bound,low,5,0.6,measurement-unreliable,0.16666666666666666
bound,low,5,0.7,external-informative,0.6833333333333332
bound,low,5,0.7,measurement-unreliable,0.31666666666666665
bound,mid,1,0.2,external-informative,1.0
bound,mid,1,0.3,external-informative,0.9833333333333334
bound,mid,1,0.3,measurement-unreliable,0.05
bound,mid,1,0.4,external-informative,0.9333333333333332
bound,mid,1,0.4,measurement-unreliable,0.1
bound,mid,1,0.5,external-informative,0.7833333333333333
bound,mid,1,0.5,measurement-unreliable,0.21666666666666667
bound,mid,1,0.6,external-informative,0.6666666666666666
bound,mid,1,0.6,measurement-unreliable,0.3333333333333333
bound,mid,1,0.7,external-informative,0.6333333333333333
bound,mid,1,0.7,measurement-unreliable,0.3666666666666667
bound,mid,3,0.2,external-informative,1.0
bound,mid,3,0.3,external-informative,1.0
bound,mid,3,0.4,external-informative,0.9500000000000001
bound,mid,3,0.4,measurement-unreliable,0.07500000000000001
bound,mid,3,0.5,external-informative,0.8333333333333334
bound,mid,3,0.5,measurement-unreliable,0.16666666666666666
bound,mid,3,0.6,external-informative,0.7000000000000001
bound,mid,3,0.6,measurement-unreliable,0.3
bound,mid,3,0.7,external-informative,0.6333333333333333
bound,mid,3,0.7,measurement-unreliable,0.3666666666666667
bound,mid,5,0.2,external-informative,1.0
bound,mid,5,0.3,external-informative,1.0
bound,mid,5,0.4,external-informative,0.9666666666666667
bound,mid,5,0.4,measurement-unreliable,0.05
bound,mid,5,0.5,external-informative,0.9
bound,mid,5,0.5,measurement-unreliable,0.09999999999999999
bound,mid,5,0.6,external-informative,0.7333333333333334
bound,mid,5,0.6,measurement-unreliable,0.26666666666666666
bound,mid,5,0.7,external-informative,0.6166666666666667
bound,mid,5,0.7,measurement-unreliable,0.3833333333333333
curvature,high,1,0.2,external-informative,1.0
curvature,high,1,0.3,external-informative,1.0
curvature,high,1,0.4,external-informative,0.9166666666666666
curvature,high,1,0.4,measurement-unreliable,0.125
curvature,high,1,0.5,external-informative,0.7833333333333333
curvature,high,1,0.5,measurement-unreliable,0.13333333333333333
curvature,high,1,0.5,observed+informative,0.08333333333333333
curvature,high,1,0.6,external-informative,0.6333333333333333
curvature,high,1,0.6,measurement-unreliable,0.2333333333333333
curvature,high,1,0.6,observed+informative,0.13333333333333333
curvature,high,1,0.7,external-informative,0.65
curvature,high,1,0.7,measurement-unreliable,0.25
curvature,high,1,0.7,observed+informative,0.10000000000000002
curvature,high,3,0.2,external-informative,1.0
curvature,high,3,0.3,external-informative,1.0
curvature,high,3,0.4,external-informative,0.9666666666666667
curvature,high,3,0.4,measurement-unreliable,0.05
curvature,high,3,0.5,external-informative,0.7833333333333333
curvature,high,3,0.5,measurement-unreliable,0.15
curvature,high,3,0.5,observed+informative,0.11666666666666665
curvature,high,3,0.6,external-informative,0.6333333333333333
curvature,high,3,0.6,measurement-unreliable,0.2333333333333333
curvature,high,3,0.6,observed+informative,0.13333333333333333
curvature,high,3,0.7,external-informative,0.6
curvature,high,3,0.7,measurement-unreliable,0.3
curvature,high,3,0.7,observed+informative,0.10000000000000002
curvature,high,5,0.2,external-informative,1.0
curvature,high,5,0.3,external-informative,1.0
curvature,high,5,0.4,external-informative,1.0
curvature,high,5,0.5,external-informative,0.7999999999999999
curvature,high,5,0.5,measurement-unreliable,0.125
curvature,high,5,0.5,observed+informative,0.11666666666666665
curvature,high,5,0.6,external-informative,0.6333333333333333
curvature,high,5,0.6,measurement-unreliable,0.2333333333333333
curvature,high,5,0.6,observed+informative,0.13333333333333333
curvature,high,5,0.7,external-informative,0.5
curvature,high,5,0.7,measurement-unreliable,0.4000000000000001
curvature,high,5,0.7,observed+informative,0.10000000000000002
curvature,low,1,0.2,external-informative,1.0
curvature,low,1,0.3,external-informative,1.0
curvature,low,1,0.4,external-informative,0.9
curvature,low,1,0.4,measurement-unreliable,0.09999999999999999
curvature,low,1,0.5,external-informative,0.7833333333333333
curvature,low,1,0.5,measurement-unreliable,0.21666666666666665
curvature,low,1,0.6,external-informative,0.7666666666666666
curvature,low,1,0.6,measurement-unreliable,0.2333333333333333
curvature,low,1,0.7,external-informative,0.7166666666666667
curvature,low,1,0.7,measurement-unreliable,0.2833333333333333
curvature,low,3,0.2,external-informative,1.0
curvature,low,3,0.3,external-informative,1.0
curvature,low,3,0.4,external-informative,0.9666666666666667
curvature,low,3,0.4,measurement-unreliable,0.05
curvature,low,3,0.5,external-informative,0.8333333333333334
curvature,low,3,0.5,measurement-unreliable,0.16666666666666666
curvature,low,3,0.6,external-informative,0.75
curvature,low,3,0.6,measurement-unreliable,0.25
curvature,low,3,0.7,external-informative,0.65
curvature,low,3,0.7,measurement-unreliable,0.35000000000000003
curvature,low,5,0.2,external-informative,1.0
curvature,low,5,0.3,external-informative,1.0
curvature,low,5,0.4,external-informative,1.0
curvature,low,5,0.5,external-informative,0.8666666666666667
curvature,low,5,0.5,measurement-unreliable,0.13333333333333333
curvature,low,5,0.6,external-informative,0.7000000000000001
curvature,low,5,0.6,measurement-unreliable,0.3
curvature,low,5,0.7,external-informative,0.5333333333333333
curvature,low,5,0.7,measurement-unreliable,0.4666666666666666
curvature,mid,1,0.2,external-informative,1.0
curvature,mid,1,0.3,external-informative,0.9833333333333334
curvature,mid,1,0.3,measurement-unreliable,0.05
curvature,mid,1,0.4,external-informative,0.9333333333333332
curvature,mid,1,0.4,measurement-unreliable,0.06666666666666667
curvature,mid,1,0.5,external-informative,0.8333333333333334
curvature,mid,1,0.5,measurement-unreliable,0.16666666666666666
curvature,mid,1,0.6,external-informative,0.7000000000000001
curvature,mid,1,0.6,measurement-unreliable,0.2333333333333333
curvature,mid,1,0.6,observed+informative,0.06666666666666667
curvature,mid,1,0.7,external-informative,0.6666666666666666
curvature,mid,1,0.7,measurement-unreliable,0.2833333333333333
curvature,mid,1,0.7,observed+informative,0.07500000000000001
curvature,mid,3,0.2,external-informative,1.0
curvature,mid,3,0.3,external-informative,1.0
curvature,mid,3,0.4,external-informative,0.9666666666666667
curvature,mid,3,0.4,measurement-unreliable,0.05
curvature,mid,3,0.5,external-informative,0.9
curvature,mid,3,0.5,measurement-unreliable,0.09999999999999999
curvature,mid,3,0.6,external-informative,0.6833333333333332
curvature,mid,3,0.6,measurement-unreliable,0.25
curvature,mid,3,0.6,observed+informative,0.06666666666666667
curvature,mid,3,0.7,external-informative,0.6333333333333333
curvature,mid,3,0.7,measurement-unreliable,0.3333333333333333
curvature,mid,3,0.7,observed+informative,0.1
curvature,mid,5,0.2,external-informative,1.0
curvature,mid,5,0.3,external-informative,1.0
curvature,mid,5,0.4,external-informative,0.9833333333333334
curvature,mid,5,0.4,measurement-unreliable,0.05
curvature,mid,5,0.5,external-informative,0.9166666666666666
curvature,mid,5,0.5,measurement-unreliable,0.08333333333333333
curvature,mid,5,0.6,external-informative,0.6666666666666666
curvature,mid,5,0.6,measurement-unreliable,0.2833333333333333
curvature,mid,5,0.6,observed+informative,0.07500000000000001
curvature,mid,5,0.7,external-informative,0.55
curvature,mid,5,0.7,measurement-unreliable,0.45
direction,high,1,0.2,external-informative,1.0
direction,high,1,0.3,external-informative,1.0
direction,high,1,0.4,external-informative,0.85
direction,high,1,0.4,measurement-unreliable,0.05
direction,high,1,0.4,observed+informative,0.13333333333333333
direction,high,1,0.5,external-informative,0.8333333333333334
direction,high,1,0.5,measurement-unreliable,0.05
direction,high,1,0.5,observed+informative,0.13333333333333333
direction,high,1,0.6,external-informative,0.7999999999999999
direction,high,1,0.6,measurement-unreliable,0.08333333333333333
direction,high,1,0.6,observed+informative,0.11666666666666665
direction,high,1,0.7,external-informative,0.7333333333333334
direction,high,1,0.7,measurement-unreliable,0.18333333333333335
direction,high,1,0.7,observed+informative,0.08333333333333333
direction,high,3,0.2,external-informative,1.0
direction,high,3,0.3,external-informative,0.9833333333333334
direction,high,3,0.3,measurement-unreliable,0.05
direction,high,3,0.4,external-informative,0.8333333333333334
direction,high,3,0.4,measurement-unreliable,0.05
direction,high,3,0.4,observed+informative,0.13333333333333333
direction,high,3,0.5,external-informative,0.8166666666666668
direction,high,3,0.5,measurement-unreliable,0.05000000000000001
direction,high,3,0.5,observed+informative,0.13333333333333333
direction,high,3,0.6,external-informative,0.75
direction,high,3,0.6,measurement-unreliable,0.15
direction,high,3,0.6,observed+informative,0.10000000000000002
direction,high,3,0.7,external-informative,0.7333333333333334
direction,high,3,0.7,measurement-unreliable,0.19999999999999998
direction,high,3,0.7,observed+informative,0.06666666666666667
direction,high,5,0.2,external-informative,1.0
direction,high,5,0.3,external-informative,0.9833333333333334
direction,high,5,0.3,measurement-unreliable,0.05
direction,high,5,0.4,external-informative,0.7999999999999999
direction,high,5,0.4,measurement-unreliable,0.08333333333333333
direction,high,5,0.4,observed+informative,0.11666666666666665
direction,high,5,0.5,external-informative,0.75
direction,high,5,0.5,measurement-unreliable,0.16666666666666666
direction,high,5,0.5,observed+informative,0.08333333333333333
direction,high,5,0.6,external-informative,0.7000000000000001
direction,high,5,0.6,measurement-unreliable,0.23333333333333336
direction,high,5,0.6,observed+informative,0.06666666666666667
direction,high,5,0.7,external-informative,0.7000000000000001
direction,high,5,0.7,measurement-unreliable,0.26666666666666666
direction,high,5,0.7,observed+informative,0.05
direction,low,1,0.2,external-informative,1.0
direction,low,1,0.3,external-informative,1.0
direction,low,1,0.4,external-informative,1.0
direction,low,1,0.5,external-informative,1.0
direction,low,1,0.6,external-informative,0.8666666666666667
direction,low,1,0.6,measurement-unreliable,0.13333333333333333
direction,low,1,0.7,external-informative,0.8166666666666668
direction,low,1,0.7,measurement-unreliable,0.18333333333333335
direction,low,3,0.2,external-informative,1.0
direction,low,3,0.3,external-informative,1.0
direction,low,3,0.4,external-informative,1.0
direction,low,3,0.5,external-informative,0.9666666666666667
direction,low,3,0.5,measurement-unreliable,0.05
direction,low,3,0.6,external-informative,0.8333333333333334
direction,low,3,0.6,measurement-unreliable,0.16666666666666666
direction,low,3,0.7,external-informative,0.7833333333333333
direction,low,3,0.7,measurement-unreliable,0.21666666666666667
direction,low,5,0.2,external-informative,1.0
direction,low,5,0.3,external-informative,1.0
direction,low,5,0.4,external-informative,0.9666666666666667
direction,low,5,0.4,measurement-unreliable,0.1
direction,low,5,0.5,external-informative,0.85
direction,low,5,0.5,measurement-unreliable,0.15
direction,low,5,0.6,external-informative,0.7833333333333333
direction,low,5,0.6,measurement-unreliable,0.21666666666666667
direction,low,5,0.7,external-informative,0.75
direction,low,5,0.7,measurement-unreliable,0.25
direction,mid,1,0.2,external-informative,1.0
direction,mid,1,0.3,external-informative,1.0
direction,mid,1,0.4,external-informative,0.9833333333333334
direction,mid,1,0.4,observed+informative,0.05
direction,mid,1,0.5,external-informative,0.9333333333333332
direction,mid,1,0.5,measurement-unreliable,0.05
direction,mid,1,0.5,observed+informative,0.05000000000000001
direction,mid,1,0.6,external-informative,0.8166666666666668
direction,mid,1,0.6,measurement-unreliable,0.11666666666666665
direction,mid,1,0.6,observed+informative,0.06666666666666667
direction,mid,1,0.7,external-informative,0.7833333333333333
direction,mid,1,0.7,measurement-unreliable,0.16666666666666666
direction,mid,1,0.7,observed+informative,0.07500000000000001
direction,mid,3,0.2,external-informative,1.0
direction,mid,3,0.3,external-informative,1.0
direction,mid,3,0.4,external-informative,0.9500000000000001
direction,mid,3,0.4,measurement-unreliable,0.1
direction,mid,3,0.4,observed+informative,0.05
direction,mid,3,0.5,external-informative,0.8666666666666667
direction,mid,3,0.5,measurement-unreliable,0.125
direction,mid,3,0.5,observed+informative,0.05000000000000001
direction,mid,3,0.6,external-informative,0.7999999999999999
direction,mid,3,0.6,measurement-unreliable,0.13333333333333333
direction,mid,3,0.6,observed+informative,0.06666666666666667
direction,mid,3,0.7,external-informative,0.7666666666666666
direction,mid,3,0.7,measurement-unreliable,0.19999999999999998
direction,mid,3,0.7,observed+informative,0.05
direction,mid,5,0.2,external-informative,1.0
direction,mid,5,0.3,external-informative,1.0
direction,mid,5,0.4,external-informative,0.9166666666666666
direction,mid,5,0.4,measurement-unreliable,0.1
direction,mid,5,0.4,observed+informative,0.05
direction,mid,5,0.5,external-informative,0.8166666666666668
direction,mid,5,0.5,measurement-unreliable,0.15
direction,mid,5,0.5,observed+informative,0.05
direction,mid,5,0.6,external-informative,0.7833333333333333
direction,mid,5,0.6,measurement-unreliable,0.19999999999999998
direction,mid,5,0.6,observed+informative,0.05
direction,mid,5,0.7,external-informative,0.75
direction,mid,5,0.7,measurement-unreliable,0.2333333333333333
direction,mid,5,0.7,observed+informative,0.05
inflection,high,1,0.2,external-informative,1.0
inflection,high,1,0.3,external-informative,0.85
inflection,high,1,0.3,measurement-unreliable,0.15
inflection,high,1,0.4,external-informative,0.75
inflection,high,1,0.4,measurement-unreliable,0.25
inflection,high,1,0.5,external-informative,0.5666666666666667
inflection,high,1,0.5,measurement-unreliable,0.43333333333333335
inflection,high,1,0.6,external-informative,0.45
inflection,high,1,0.6,measurement-unreliable,0.5499999999999999
inflection,high,1,0.7,external-informative,0.3666666666666667
inflection,high,1,0.7,measurement-unreliable,0.6333333333333333
inflection,high,3,0.2,external-informative,1.0
inflection,high,3,0.3,external-informative,0.9166666666666666
inflection,high,3,0.3,measurement-unreliable,0.125
inflection,high,3,0.4,external-informative,0.6833333333333332
inflection,high,3,0.4,measurement-unreliable,0.31666666666666665
inflection,high,3,0.5,external-informative,0.39999999999999997
inflection,high,3,0.5,measurement-unreliable,0.6
inflection,high,3,0.6,external-informative,0.31666666666666665
inflection,high,3,0.6,measurement-unreliable,0.6833333333333332
inflection,high,3,0.7,external-informative,0.3
inflection,high,3,0.7,measurement-unreliable,0.7000000000000001
inflection,high,5,0.2,external-informative,0.9833333333333334
inflection,high,5,0.2,measurement-unreliable,0.05
inflection,high,5,0.3,external-informative,0.6333333333333333
inflection,high,5,0.3,measurement-unreliable,0.3666666666666667
inflection,high,5,0.4,external-informative,0.25
inflection,high,5,0.4,measurement-unreliable,0.75
inflection,high,5,0.5,external-informative,0.05
inflection,high,5,0.5,measurement-unreliable,0.9666666666666667
inflection,high,5,0.6,external-informative,0.05
inflection,high,5,0.6,measurement-unreliable,0.9833333333333334
inflection,high,5,0.7,external-informative,0.05
inflection,high,5,0.7,measurement-unreliable,0.9833333333333334
inflection,low,1,0.2,external-informative,1.0
inflection,low,1,0.3,external-informative,0.9500000000000001
inflection,low,1,0.3,measurement-unreliable,0.07500000000000001
inflection,low,1,0.4,external-informative,0.7000000000000001
inflection,low,1,0.4,measurement-unreliable,0.3
inflection,low,1,0.5,external-informative,0.5666666666666667
inflection,low,1,0.5,measurement-unreliable,0.43333333333333335
inflection,low,1,0.6,external-informative,0.5
inflection,low,1,0.6,measurement-unreliable,0.5
inflection,low,1,0.7,external-informative,0.45
inflection,low,1,0.7,measurement-unreliable,0.5499999999999999
inflection,low,3,0.2,external-informative,1.0
inflection,low,3,0.3,external-informative,0.9333333333333332
inflection,low,3,0.3,measurement-unreliable,0.1
inflection,low,3,0.4,external-informative,0.6166666666666667
inflection,low,3,0.4,measurement-unreliable,0.3833333333333333
inflection,low,3,0.5,external-informative,0.4166666666666667
inflection,low,3,0.5,measurement-unreliable,0.5833333333333334
inflection,low,3,0.6,external-informative,0.2833333333333334
inflection,low,3,0.6,measurement-unreliable,0.7166666666666667
inflection,low,3,0.7,external-informative,0.2833333333333334
inflection,low,3,0.7,measurement-unreliable,0.7166666666666667
inflection,low,5,0.2,external-informative,0.9500000000000001
inflection,low,5,0.2,measurement-unreliable,0.07500000000000001
inflection,low,5,0.3,external-informative,0.6833333333333332
inflection,low,5,0.3,measurement-unreliable,0.31666666666666665
inflection,low,5,0.4,external-informative,0.2333333333333333
inflection,low,5,0.4,measurement-unreliable,0.7666666666666666
inflection,low,5,0.5,external-informative,0.15000000000000002
inflection,low,5,0.5,measurement-unreliable,0.9
inflection,low,5,0.6,external-informative,0.05
inflection,low,5,0.6,measurement-unreliable,0.9666666666666667
inflection,low,5,0.7,measurement-unreliable,1.0
inflection,mid,1,0.2,external-informative,1.0
inflection,mid,1,0.3,external-informative,0.9333333333333332
inflection,mid,1,0.3,measurement-unreliable,0.1
inflection,mid,1,0.4,external-informative,0.7666666666666666
inflection,mid,1,0.4,measurement-unreliable,0.2333333333333333
inflection,mid,1,0.5,external-informative,0.6666666666666666
inflection,mid,1,0.5,measurement-unreliable,0.3333333333333333
inflection,mid,1,0.6,external-informative,0.5499999999999999
inflection,mid,1,0.6,measurement-unreliable,0.45
inflection,mid,1,0.7,external-informative,0.45
inflection,mid,1,0.7,measurement-unreliable,0.5499999999999999
inflection,mid,3,0.2,external-informative,1.0
inflection,mid,3,0.3,external-informative,0.9333333333333332
inflection,mid,3,0.3,measurement-unreliable,0.1
inflection,mid,3,0.4,external-informative,0.6833333333333332
inflection,mid,3,0.4,measurement-unreliable,0.31666666666666665
inflection,mid,3,0.5,external-informative,0.4166666666666667
inflection,mid,3,0.5,measurement-unreliable,0.5833333333333334
inflection,mid,3,0.6,external-informative,0.2833333333333333
inflection,mid,3,0.6,measurement-unreliable,0.7166666666666667
inflection,mid,3,0.7,external-informative,0.2833333333333333
inflection,mid,3,0.7,measurement-unreliable,0.7166666666666667
inflection,mid,5,0.2,external-informative,0.9333333333333332
inflection,mid,5,0.2,measurement-unreliable,0.06666666666666667
inflection,mid,5,0.3,external-informative,0.6333333333333333
inflection,mid,5,0.3,measurement-unreliable,0.3666666666666667
inflection,mid,5,0.4,external-informative,0.3
inflection,mid,5,0.4,measurement-unreliable,0.7000000000000001
inflection,mid,5,0.5,external-informative,0.08333333333333333
inflection,mid,5,0.5,measurement-unreliable,0.9166666666666666
inflection,mid,5,0.6,external-informative,0.05
