task_id,first_interval_valid,event_preboundary,contiguous_nonincreasing,expected_scope_bracket,clean_oracle_only
direction:medium:basis:1,True,True,True,True,True
direction:medium:basis:2,True,True,True,True,True
direction:medium:basis:3,True,True,True,True,True
direction:medium:basis:4,True,True,True,True,True
direction:medium:basis:5,True,True,True,True,True
direction:medium:basis:6,True,True,True,True,True
direction:medium:basis:7,True,True,True,True,True
direction:medium:basis:8,True,True,True,True,True
direction:medium:basis:9,True,True,True,True,True
direction:medium:basis:10,True,True,True,True,True
direction:medium:basis:11,True,True,True,True,True
direction:medium:basis:12,True,True,True,True,True
direction:medium:basis:13,True,True,True,True,True
direction:medium:basis:14,True,True,True,True,True
direction:medium:basis:15,True,True,True,True,True
direction:medium:basis:16,True,True,True,True,True
direction:medium:basis:17,True,True,True,True,True
direction:medium:basis:18,True,True,True,True,True
direction:medium:basis:19,True,True,True,True,True
direction:medium:basis:20,True,True,True,True,True
direction:medium:basis:21,True,True,True,True,True
direction:medium:basis:22,True,True,True,True,True
direction:medium:basis:23,True,True,True,True,True
direction:medium:basis:24,True,True,True,True,True
direction:medium:basis:25,True,True,True,True,True
direction:medium:basis:26,True,True,True,True,True
direction:medium:basis:27,True,True,True,True,True
direction:medium:basis:28,True,True,True,True,True
direction:medium:basis:29,True,True,True,True,True
direction:medium:ode:0,True,True,True,True,True
direction:medium:ode:1,True,True,True,True,True
direction:medium:ode:2,True,True,True,True,True
direction:medium:ode:3,True,True,True,True,True
direction:medium:ode:4,True,True,True,True,True
direction:medium:ode:5,True,True,True,True,True
direction:medium:ode:6,True,True,True,True,True
direction:medium:ode:7,True,True,True,True,True
direction:medium:ode:8,True,True,True,True,True
direction:medium:ode:9,True,True,True,True,True
direction:medium:ode:10,True,True,True,True,True
direction:medium:ode:11,True,True,True,True,True
direction:medium:ode:12,True,True,True,True,True
direction:medium:ode:13,True,True,True,True,True
direction:medium:ode:14,True,True,True,True,True
direction:medium:ode:15,True,True,True,True,True
direction:medium:ode:16,True,True,True,True,True
direction:medium:ode:17,True,True,True,True,True
direction:medium:ode:18,True,True,True,True,True
direction:medium:ode:19,True,True,True,True,True
direction:medium:ode:20,True,True,True,True,True
direction:medium:ode:21,True,True,True,True,True
direction:medium:ode:22,True,True,True,True,True
direction:medium:ode:23,True,True,True,True,True
direction:medium:ode:24,True,True,True,True,True
direction:medium:ode:25,True,True,True,True,True
direction:medium:ode:26,True,True,True,True,True
direction:medium:ode:27,True,True,True,True,True
direction:medium:ode:28,True,True,True,True,True
direction:medium:ode:29,True,True,True,True,True
direction:persistent_within_domain:spline:0,True,True,True,True,True
direction:persistent_within_domain:spline:1,True,True,True,True,True
direction:persistent_within_domain:spline:2,True,True,True,True,True
direction:persistent_within_domain:spline:3,True,True,True,True,True
direction:persistent_within_domain:spline:4,True,True,True,True,True
direction:persistent_within_domain:spline:5,True,True,True,True,True
direction:persistent_within_domain:spline:6,True,True,True,True,True
direction:persistent_within_domain:spline:7,True,True,True,True,True
direction:persistent_within_domain:spline:8,True,True,True,True,True
direction:persistent_within_domain:spline:9,True,True,True,True,True
direction:persistent_within_domain:spline:10,True,True,True,True,True
direction:persistent_within_domain:spline:11,True,True,True,True,True
direction:persistent_within_domain:spline:12,True,True,True,True,True
direction:persistent_within_domain:spline:13,True,True,True,True,True
direction:persistent_within_domain:spline:14,True,True,True,True,True
direction:persistent_within_domain:spline:15,True,True,True,True,True
direction:persistent_within_domain:spline:16,True,True,True,True,True
direction:persistent_within_domain:spline:17,True,True,True,True,True
direction:persistent_within_domain:spline:18,True,True,True,True,True
direction:persistent_within_domain:spline:19,True,True,True,True,True
direction:persistent_within_domain:spline:20,True,True,True,True,True
direction:persistent_within_domain:spline:21,True,True,True,True,True
direction:persistent_within_domain:spline:22,True,True,True,True,True
direction:persistent_within_domain:spline:23,True,True,True,True,True
direction:persistent_within_domain:spline:24,True,True,True,True,True
direction:persistent_within_domain:spline:25,True,True,True,True,True
direction:persistent_within_domain:spline:26,True,True,True,True,True
direction:persistent_within_domain:spline:27,True,True,True,True,True
direction:persistent_within_domain:spline:28,True,True,True,True,True
direction:persistent_within_domain:spline:29,True,True,True,True,True
direction:persistent_within_domain:basis:0,True,True,True,True,True
direction:persistent_within_domain:basis:1,True,True,True,True,True
direction:persistent_within_domain:basis:2,True,True,True,True,True
direction:persistent_within_domain:basis:3,True,True,True,True,True
direction:persistent_within_domain:basis:4,True,True,True,True,True
direction:persistent_within_domain:basis:5,True,True,True,True,True
direction:persistent_within_domain:basis:6,True,True,True,True,True
direction:persistent_within_domain:basis:7,True,True,True,True,True
direction:persistent_within_domain:basis:8,True,True,True,True,True
direction:persistent_within_domain:basis:9,True,True,True,True,True
direction:persistent_within_domain:basis:10,True,True,True,True,True
direction:persistent_within_domain:basis:11,True,True,True,True,True
direction:persistent_within_domain:basis:12,True,True,True,True,True
direction:persistent_within_domain:basis:13,True,True,True,True,True
direction:persistent_within_domain:basis:14,True,True,True,True,True
direction:persistent_within_domain:basis:15,True,True,True,True,True
direction:persistent_within_domain:basis:16,True,True,True,True,True
direction:persistent_within_domain:basis:17,True,True,True,True,True
direction:persistent_within_domain:basis:18,True,True,True,True,True
direction:persistent_within_domain:basis:19,True,True,True,True,True
direction:persistent_within_domain:basis:20,True,True,True,True,True
direction:persistent_within_domain:basis:21,True,True,True,True,True
direction:persistent_within_domain:basis:22,True,True,True,True,True
direction:persistent_within_domain:basis:23,True,True,True,True,True
direction:persistent_within_domain:basis:24,True,True,True,True,True
direction:persistent_within_domain:basis:25,True,True,True,True,True
direction:persistent_within_domain:basis:26,True,True,True,True,True
direction:persistent_within_domain:basis:27,True,True,True,True,True
direction:persistent_within_domain:basis:28,True,True,True,True,True
direction:persistent_within_domain:basis:29,True,True,True,True,True
direction:persistent_within_domain:ode:0,True,True,True,True,True
direction:persistent_within_domain:ode:1,True,True,True,True,True
direction:persistent_within_domain:ode:2,True,True,True,True,True
direction:persistent_within_domain:ode:3,True,True,True,True,True
direction:persistent_within_domain:ode:4,True,True,True,True,True
direction:persistent_within_domain:ode:5,True,True,True,True,True
direction:persistent_within_domain:ode:6,True,True,True,True,True
direction:persistent_within_domain:ode:7,True,True,True,True,True
direction:persistent_within_domain:ode:8,True,True,True,True,True
direction:persistent_within_domain:ode:9,True,True,True,True,True
direction:persistent_within_domain:ode:10,True,True,True,True,True
direction:persistent_within_domain:ode:11,True,True,True,True,True
direction:persistent_within_domain:ode:12,True,True,True,True,True
direction:persistent_within_domain:ode:13,True,True,True,True,True
direction:persistent_within_domain:ode:14,True,True,True,True,True
direction:persistent_within_domain:ode:15,True,True,True,True,True
direction:persistent_within_domain:ode:16,True,True,True,True,True
direction:persistent_within_domain:ode:17,True,True,True,True,True
direction:persistent_within_domain:ode:18,True,True,True,True,True
direction:persistent_within_domain:ode:19,True,True,True,True,True
direction:persistent_within_domain:ode:20,True,True,True,True,True
direction:persistent_within_domain:ode:21,True,True,True,True,True
direction:persistent_within_domain:ode:22,True,True,True,True,True
direction:persistent_within_domain:ode:23,True,True,True,True,True
direction:persistent_within_domain:ode:24,True,True,True,True,True
direction:persistent_within_domain:ode:25,True,True,True,True,True
direction:persistent_within_domain:ode:26,True,True,True,True,True
direction:persistent_within_domain:ode:27,True,True,True,True,True
direction:persistent_within_domain:ode:28,True,True,True,True,True
direction:persistent_within_domain:ode:29,True,True,True,True,True
curvature:local:spline:0,True,True,True,True,True
curvature:local:spline:1,True,True,True,True,True
curvature:local:spline:2,True,True,True,True,True
curvature:local:spline:3,True,True,True,True,True
curvature:local:spline:4,True,True,True,True,True
curvature:local:spline:5,True,True,True,True,True
curvature:local:spline:6,True,True,True,True,True
curvature:local:spline:7,True,True,True,True,True
curvature:local:spline:8,True,True,True,True,True
curvature:local:spline:9,True,True,True,True,True
curvature:local:spline:10,True,True,True,True,True
curvature:local:spline:11,True,True,True,True,True
curvature:local:spline:12,True,True,True,True,True
curvature:local:spline:13,True,True,True,True,True
curvature:local:spline:14,True,True,True,True,True
curvature:local:spline:15,True,True,True,True,True
curvature:local:spline:16,True,True,True,True,True
curvature:local:spline:17,True,True,True,True,True
curvature:local:spline:18,True,True,True,True,True
curvature:local:spline:19,True,True,True,True,True
curvature:local:spline:20,True,True,True,True,True
curvature:local:spline:21,True,True,True,True,True
curvature:local:spline:22,True,True,True,True,True
curvature:local:spline:23,True,True,True,True,True
curvature:local:spline:24,True,True,True,True,True
curvature:local:spline:25,True,True,True,True,True
curvature:local:spline:26,True,True,True,True,True
curvature:local:spline:27,True,True,True,True,True
curvature:local:spline:28,True,True,True,True,True
curvature:local:spline:29,True,True,True,True,True
curvature:local:basis:0,True,True,True,True,True
curvature:local:basis:1,True,True,True,True,True
curvature:local:basis:2,True,True,True,True,True
curvature:local:basis:3,True,True,True,True,True
curvature:local:basis:4,True,True,True,True,True
curvature:local:basis:5,True,True,True,True,True
curvature:local:basis:6,True,True,True,True,True
curvature:local:basis:7,True,True,True,True,True
curvature:local:basis:8,True,True,True,True,True
curvature:local:basis:9,True,True,True,True,True
curvature:local:basis:10,True,True,True,True,True
curvature:local:basis:11,True,True,True,True,True
curvature:local:basis:12,True,True,True,True,True
curvature:local:basis:13,True,True,True,True,True
curvature:local:basis:14,True,True,True,True,True
curvature:local:basis:15,True,True,True,True,True
curvature:local:basis:16,True,True,True,True,True
curvature:local:basis:17,True,True,True,True,True
curvature:local:basis:18,True,True,True,True,True
curvature:local:basis:19,True,True,True,True,True
curvature:local:basis:20,True,True,True,True,True
curvature:local:basis:21,True,True,True,True,True
curvature:local:basis:22,True,True,True,True,True
curvature:local:basis:23,True,True,True,True,True
curvature:local:basis:24,True,True,True,True,True
curvature:local:basis:25,True,True,True,True,True
curvature:local:basis:26,True,True,True,True,True
curvature:local:basis:27,True,True,True,True,True
curvature:local:basis:28,True,True,True,True,True
curvature:local:basis:29,True,True,True,True,True
curvature:local:ode:0,True,True,True,True,True
curvature:local:ode:1,True,True,True,True,True
curvature:local:ode:2,True,True,True,True,True
curvature:local:ode:3,True,True,True,True,True
curvature:local:ode:4,True,True,True,True,True
curvature:local:ode:5,True,True,True,True,True
curvature:local:ode:6,True,True,True,True,True
curvature:local:ode:7,True,True,True,True,True
curvature:local:ode:8,True,True,True,True,True
curvature:local:ode:9,True,True,True,True,True
curvature:local:ode:10,True,True,True,True,True
curvature:local:ode:11,True,True,True,True,True
curvature:local:ode:12,True,True,True,True,True
curvature:local:ode:13,True,True,True,True,True
curvature:local:ode:14,True,True,True,True,True
curvature:local:ode:15,True,True,True,True,True
curvature:local:ode:16,True,True,True,True,True
curvature:local:ode:17,True,True,True,True,True
curvature:local:ode:18,True,True,True,True,True
curvature:local:ode:19,True,True,True,True,True
curvature:local:ode:20,True,True,True,True,True
curvature:local:ode:21,True,True,True,True,True
curvature:local:ode:22,True,True,True,True,True
curvature:local:ode:23,True,True,True,True,True
curvature:local:ode:24,True,True,True,True,True
curvature:local:ode:25,True,True,True,True,True
curvature:local:ode:26,True,True,True,True,True
curvature:local:ode:27,True,True,True,True,True
curvature:local:ode:28,True,True,True,True,True
curvature:local:ode:29,True,True,True,True,True
curvature:medium:spline:0,True,True,True,True,True
curvature:medium:spline:1,True,True,True,True,True
curvature:medium:spline:2,True,True,True,True,True
curvature:medium:spline:3,True,True,True,True,True
curvature:medium:spline:4,True,True,True,True,True
curvature:medium:spline:5,True,True,True,True,True
curvature:medium:spline:6,True,True,True,True,True
curvature:medium:spline:7,True,True,True,True,True
curvature:medium:spline:8,True,True,True,True,True
curvature:medium:spline:9,True,True,True,True,True
curvature:medium:spline:10,True,True,True,True,True
curvature:medium:spline:11,True,True,True,True,True
curvature:medium:spline:12,True,True,True,True,True
curvature:medium:spline:13,True,True,True,True,True
curvature:medium:spline:14,True,True,True,True,True
curvature:medium:spline:15,True,True,True,True,True
curvature:medium:spline:16,True,True,True,True,True
curvature:medium:spline:17,True,True,True,True,True
curvature:medium:spline:18,True,True,True,True,True
curvature:medium:spline:19,True,True,True,True,True
curvature:medium:spline:20,True,True,True,True,True
curvature:medium:spline:21,True,True,True,True,True
curvature:medium:spline:22,True,True,True,True,True
curvature:medium:spline:23,True,True,True,True,True
curvature:medium:spline:24,True,True,True,True,True
curvature:medium:spline:25,True,True,True,True,True
curvature:medium:spline:26,True,True,True,True,True
curvature:medium:spline:27,True,True,True,True,True
curvature:medium:spline:28,True,True,True,True,True
curvature:medium:spline:29,True,True,True,True,True
curvature:medium:basis:0,True,True,True,True,True
curvature:medium:basis:1,True,True,True,True,True
curvature:medium:basis:2,True,True,True,True,True
curvature:medium:basis:3,True,True,True,True,True
curvature:medium:basis:4,True,True,True,True,True
curvature:medium:basis:5,True,True,True,True,True
curvature:medium:basis:6,True,True,True,True,True
curvature:medium:basis:7,True,True,True,True,True
curvature:medium:basis:8,True,True,True,True,True
curvature:medium:basis:9,True,True,True,True,True
curvature:medium:basis:10,True,True,True,True,True
curvature:medium:basis:11,True,True,True,True,True
curvature:medium:basis:12,True,True,True,True,True
curvature:medium:basis:13,True,True,True,True,True
curvature:medium:basis:14,True,True,True,True,True
curvature:medium:basis:15,True,True,True,True,True
curvature:medium:basis:16,True,True,True,True,True
curvature:medium:basis:17,True,True,True,True,True
curvature:medium:basis:18,True,True,True,True,True
curvature:medium:basis:19,True,True,True,True,True
curvature:medium:basis:20,True,True,True,True,True
curvature:medium:basis:21,True,True,True,True,True
curvature:medium:basis:22,True,True,True,True,True
curvature:medium:basis:23,True,True,True,True,True
curvature:medium:basis:24,True,True,True,True,True
curvature:medium:basis:25,True,True,True,True,True
curvature:medium:basis:26,True,True,True,True,True
curvature:medium:basis:27,True,True,True,True,True
curvature:medium:basis:28,True,True,True,True,True
curvature:medium:basis:29,True,True,True,True,True
curvature:medium:ode:0,True,True,True,True,True
curvature:medium:ode:1,True,True,True,True,True
curvature:medium:ode:2,True,True,True,True,True
curvature:medium:ode:3,True,True,True,True,True
curvature:medium:ode:4,True,True,True,True,True
curvature:medium:ode:5,True,True,True,True,True
curvature:medium:ode:6,True,True,True,True,True
curvature:medium:ode:7,True,True,True,True,True
curvature:medium:ode:8,True,True,True,True,True
curvature:medium:ode:9,True,True,True,True,True
curvature:medium:ode:10,True,True,True,True,True
curvature:medium:ode:11,True,True,True,True,True
curvature:medium:ode:12,True,True,True,True,True
curvature:medium:ode:13,True,True,True,True,True
curvature:medium:ode:14,True,True,True,True,True
curvature:medium:ode:15,True,True,True,True,True
curvature:medium:ode:16,True,True,True,True,True
curvature:medium:ode:17,True,True,True,True,True
curvature:medium:ode:18,True,True,True,True,True
curvature:medium:ode:19,True,True,True,True,True
curvature:medium:ode:20,True,True,True,True,True
curvature:medium:ode:21,True,True,True,True,True
curvature:medium:ode:22,True,True,True,True,True
curvature:medium:ode:23,True,True,True,True,True
curvature:medium:ode:24,True,True,True,True,True
curvature:medium:ode:25,True,True,True,True,True
curvature:medium:ode:26,True,True,True,True,True
curvature:medium:ode:27,True,True,True,True,True
curvature:medium:ode:28,True,True,True,True,True
curvature:medium:ode:29,True,True,True,True,True
curvature:persistent_within_domain:spline:0,True,True,True,True,True
curvature:persistent_within_domain:spline:1,True,True,True,True,True
curvature:persistent_within_domain:spline:2,True,True,True,True,True
curvature:persistent_within_domain:spline:3,True,True,True,True,True
curvature:persistent_within_domain:spline:4,True,True,True,True,True
curvature:persistent_within_domain:spline:5,True,True,True,True,True
curvature:persistent_within_domain:spline:6,True,True,True,True,True
curvature:persistent_within_domain:spline:7,True,True,True,True,True
curvature:persistent_within_domain:spline:8,True,True,True,True,True
curvature:persistent_within_domain:spline:9,True,True,True,True,True
curvature:persistent_within_domain:spline:10,True,True,True,True,True
curvature:persistent_within_domain:spline:11,True,True,True,True,True
curvature:persistent_within_domain:spline:12,True,True,True,True,True
curvature:persistent_within_domain:spline:13,True,True,True,True,True
curvature:persistent_within_domain:spline:14,True,True,True,True,True
curvature:persistent_within_domain:spline:15,True,True,True,True,True
curvature:persistent_within_domain:spline:16,True,True,True,True,True
curvature:persistent_within_domain:spline:17,True,True,True,True,True
curvature:persistent_within_domain:spline:18,True,True,True,True,True
curvature:persistent_within_domain:spline:19,True,True,True,True,True
curvature:persistent_within_domain:spline:20,True,True,True,True,True
curvature:persistent_within_domain:spline:21,True,True,True,True,True
curvature:persistent_within_domain:spline:22,True,True,True,True,True
curvature:persistent_within_domain:spline:23,True,True,True,True,True
curvature:persistent_within_domain:spline:24,True,True,True,True,True
curvature:persistent_within_domain:spline:25,True,True,True,True,True
curvature:persistent_within_domain:spline:26,True,True,True,True,True
curvature:persistent_within_domain:spline:27,True,True,True,True,True
curvature:persistent_within_domain:spline:28,True,True,True,True,True
curvature:persistent_within_domain:spline:29,True,True,True,True,True
curvature:persistent_within_domain:basis:0,True,True,True,True,True
curvature:persistent_within_domain:basis:1,True,True,True,True,True
curvature:persistent_within_domain:basis:2,True,True,True,True,True
curvature:persistent_within_domain:basis:3,True,True,True,True,True
curvature:persistent_within_domain:basis:4,True,True,True,True,True
curvature:persistent_within_domain:basis:5,True,True,True,True,True
curvature:persistent_within_domain:basis:6,True,True,True,True,True
curvature:persistent_within_domain:basis:7,True,True,True,True,True
curvature:persistent_within_domain:basis:8,True,True,True,True,True
curvature:persistent_within_domain:basis:9,True,True,True,True,True
curvature:persistent_within_domain:basis:10,True,True,True,True,True
curvature:persistent_within_domain:basis:11,True,True,True,True,True
curvature:persistent_within_domain:basis:12,True,True,True,True,True
curvature:persistent_within_domain:basis:13,True,True,True,True,True
curvature:persistent_within_domain:basis:14,True,True,True,True,True
curvature:persistent_within_domain:basis:15,True,True,True,True,True
curvature:persistent_within_domain:basis:16,True,True,True,True,True
curvature:persistent_within_domain:basis:17,True,True,True,True,True
curvature:persistent_within_domain:basis:18,True,True,True,True,True
curvature:persistent_within_domain:basis:19,True,True,True,True,True
curvature:persistent_within_domain:basis:20,True,True,True,True,True
curvature:persistent_within_domain:basis:21,True,True,True,True,True
curvature:persistent_within_domain:basis:22,True,True,True,True,True
curvature:persistent_within_domain:basis:23,True,True,True,True,True
curvature:persistent_within_domain:basis:24,True,True,True,True,True
curvature:persistent_within_domain:basis:25,True,True,True,True,True
curvature:persistent_within_domain:basis:26,True,True,True,True,True
curvature:persistent_within_domain:basis:27,True,True,True,True,True
curvature:persistent_within_domain:basis:28,True,True,True,True,True
curvature:persistent_within_domain:basis:29,True,True,True,True,True
curvature:persistent_within_domain:ode:0,True,True,True,True,True
curvature:persistent_within_domain:ode:1,True,True,True,True,True
curvature:persistent_within_domain:ode:2,True,True,True,True,True
curvature:persistent_within_domain:ode:3,True,True,True,True,True
curvature:persistent_within_domain:ode:4,True,True,True,True,True
curvature:persistent_within_domain:ode:5,True,True,True,True,True
curvature:persistent_within_domain:ode:6,True,True,True,True,True
curvature:persistent_within_domain:ode:7,True,True,True,True,True
curvature:persistent_within_domain:ode:8,True,True,True,True,True
curvature:persistent_within_domain:ode:9,True,True,True,True,True
curvature:persistent_within_domain:ode:10,True,True,True,True,True
curvature:persistent_within_domain:ode:11,True,True,True,True,True
curvature:persistent_within_domain:ode:12,True,True,True,True,True
curvature:persistent_within_domain:ode:13,True,True,True,True,True
curvature:persistent_within_domain:ode:14,True,True,True,True,True
curvature:persistent_within_domain:ode:15,True,True,True,True,True
curvature:persistent_within_domain:ode:16,True,True,True,True,True
curvature:persistent_within_domain:ode:17,True,True,True,True,True
curvature:persistent_within_domain:ode:18,True,True,True,True,True
curvature:persistent_within_domain:ode:19,True,True,True,True,True
curvature:persistent_within_domain:ode:20,True,True,True,True,True
curvature:persistent_within_domain:ode:21,True,True,True,True,True
curvature:persistent_within_domain:ode:22,True,True,True,True,True
curvature:persistent_within_domain:ode:23,True,True,True,True,True
curvature:persistent_within_domain:ode:24,True,True,True,True,True
curvature:persistent_within_domain:ode:25,True,True,True,True,True
curvature:persistent_within_domain:ode:26,True,True,True,True,True
curvature:persistent_within_domain:ode:27,True,True,True,True,True
curvature:persistent_within_domain:ode:28,True,True,True,True,True
curvature:persistent_within_domain:ode:29,True,True,True,True,True
inflection:local:spline:0,True,True,True,True,True
inflection:local:spline:1,True,True,True,True,True
inflection:local:spline:2,True,True,True,True,True
inflection:local:spline:3,True,True,True,True,True
inflection:local:spline:4,True,True,True,True,True
inflection:local:spline:5,True,True,True,True,True
inflection:local:spline:6,True,True,True,True,True
inflection:local:spline:7,True,True,True,True,True
inflection:local:spline:8,True,True,True,True,True
inflection:local:spline:9,True,True,True,True,True
inflection:local:spline:10,True,True,True,True,True
inflection:local:spline:11,True,True,True,True,True
inflection:local:spline:12,True,True,True,True,True
inflection:local:spline:13,True,True,True,True,True
inflection:local:spline:14,True,True,True,True,True
inflection:local:spline:15,True,True,True,True,True
inflection:local:spline:16,True,True,True,True,True
inflection:local:spline:17,True,True,True,True,True
inflection:local:spline:18,True,True,True,True,True
inflection:local:spline:19,True,True,True,True,True
inflection:local:spline:20,True,True,True,True,True
inflection:local:spline:21,True,True,True,True,True
inflection:local:spline:22,True,True,True,True,True
inflection:local:spline:23,True,True,True,True,True
inflection:local:spline:24,True,True,True,True,True
inflection:local:spline:25,True,True,True,True,True
inflection:local:spline:26,True,True,True,True,True
inflection:local:spline:27,True,True,True,True,True
inflection:local:spline:28,True,True,True,True,True
inflection:local:spline:29,True,True,True,True,True
inflection:local:basis:0,True,True,True,True,True
inflection:local:basis:1,True,True,True,True,True
inflection:local:basis:2,True,True,True,True,True
inflection:local:basis:3,True,True,True,True,True
inflection:local:basis:4,True,True,True,True,True
inflection:local:basis:5,True,True,True,True,True
inflection:local:basis:6,True,True,True,True,True
inflection:local:basis:7,True,True,True,True,True
inflection:local:basis:8,True,True,True,True,True
inflection:local:basis:9,True,True,True,True,True
inflection:local:basis:10,True,True,True,True,True
inflection:local:basis:11,True,True,True,True,True
inflection:local:basis:12,True,True,True,True,True
inflection:local:basis:13,True,True,True,True,True
inflection:local:basis:14,True,True,True,True,True
inflection:local:basis:15,True,True,True,True,True
inflection:local:basis:16,True,True,True,True,True
inflection:local:basis:17,True,True,True,True,True
inflection:local:basis:18,True,True,True,True,True
inflection:local:basis:19,True,True,True,True,True
inflection:local:basis:20,True,True,True,True,True
inflection:local:basis:21,True,True,True,True,True
inflection:local:basis:22,True,True,True,True,True
inflection:local:basis:23,True,True,True,True,True
inflection:local:basis:24,True,True,True,True,True
inflection:local:basis:25,True,True,True,True,True
inflection:local:basis:26,True,True,True,True,True
inflection:local:basis:27,True,True,True,True,True
inflection:local:basis:28,True,True,True,True,True
inflection:local:basis:29,True,True,True,True,True
inflection:local:ode:0,True,True,True,True,True
inflection:local:ode:1,True,True,True,True,True
inflection:local:ode:2,True,True,True,True,True
inflection:local:ode:3,True,True,True,True,True
inflection:local:ode:4,True,True,True,True,True
inflection:local:ode:5,True,True,True,True,True
