task_id,primitive,tier,generator,seed,horizon,V_raw,C_contiguous,H_valid,tau_v
direction:local:spline:6,direction,local,spline,6,0.6,1,1,0.6,0.5532664097527209
direction:local:spline:6,direction,local,spline,6,0.7,0,0,0.6,0.5532664097527209
direction:local:spline:6,direction,local,spline,6,0.8,0,0,0.6,0.5532664097527209
direction:local:spline:6,direction,local,spline,6,0.9,0,0,0.6,0.5532664097527209
direction:local:spline:6,direction,local,spline,6,1.0,0,0,0.6,0.5532664097527209
direction:local:spline:7,direction,local,spline,7,0.45,1,1,0.6,0.5373371299776609
direction:local:spline:7,direction,local,spline,7,0.5,1,1,0.6,0.5373371299776609
direction:local:spline:7,direction,local,spline,7,0.6,1,1,0.6,0.5373371299776609
direction:local:spline:7,direction,local,spline,7,0.7,0,0,0.6,0.5373371299776609
direction:local:spline:7,direction,local,spline,7,0.8,0,0,0.6,0.5373371299776609
direction:local:spline:7,direction,local,spline,7,0.9,0,0,0.6,0.5373371299776609
direction:local:spline:7,direction,local,spline,7,1.0,0,0,0.6,0.5373371299776609
direction:local:spline:8,direction,local,spline,8,0.45,1,1,0.6,0.5536067636479078
direction:local:spline:8,direction,local,spline,8,0.5,1,1,0.6,0.5536067636479078
direction:local:spline:8,direction,local,spline,8,0.6,1,1,0.6,0.5536067636479078
direction:local:spline:8,direction,local,spline,8,0.7,0,0,0.6,0.5536067636479078
direction:local:spline:8,direction,local,spline,8,0.8,0,0,0.6,0.5536067636479078
direction:local:spline:8,direction,local,spline,8,0.9,0,0,0.6,0.5536067636479078
direction:local:spline:8,direction,local,spline,8,1.0,0,0,0.6,0.5536067636479078
direction:local:spline:9,direction,local,spline,9,0.45,1,1,0.6,0.5352469435242689
direction:local:spline:9,direction,local,spline,9,0.5,1,1,0.6,0.5352469435242689
direction:local:spline:9,direction,local,spline,9,0.6,1,1,0.6,0.5352469435242689
direction:local:spline:9,direction,local,spline,9,0.7,0,0,0.6,0.5352469435242689
direction:local:spline:9,direction,local,spline,9,0.8,0,0,0.6,0.5352469435242689
direction:local:spline:9,direction,local,spline,9,0.9,0,0,0.6,0.5352469435242689
direction:local:spline:9,direction,local,spline,9,1.0,0,0,0.6,0.5352469435242689
direction:local:spline:10,direction,local,spline,10,0.45,1,1,0.6,0.5465604443120836
direction:local:spline:10,direction,local,spline,10,0.5,1,1,0.6,0.5465604443120836
direction:local:spline:10,direction,local,spline,10,0.6,1,1,0.6,0.5465604443120836
direction:local:spline:10,direction,local,spline,10,0.7,0,0,0.6,0.5465604443120836
direction:local:spline:10,direction,local,spline,10,0.8,0,0,0.6,0.5465604443120836
direction:local:spline:10,direction,local,spline,10,0.9,0,0,0.6,0.5465604443120836
direction:local:spline:10,direction,local,spline,10,1.0,0,0,0.6,0.5465604443120836
direction:local:spline:11,direction,local,spline,11,0.45,1,1,0.6,0.5436854171842587
direction:local:spline:11,direction,local,spline,11,0.5,1,1,0.6,0.5436854171842587
direction:local:spline:11,direction,local,spline,11,0.6,1,1,0.6,0.5436854171842587
direction:local:spline:11,direction,local,spline,11,0.7,0,0,0.6,0.5436854171842587
direction:local:spline:11,direction,local,spline,11,0.8,0,0,0.6,0.5436854171842587
direction:local:spline:11,direction,local,spline,11,0.9,0,0,0.6,0.5436854171842587
direction:local:spline:11,direction,local,spline,11,1.0,0,0,0.6,0.5436854171842587
direction:local:spline:12,direction,local,spline,12,0.45,1,1,0.6,0.5507098472389531
direction:local:spline:12,direction,local,spline,12,0.5,1,1,0.6,0.5507098472389531
direction:local:spline:12,direction,local,spline,12,0.6,1,1,0.6,0.5507098472389531
direction:local:spline:12,direction,local,spline,12,0.7,0,0,0.6,0.5507098472389531
direction:local:spline:12,direction,local,spline,12,0.8,0,0,0.6,0.5507098472389531
direction:local:spline:12,direction,local,spline,12,0.9,0,0,0.6,0.5507098472389531
direction:local:spline:12,direction,local,spline,12,1.0,0,0,0.6,0.5507098472389531
direction:local:spline:13,direction,local,spline,13,0.45,1,1,0.6,0.5285009085904477
direction:local:spline:13,direction,local,spline,13,0.5,1,1,0.6,0.5285009085904477
direction:local:spline:13,direction,local,spline,13,0.6,1,1,0.6,0.5285009085904477
direction:local:spline:13,direction,local,spline,13,0.7,0,0,0.6,0.5285009085904477
direction:local:spline:13,direction,local,spline,13,0.8,0,0,0.6,0.5285009085904477
direction:local:spline:13,direction,local,spline,13,0.9,0,0,0.6,0.5285009085904477
direction:local:spline:13,direction,local,spline,13,1.0,0,0,0.6,0.5285009085904477
direction:local:spline:14,direction,local,spline,14,0.45,1,1,0.6,0.5673269083559598
direction:local:spline:14,direction,local,spline,14,0.5,1,1,0.6,0.5673269083559598
direction:local:spline:14,direction,local,spline,14,0.6,1,1,0.6,0.5673269083559598
direction:local:spline:14,direction,local,spline,14,0.7,0,0,0.6,0.5673269083559598
direction:local:spline:14,direction,local,spline,14,0.8,0,0,0.6,0.5673269083559598
direction:local:spline:14,direction,local,spline,14,0.9,0,0,0.6,0.5673269083559598
direction:local:spline:14,direction,local,spline,14,1.0,0,0,0.6,0.5673269083559598
direction:local:spline:15,direction,local,spline,15,0.45,1,1,0.6,0.5515763797385028
direction:local:spline:15,direction,local,spline,15,0.5,1,1,0.6,0.5515763797385028
direction:local:spline:15,direction,local,spline,15,0.6,1,1,0.6,0.5515763797385028
direction:local:spline:15,direction,local,spline,15,0.7,0,0,0.6,0.5515763797385028
direction:local:spline:15,direction,local,spline,15,0.8,0,0,0.6,0.5515763797385028
direction:local:spline:15,direction,local,spline,15,0.9,0,0,0.6,0.5515763797385028
direction:local:spline:15,direction,local,spline,15,1.0,0,0,0.6,0.5515763797385028
direction:local:spline:16,direction,local,spline,16,0.45,1,1,0.6,0.5532611102967955
direction:local:spline:16,direction,local,spline,16,0.5,1,1,0.6,0.5532611102967955
direction:local:spline:16,direction,local,spline,16,0.6,1,1,0.6,0.5532611102967955
direction:local:spline:16,direction,local,spline,16,0.7,0,0,0.6,0.5532611102967955
direction:local:spline:16,direction,local,spline,16,0.8,0,0,0.6,0.5532611102967955
direction:local:spline:16,direction,local,spline,16,0.9,0,0,0.6,0.5532611102967955
direction:local:spline:16,direction,local,spline,16,1.0,0,0,0.6,0.5532611102967955
direction:local:spline:17,direction,local,spline,17,0.45,1,1,0.6,0.5286291977035564
direction:local:spline:17,direction,local,spline,17,0.5,1,1,0.6,0.5286291977035564
direction:local:spline:17,direction,local,spline,17,0.6,1,1,0.6,0.5286291977035564
direction:local:spline:17,direction,local,spline,17,0.7,0,0,0.6,0.5286291977035564
direction:local:spline:17,direction,local,spline,17,0.8,0,0,0.6,0.5286291977035564
direction:local:spline:17,direction,local,spline,17,0.9,0,0,0.6,0.5286291977035564
direction:local:spline:17,direction,local,spline,17,1.0,0,0,0.6,0.5286291977035564
direction:local:spline:18,direction,local,spline,18,0.45,1,1,0.6,0.5349819935432651
direction:local:spline:18,direction,local,spline,18,0.5,1,1,0.6,0.5349819935432651
direction:local:spline:18,direction,local,spline,18,0.6,1,1,0.6,0.5349819935432651
direction:local:spline:18,direction,local,spline,18,0.7,0,0,0.6,0.5349819935432651
direction:local:spline:18,direction,local,spline,18,0.8,0,0,0.6,0.5349819935432651
direction:local:spline:18,direction,local,spline,18,0.9,0,0,0.6,0.5349819935432651
direction:local:spline:18,direction,local,spline,18,1.0,0,0,0.6,0.5349819935432651
direction:local:spline:19,direction,local,spline,19,0.45,1,1,0.6,0.5353665788785885
direction:local:spline:19,direction,local,spline,19,0.5,1,1,0.6,0.5353665788785885
direction:local:spline:19,direction,local,spline,19,0.6,1,1,0.6,0.5353665788785885
direction:local:spline:19,direction,local,spline,19,0.7,0,0,0.6,0.5353665788785885
direction:local:spline:19,direction,local,spline,19,0.8,0,0,0.6,0.5353665788785885
direction:local:spline:19,direction,local,spline,19,0.9,0,0,0.6,0.5353665788785885
direction:local:spline:19,direction,local,spline,19,1.0,0,0,0.6,0.5353665788785885
direction:local:spline:20,direction,local,spline,20,0.45,1,1,0.6,0.5230082644320152
direction:local:spline:20,direction,local,spline,20,0.5,1,1,0.6,0.5230082644320152
direction:local:spline:20,direction,local,spline,20,0.6,1,1,0.6,0.5230082644320152
direction:local:spline:20,direction,local,spline,20,0.7,0,0,0.6,0.5230082644320152
direction:local:spline:20,direction,local,spline,20,0.8,0,0,0.6,0.5230082644320152
direction:local:spline:20,direction,local,spline,20,0.9,0,0,0.6,0.5230082644320152
direction:local:spline:20,direction,local,spline,20,1.0,0,0,0.6,0.5230082644320152
direction:local:spline:21,direction,local,spline,21,0.45,1,1,0.6,0.553966636293301
direction:local:spline:21,direction,local,spline,21,0.5,1,1,0.6,0.553966636293301
direction:local:spline:21,direction,local,spline,21,0.6,1,1,0.6,0.553966636293301
direction:local:spline:21,direction,local,spline,21,0.7,0,0,0.6,0.553966636293301
direction:local:spline:21,direction,local,spline,21,0.8,0,0,0.6,0.553966636293301
direction:local:spline:21,direction,local,spline,21,0.9,0,0,0.6,0.553966636293301
direction:local:spline:21,direction,local,spline,21,1.0,0,0,0.6,0.553966636293301
direction:local:spline:22,direction,local,spline,22,0.45,1,1,0.6,0.5420224309553717
direction:local:spline:22,direction,local,spline,22,0.5,1,1,0.6,0.5420224309553717
direction:local:spline:22,direction,local,spline,22,0.6,1,1,0.6,0.5420224309553717
direction:local:spline:22,direction,local,spline,22,0.7,0,0,0.6,0.5420224309553717
direction:local:spline:22,direction,local,spline,22,0.8,0,0,0.6,0.5420224309553717
direction:local:spline:22,direction,local,spline,22,0.9,0,0,0.6,0.5420224309553717
direction:local:spline:22,direction,local,spline,22,1.0,0,0,0.6,0.5420224309553717
direction:local:spline:23,direction,local,spline,23,0.45,1,1,0.6,0.5416512328462723
direction:local:spline:23,direction,local,spline,23,0.5,1,1,0.6,0.5416512328462723
direction:local:spline:23,direction,local,spline,23,0.6,1,1,0.6,0.5416512328462723
direction:local:spline:23,direction,local,spline,23,0.7,0,0,0.6,0.5416512328462723
direction:local:spline:23,direction,local,spline,23,0.8,0,0,0.6,0.5416512328462723
direction:local:spline:23,direction,local,spline,23,0.9,0,0,0.6,0.5416512328462723
direction:local:spline:23,direction,local,spline,23,1.0,0,0,0.6,0.5416512328462723
direction:local:spline:24,direction,local,spline,24,0.45,1,1,0.6,0.5662460137527904
direction:local:spline:24,direction,local,spline,24,0.5,1,1,0.6,0.5662460137527904
direction:local:spline:24,direction,local,spline,24,0.6,1,1,0.6,0.5662460137527904
direction:local:spline:24,direction,local,spline,24,0.7,0,0,0.6,0.5662460137527904
direction:local:spline:24,direction,local,spline,24,0.8,0,0,0.6,0.5662460137527904
direction:local:spline:24,direction,local,spline,24,0.9,0,0,0.6,0.5662460137527904
direction:local:spline:24,direction,local,spline,24,1.0,0,0,0.6,0.5662460137527904
direction:local:spline:25,direction,local,spline,25,0.45,1,1,0.6,0.5567708688266029
direction:local:spline:25,direction,local,spline,25,0.5,1,1,0.6,0.5567708688266029
direction:local:spline:25,direction,local,spline,25,0.6,1,1,0.6,0.5567708688266029
direction:local:spline:25,direction,local,spline,25,0.7,0,0,0.6,0.5567708688266029
direction:local:spline:25,direction,local,spline,25,0.8,0,0,0.6,0.5567708688266029
direction:local:spline:25,direction,local,spline,25,0.9,0,0,0.6,0.5567708688266029
direction:local:spline:25,direction,local,spline,25,1.0,0,0,0.6,0.5567708688266029
direction:local:spline:26,direction,local,spline,26,0.45,1,1,0.6,0.5371463388586755
direction:local:spline:26,direction,local,spline,26,0.5,1,1,0.6,0.5371463388586755
direction:local:spline:26,direction,local,spline,26,0.6,1,1,0.6,0.5371463388586755
direction:local:spline:26,direction,local,spline,26,0.7,0,0,0.6,0.5371463388586755
direction:local:spline:26,direction,local,spline,26,0.8,0,0,0.6,0.5371463388586755
direction:local:spline:26,direction,local,spline,26,0.9,0,0,0.6,0.5371463388586755
direction:local:spline:26,direction,local,spline,26,1.0,0,0,0.6,0.5371463388586755
direction:local:spline:27,direction,local,spline,27,0.45,1,1,0.6,0.5376978146637078
direction:local:spline:27,direction,local,spline,27,0.5,1,1,0.6,0.5376978146637078
direction:local:spline:27,direction,local,spline,27,0.6,1,1,0.6,0.5376978146637078
direction:local:spline:27,direction,local,spline,27,0.7,0,0,0.6,0.5376978146637078
direction:local:spline:27,direction,local,spline,27,0.8,0,0,0.6,0.5376978146637078
direction:local:spline:27,direction,local,spline,27,0.9,0,0,0.6,0.5376978146637078
direction:local:spline:27,direction,local,spline,27,1.0,0,0,0.6,0.5376978146637078
direction:local:spline:28,direction,local,spline,28,0.45,1,1,0.6,0.5614699110303486
direction:local:spline:28,direction,local,spline,28,0.5,1,1,0.6,0.5614699110303486
direction:local:spline:28,direction,local,spline,28,0.6,1,1,0.6,0.5614699110303486
direction:local:spline:28,direction,local,spline,28,0.7,0,0,0.6,0.5614699110303486
direction:local:spline:28,direction,local,spline,28,0.8,0,0,0.6,0.5614699110303486
direction:local:spline:28,direction,local,spline,28,0.9,0,0,0.6,0.5614699110303486
direction:local:spline:28,direction,local,spline,28,1.0,0,0,0.6,0.5614699110303486
direction:local:spline:29,direction,local,spline,29,0.45,1,1,0.6,0.5227601769768108
direction:local:spline:29,direction,local,spline,29,0.5,1,1,0.6,0.5227601769768108
direction:local:spline:29,direction,local,spline,29,0.6,1,1,0.6,0.5227601769768108
direction:local:spline:29,direction,local,spline,29,0.7,0,0,0.6,0.5227601769768108
direction:local:spline:29,direction,local,spline,29,0.8,0,0,0.6,0.5227601769768108
direction:local:spline:29,direction,local,spline,29,0.9,0,0,0.6,0.5227601769768108
direction:local:spline:29,direction,local,spline,29,1.0,0,0,0.6,0.5227601769768108
direction:local:basis:0,direction,local,basis,0,0.45,1,1,0.6,0.527614473009075
direction:local:basis:0,direction,local,basis,0,0.5,1,1,0.6,0.527614473009075
direction:local:basis:0,direction,local,basis,0,0.6,1,1,0.6,0.527614473009075
direction:local:basis:0,direction,local,basis,0,0.7,0,0,0.6,0.527614473009075
direction:local:basis:0,direction,local,basis,0,0.8,0,0,0.6,0.527614473009075
direction:local:basis:0,direction,local,basis,0,0.9,0,0,0.6,0.527614473009075
direction:local:basis:0,direction,local,basis,0,1.0,0,0,0.6,0.527614473009075
direction:local:basis:1,direction,local,basis,1,0.45,1,1,0.6,0.5610349595683777
direction:local:basis:1,direction,local,basis,1,0.5,1,1,0.6,0.5610349595683777
direction:local:basis:1,direction,local,basis,1,0.6,1,1,0.6,0.5610349595683777
direction:local:basis:1,direction,local,basis,1,0.7,0,0,0.6,0.5610349595683777
direction:local:basis:1,direction,local,basis,1,0.8,0,0,0.6,0.5610349595683777
direction:local:basis:1,direction,local,basis,1,0.9,0,0,0.6,0.5610349595683777
direction:local:basis:1,direction,local,basis,1,1.0,0,0,0.6,0.5610349595683777
direction:local:basis:2,direction,local,basis,2,0.45,1,1,0.6,0.5497526435746797
direction:local:basis:2,direction,local,basis,2,0.5,1,1,0.6,0.5497526435746797
direction:local:basis:2,direction,local,basis,2,0.6,1,1,0.6,0.5497526435746797
direction:local:basis:2,direction,local,basis,2,0.7,0,0,0.6,0.5497526435746797
direction:local:basis:2,direction,local,basis,2,0.8,0,0,0.6,0.5497526435746797
direction:local:basis:2,direction,local,basis,2,0.9,0,0,0.6,0.5497526435746797
direction:local:basis:2,direction,local,basis,2,1.0,0,0,0.6,0.5497526435746797
direction:local:basis:3,direction,local,basis,3,0.45,1,1,0.6,0.5695222706871986
direction:local:basis:3,direction,local,basis,3,0.5,1,1,0.6,0.5695222706871986
direction:local:basis:3,direction,local,basis,3,0.6,1,1,0.6,0.5695222706871986
direction:local:basis:3,direction,local,basis,3,0.7,0,0,0.6,0.5695222706871986
direction:local:basis:3,direction,local,basis,3,0.8,0,0,0.6,0.5695222706871986
direction:local:basis:3,direction,local,basis,3,0.9,0,0,0.6,0.5695222706871986
direction:local:basis:3,direction,local,basis,3,1.0,0,0,0.6,0.5695222706871986
direction:local:basis:4,direction,local,basis,4,0.45,1,1,0.6,0.5548804739190604
direction:local:basis:4,direction,local,basis,4,0.5,1,1,0.6,0.5548804739190604
direction:local:basis:4,direction,local,basis,4,0.6,1,1,0.6,0.5548804739190604
direction:local:basis:4,direction,local,basis,4,0.7,0,0,0.6,0.5548804739190604
direction:local:basis:4,direction,local,basis,4,0.8,0,0,0.6,0.5548804739190604
direction:local:basis:4,direction,local,basis,4,0.9,0,0,0.6,0.5548804739190604
direction:local:basis:4,direction,local,basis,4,1.0,0,0,0.6,0.5548804739190604
direction:local:basis:5,direction,local,basis,5,0.45,1,1,0.6,0.5402627416292979
direction:local:basis:5,direction,local,basis,5,0.5,1,1,0.6,0.5402627416292979
direction:local:basis:5,direction,local,basis,5,0.6,1,1,0.6,0.5402627416292979
direction:local:basis:5,direction,local,basis,5,0.7,0,0,0.6,0.5402627416292979
direction:local:basis:5,direction,local,basis,5,0.8,0,0,0.6,0.5402627416292979
direction:local:basis:5,direction,local,basis,5,0.9,0,0,0.6,0.5402627416292979
direction:local:basis:5,direction,local,basis,5,1.0,0,0,0.6,0.5402627416292979
direction:local:basis:6,direction,local,basis,6,0.45,1,1,0.6,0.5615158085757981
direction:local:basis:6,direction,local,basis,6,0.5,1,1,0.6,0.5615158085757981
direction:local:basis:6,direction,local,basis,6,0.6,1,1,0.6,0.5615158085757981
direction:local:basis:6,direction,local,basis,6,0.7,0,0,0.6,0.5615158085757981
direction:local:basis:6,direction,local,basis,6,0.8,0,0,0.6,0.5615158085757981
direction:local:basis:6,direction,local,basis,6,0.9,0,0,0.6,0.5615158085757981
direction:local:basis:6,direction,local,basis,6,1.0,0,0,0.6,0.5615158085757981
direction:local:basis:7,direction,local,basis,7,0.45,1,1,0.6,0.5687043814638816
direction:local:basis:7,direction,local,basis,7,0.5,1,1,0.6,0.5687043814638816
direction:local:basis:7,direction,local,basis,7,0.6,1,1,0.6,0.5687043814638816
direction:local:basis:7,direction,local,basis,7,0.7,0,0,0.6,0.5687043814638816
direction:local:basis:7,direction,local,basis,7,0.8,0,0,0.6,0.5687043814638816
direction:local:basis:7,direction,local,basis,7,0.9,0,0,0.6,0.5687043814638816
direction:local:basis:7,direction,local,basis,7,1.0,0,0,0.6,0.5687043814638816
direction:local:basis:8,direction,local,basis,8,0.45,1,1,0.6,0.5371198505467162
direction:local:basis:8,direction,local,basis,8,0.5,1,1,0.6,0.5371198505467162
direction:local:basis:8,direction,local,basis,8,0.6,1,1,0.6,0.5371198505467162
direction:local:basis:8,direction,local,basis,8,0.7,0,0,0.6,0.5371198505467162
direction:local:basis:8,direction,local,basis,8,0.8,0,0,0.6,0.5371198505467162
direction:local:basis:8,direction,local,basis,8,0.9,0,0,0.6,0.5371198505467162
direction:local:basis:8,direction,local,basis,8,1.0,0,0,0.6,0.5371198505467162
direction:local:basis:9,direction,local,basis,9,0.45,1,1,0.6,0.5508528021789335
direction:local:basis:9,direction,local,basis,9,0.5,1,1,0.6,0.5508528021789335
direction:local:basis:9,direction,local,basis,9,0.6,1,1,0.6,0.5508528021789335
direction:local:basis:9,direction,local,basis,9,0.7,0,0,0.6,0.5508528021789335
direction:local:basis:9,direction,local,basis,9,0.8,0,0,0.6,0.5508528021789335
direction:local:basis:9,direction,local,basis,9,0.9,0,0,0.6,0.5508528021789335
direction:local:basis:9,direction,local,basis,9,1.0,0,0,0.6,0.5508528021789335
direction:local:basis:10,direction,local,basis,10,0.45,1,1,0.6,0.5558828714847109
direction:local:basis:10,direction,local,basis,10,0.5,1,1,0.6,0.5558828714847109
direction:local:basis:10,direction,local,basis,10,0.6,1,1,0.6,0.5558828714847109
direction:local:basis:10,direction,local,basis,10,0.7,0,0,0.6,0.5558828714847109
direction:local:basis:10,direction,local,basis,10,0.8,0,0,0.6,0.5558828714847109
direction:local:basis:10,direction,local,basis,10,0.9,0,0,0.6,0.5558828714847109
direction:local:basis:10,direction,local,basis,10,1.0,0,0,0.6,0.5558828714847109
direction:local:basis:11,direction,local,basis,11,0.45,1,1,0.6,0.5477448639820269
direction:local:basis:11,direction,local,basis,11,0.5,1,1,0.6,0.5477448639820269
direction:local:basis:11,direction,local,basis,11,0.6,1,1,0.6,0.5477448639820269
direction:local:basis:11,direction,local,basis,11,0.7,0,0,0.6,0.5477448639820269
direction:local:basis:11,direction,local,basis,11,0.8,0,0,0.6,0.5477448639820269
direction:local:basis:11,direction,local,basis,11,0.9,0,0,0.6,0.5477448639820269
direction:local:basis:11,direction,local,basis,11,1.0,0,0,0.6,0.5477448639820269
direction:local:basis:12,direction,local,basis,12,0.45,1,1,0.6,0.5594987336820155
direction:local:basis:12,direction,local,basis,12,0.5,1,1,0.6,0.5594987336820155
direction:local:basis:12,direction,local,basis,12,0.6,1,1,0.6,0.5594987336820155
direction:local:basis:12,direction,local,basis,12,0.7,0,0,0.6,0.5594987336820155
direction:local:basis:12,direction,local,basis,12,0.8,0,0,0.6,0.5594987336820155
direction:local:basis:12,direction,local,basis,12,0.9,0,0,0.6,0.5594987336820155
direction:local:basis:12,direction,local,basis,12,1.0,0,0,0.6,0.5594987336820155
direction:local:basis:13,direction,local,basis,13,0.45,1,1,0.6,0.5293907990408173
direction:local:basis:13,direction,local,basis,13,0.5,1,1,0.6,0.5293907990408173
direction:local:basis:13,direction,local,basis,13,0.6,1,1,0.6,0.5293907990408173
direction:local:basis:13,direction,local,basis,13,0.7,0,0,0.6,0.5293907990408173
direction:local:basis:13,direction,local,basis,13,0.8,0,0,0.6,0.5293907990408173
direction:local:basis:13,direction,local,basis,13,0.9,0,0,0.6,0.5293907990408173
direction:local:basis:13,direction,local,basis,13,1.0,0,0,0.6,0.5293907990408173
direction:local:basis:14,direction,local,basis,14,0.45,1,1,0.6,0.5255655362226433
direction:local:basis:14,direction,local,basis,14,0.5,1,1,0.6,0.5255655362226433
direction:local:basis:14,direction,local,basis,14,0.6,1,1,0.6,0.5255655362226433
direction:local:basis:14,direction,local,basis,14,0.7,0,0,0.6,0.5255655362226433
direction:local:basis:14,direction,local,basis,14,0.8,0,0,0.6,0.5255655362226433
direction:local:basis:14,direction,local,basis,14,0.9,0,0,0.6,0.5255655362226433
direction:local:basis:14,direction,local,basis,14,1.0,0,0,0.6,0.5255655362226433
direction:local:basis:15,direction,local,basis,15,0.45,1,1,0.6,0.5248859122344722
direction:local:basis:15,direction,local,basis,15,0.5,1,1,0.6,0.5248859122344722
direction:local:basis:15,direction,local,basis,15,0.6,1,1,0.6,0.5248859122344722
direction:local:basis:15,direction,local,basis,15,0.7,0,0,0.6,0.5248859122344722
direction:local:basis:15,direction,local,basis,15,0.8,0,0,0.6,0.5248859122344722
direction:local:basis:15,direction,local,basis,15,0.9,0,0,0.6,0.5248859122344722
direction:local:basis:15,direction,local,basis,15,1.0,0,0,0.6,0.5248859122344722
direction:local:basis:16,direction,local,basis,16,0.45,1,1,0.6,0.5541824576891817
direction:local:basis:16,direction,local,basis,16,0.5,1,1,0.6,0.5541824576891817
direction:local:basis:16,direction,local,basis,16,0.6,1,1,0.6,0.5541824576891817
direction:local:basis:16,direction,local,basis,16,0.7,0,0,0.6,0.5541824576891817
direction:local:basis:16,direction,local,basis,16,0.8,0,0,0.6,0.5541824576891817
direction:local:basis:16,direction,local,basis,16,0.9,0,0,0.6,0.5541824576891817
direction:local:basis:16,direction,local,basis,16,1.0,0,0,0.6,0.5541824576891817
direction:local:basis:17,direction,local,basis,17,0.45,1,1,0.6,0.5409308951387375
direction:local:basis:17,direction,local,basis,17,0.5,1,1,0.6,0.5409308951387375
direction:local:basis:17,direction,local,basis,17,0.6,1,1,0.6,0.5409308951387375
direction:local:basis:17,direction,local,basis,17,0.7,0,0,0.6,0.5409308951387375
direction:local:basis:17,direction,local,basis,17,0.8,0,0,0.6,0.5409308951387375
direction:local:basis:17,direction,local,basis,17,0.9,0,0,0.6,0.5409308951387375
direction:local:basis:17,direction,local,basis,17,1.0,0,0,0.6,0.5409308951387375
direction:local:basis:18,direction,local,basis,18,0.45,1,1,0.6,0.5284907622271884
direction:local:basis:18,direction,local,basis,18,0.5,1,1,0.6,0.5284907622271884
direction:local:basis:18,direction,local,basis,18,0.6,1,1,0.6,0.5284907622271884
